t_date,t1_date,open_t,close_t,open_t1,volume_t,thin,zero_or_blank,bad_print,ghost_excluded,rule1_excluded,kept,r_night_raw_bps,r_day_bps,cost_conservative_bps,cost_optimistic_bps,net_conservative_raw_bps,net_optimistic_raw_bps,vol20_t,one_sided_info_count_total,n_bad_print_rows_total,n_ghost_rows_total
2025-10-31,2025-11-04,53680.0,54390.0,54390.0,482557.0,False,False,False,False,False,True,0.0,132.26527570789904,3.6771465342893914,0.0,-3.6771465342893914,0.0,0.019077801340893596,0,0,0
2025-11-04,2025-11-05,54390.0,53540.0,52560.0,473463.0,False,False,False,False,False,True,-183.04071722076932,-156.27872770729968,3.7355248412401942,0.0,-186.77624206200952,-183.04071722076932,0.01902236572296028,0,0,0
2025-11-05,2025-11-06,52560.0,52130.0,53080.0,1077214.0,False,False,False,False,False,True,182.23671590255063,-81.81126331811228,3.836562440053712,0.0,178.40015346249692,182.23671590255063,0.019753220338998168,0,0,0
2025-11-06,2025-11-07,53080.0,52720.0,52000.0,222722.0,False,False,False,False,False,True,-136.5705614567525,-67.822155237377,3.7936267071320184,0.0,-140.3641881638845,-136.5705614567525,0.02092701630098679,0,0,0
2025-11-07,2025-11-10,52000.0,52220.0,52730.0,294660.0,False,False,False,False,False,True,97.66373037150444,42.307692307692605,3.8299502106472616,0.0,93.83378016085717,97.66373037150444,0.018419074946396784,0,0,0
2025-11-10,2025-11-11,52730.0,52870.0,53380.0,229871.0,False,False,False,False,False,True,96.46302250803762,26.550350843921322,3.7828636277662193,0.0,92.6801588802714,96.46302250803762,0.018608109000087036,0,0,0
2025-11-11,2025-11-12,53380.0,52770.0,52710.0,233398.0,False,False,False,False,False,True,-11.370096645821892,-114.27500936680434,3.7900322152738295,0.0,-15.160128861095721,-11.370096645821892,0.018670566601739564,0,0,0
2025-11-12,2025-11-13,52710.0,53000.0,52910.0,148353.0,False,False,False,False,False,True,-16.981132075472026,55.01802314551219,3.773584905660377,0.0,-20.754716981132404,-16.981132075472026,0.01840488205965018,0,0,0
2025-11-13,2025-11-14,52910.0,53240.0,52100.0,156261.0,False,False,False,False,False,True,-214.12471825694945,62.370062370062925,3.756574004507889,0.0,-217.88129226145733,-214.12471825694945,0.018124925426387772,0,0,0
2025-11-14,2025-11-17,52100.0,52290.0,52080.0,325063.0,False,False,False,False,False,True,-40.160642570281624,36.46833013435602,3.8248231019315355,0.0,-43.98546567221316,-40.160642570281624,0.016841720315518283,0,0,0
2025-11-17,2025-11-18,52080.0,52280.0,51630.0,140771.0,False,False,False,False,False,True,-124.33052792654942,38.40245775729612,3.8255547054322876,0.0,-128.15608263198172,-124.33052792654942,0.017251350214003463,0,0,0
2025-11-18,2025-11-19,51630.0,50660.0,50670.0,510767.0,False,False,False,False,False,True,1.9739439399923953,-187.87526631803163,3.9478878799842083,0.0,-1.973943939991813,1.9739439399923953,0.01710861868747393,0,0,0
2025-11-19,2025-11-20,50670.0,50440.0,52210.0,353293.0,False,False,False,False,False,True,350.9119746233158,-45.39175054272704,3.965107057890563,0.0,346.94686756542524,350.9119746233158,0.018363246610252064,0,0,0
2025-11-20,2025-11-21,52210.0,51670.0,50420.0,647745.0,False,False,False,False,False,True,-241.91987613702338,-103.42846198046374,3.870718018192375,0.0,-245.79059415521576,-241.91987613702338,0.016874508092712515,0,0,0
2025-11-21,2025-11-25,50420.0,50540.0,51340.0,454021.0,False,False,False,False,False,True,158.29046299960402,23.800079333597957,3.957261574990107,0.0,154.33320142461392,158.29046299960402,0.01774855967815947,0,0,0
2025-11-25,2025-11-26,51340.0,50490.0,50840.0,282971.0,False,False,False,False,False,True,69.3206575559513,-165.5629139072845,3.9611804317686667,0.0,65.35947712418263,69.3206575559513,0.01845655967572405,0,0,0
2025-11-26,2025-11-27,50840.0,51430.0,51860.0,245611.0,False,False,False,False,False,True,83.60878864476007,116.05035405192865,3.8887808671981334,0.0,79.72000777756193,83.60878864476007,0.018203452171320227,0,0,0
2025-11-27,2025-11-28,51860.0,52030.0,52100.0,113257.0,False,False,False,False,False,True,13.453776667307071,32.780563054377595,3.843936190659235,0.0,9.609840476647836,13.453776667307071,0.0164411890455488,0,0,0
2025-11-28,2025-12-01,52100.0,52120.0,52200.0,148218.0,False,False,False,False,False,True,15.349194167306734,3.8387715930898736,3.837298541826554,0.0,11.51189562548018,15.349194167306734,0.016617972781275425,0,0,0
2025-12-01,2025-12-02,52200.0,51190.0,51390.0,248393.0,False,False,False,False,False,True,39.07013088493949,-193.48659003831426,3.907013088493846,0.0,35.16311779644564,39.07013088493949,0.015723706368297622,0,0,0
2025-12-02,2025-12-03,51390.0,51150.0,51460.0,136747.0,False,False,False,False,False,True,60.60606060606099,-46.70169293636839,3.9100684261974585,0.0,56.69599217986354,60.60606060606099,0.016170961737039375,0,0,0
2025-12-03,2025-12-04,51460.0,51760.0,51770.0,205895.0,False,False,False,False,False,True,1.9319938176187712,58.29770695686021,3.863987635239567,0.0,-1.9319938176207958,1.9319938176187712,0.015204056697021854,0,0,0
2025-12-04,2025-12-05,51770.0,52920.0,52380.0,275211.0,False,False,False,False,False,True,-102.04081632653073,222.1363724164571,3.779289493575208,0.0,-105.82010582010594,-102.04081632653073,0.015245348715637423,0,0,0
2025-12-05,2025-12-08,52380.0,52390.0,52630.0,137754.0,False,False,False,False,False,True,45.81026913533126,1.9091256204650797,3.817522427944264,0.0,41.992746707387,45.81026913533126,0.014939876197663017,0,0,0
2025-12-08,2025-12-09,52630.0,52460.0,52530.0,119505.0,False,False,False,False,False,True,13.343499809379544,-32.300969029070984,3.8124285169653067,0.0,9.531071292414238,13.343499809379544,0.014911661391867696,0,0,0
2025-12-09,2025-12-10,52530.0,52560.0,52780.0,102884.0,False,False,False,False,False,True,41.85692541856856,5.711022272987254,3.8051750380517504,0.0,38.05175038051681,41.85692541856856,0.014755356122130006,0,0,0
2025-12-10,2025-12-11,52780.0,52480.0,52740.0,156916.0,False,False,False,False,False,True,49.54268292682862,-56.83971201212557,3.8109756097560976,0.0,45.73170731707252,49.54268292682862,0.014485218631963278,0,0,0
2025-12-11,2025-12-12,52740.0,52050.0,52590.0,185951.0,False,False,False,False,False,True,103.74639769452409,-130.83048919226403,3.8424591738712777,0.0,99.90393852065282,103.74639769452409,0.01448330488983454,0,0,0
2025-12-12,2025-12-15,52590.0,52780.0,51940.0,425292.0,False,False,False,False,False,True,-159.1511936339518,36.128541547821854,3.7893141341417205,0.0,-162.94050776809354,-159.1511936339518,0.014544835209904353,0,0,0
2025-12-15,2025-12-16,51940.0,52070.0,51880.0,281266.0,False,False,False,False,False,True,-36.48934127136516,25.02887947631871,3.8409832917226807,0.0,-40.33032456308784,-36.48934127136516,0.01487783181118232,0,0,0
