cascade_id,start_ms,end_ms,width_ms,n_events,total_size,direction,bar60_before_tie,bar60_before_path,bar60_before_internal_bp,bar60_after_shift_tie,bar60_after_shift_path,bar60_after_shift_internal_bp,trade_before_tie,trade_before_path,trade_before_internal_bp,trade_after_shift_tie,trade_after_shift_path,trade_after_shift_internal_bp
binance_cm_real_000136,1687955968670,1687956006433,37763,6,6751566.6,long,0,,-37.282354,0,,-24.98711,0,,-13.161603,0,,-13.161603
binance_cm_real_000137,1687956097465,1687956097465,0,1,903423.0,long,1,time_resolution,0.0,0,,-16.732936,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000138,1687956921645,1687957002419,80774,8,76141194.5,long,0,,-10.427148,0,,-25.237683,0,,-14.331983,0,,-14.331983
binance_cm_real_000139,1687957501052,1687957515493,14441,5,9483713.1,long,1,time_resolution,0.0,0,,8.857013,0,,-5.862211,0,,-5.862211
binance_cm_real_000140,1687957942191,1687957942191,0,1,994484.7,short,1,time_resolution,0.0,0,,7.171886,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000141,1687959960671,1687959980701,20030,2,2074161.2,long,1,time_resolution,0.0,0,,-3.724333,0,,-4.322987,0,,-4.322987
binance_cm_real_000142,1687960896754,1687960896754,0,1,90717.6,short,1,time_resolution,0.0,0,,24.357105,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000143,1687962770215,1687962778756,8541,2,817924.6,short,1,time_resolution,0.0,0,,15.271415,0,,3.631825,0,,3.631825
binance_cm_real_000144,1687962903428,1687962903428,0,1,91028.4,short,1,time_resolution,0.0,0,,5.274209,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000145,1687962975672,1687963033309,57637,5,2097196.4,short,0,,0.625982,0,,19.537234,0,,25.432719,0,,25.432719
binance_cm_real_000146,1687963316068,1687963317507,1439,2,365328.0,short,1,time_resolution,0.0,0,,22.806706,1,price_tick,0.0,1,price_tick,0.0
binance_cm_real_000147,1687970253698,1687970253698,0,1,30314.0,long,1,time_resolution,0.0,0,,2.44044,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000148,1687971559963,1687971561200,1237,2,1179847.5,long,1,time_resolution,0.0,0,,-8.190955,1,price_tick,0.0,1,price_tick,0.0
binance_cm_real_000149,1687971716827,1687971716827,0,1,30232.9,long,1,time_resolution,0.0,0,,-8.658123,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000150,1687971777087,1687971777087,0,1,392932.8,long,1,time_resolution,0.0,0,,-5.159686,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000151,1687971940321,1687972202086,261765,13,95250965.4,long,0,,-56.373327,0,,-51.116225,0,,-49.525436,0,,-49.028858
binance_cm_real_000152,1687973831631,1687973831631,0,1,30070.8,long,1,time_resolution,0.0,0,,-3.089701,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000153,1687976713380,1687976713380,0,1,785675.8,short,1,time_resolution,0.0,0,,7.088604,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000154,1687976774338,1687976774338,0,1,241764.0,short,1,time_resolution,0.0,0,,3.07838,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000155,1687980385357,1687980385357,0,1,10413077.6,long,1,time_resolution,0.0,0,,-19.819635,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000156,1687980571296,1687980647095,75799,21,15131922.5,long,0,,-26.309408,0,,-64.743732,0,,-75.325496,0,,-75.325496
binance_cm_real_000157,1687980847295,1687980847295,0,1,60051.0,short,1,time_resolution,0.0,0,,-0.666491,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000158,1687982461701,1687982461701,0,1,2561092.5,short,1,time_resolution,0.0,0,,-9.724398,1,time_resolution,0.0,1,time_resolution,0.0
