date,n_5min,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-07-15,288,91844.28784374997,10776123015.592112,0.9347568729166671,2.1073419444444434,0.7692699761805559,1.1140509583333338
2025-07-16,288,89987.98347222219,10671419651.754036,0.8713990543402783,1.9880323437500005,0.7574846045486109,1.1264129201388888
2025-07-17,288,89166.24909722227,10585503863.120506,0.8397904544097228,1.920466114583331,0.7000216097222222,1.087198854166666
2025-07-18,288,89847.28143750002,10673888903.865238,0.8761262961805559,1.9055808229166666,0.725507295902778,1.1603919861111118
2025-07-19,288,88461.38023611107,10441051518.3563,0.9250737301388889,1.796986489583333,0.8056082417708337,1.1390413368055547
2025-07-20,288,88261.9417326388,10416612529.703453,0.9664360562152782,1.7663987083333323,0.8643959659027778,1.1804864027777782
2025-07-21,288,86443.08364236113,10205500404.399982,1.0089077222826097,1.654416574545455,0.8897638968840581,1.2266435798611122
2025-07-22,288,89496.24038541663,10605522572.592016,1.0173655805813957,1.6718050659722221,0.8634106090277773,1.1162296944444443
2025-07-23,288,88747.32521180558,10508932453.444633,1.0388389032291665,1.8708051493055546,0.8319772261111112,1.139476916666667
2025-07-24,288,88262.4848263889,10464205909.976006,1.006038179652778,1.8329298611111102,0.8408233254166668,1.153743746527778
2025-07-25,288,93876.2493541667,10912750824.703619,1.3216406020138882,1.728833263888889,1.1979005325,1.0500543055555553
2025-07-26,288,90065.7117847222,10605355232.515858,1.1269738336111113,1.7341245868055557,0.9421220462152782,1.1970845208333332
2025-07-27,288,89605.82669444446,10616953969.871386,1.024249735243055,1.7741502395833335,0.8406149856944447,1.2526969097222236
2025-07-28,288,91238.52766666663,10822938849.56691,1.083234457569444,1.9263038888888881,0.8516758025694444,1.0202619687499992
2025-07-29,288,91357.93649999998,10794393884.24993,1.1046598781249997,1.8178248993055566,0.9392066391666667,1.1485747569444447
2025-07-30,288,90921.9697187501,10705321266.482594,1.1019038102430558,1.8564908298611107,0.9637007390277782,1.081186760416666
2025-07-31,288,91054.89877430549,10737764686.006582,1.1025882102777782,1.866527729166667,0.9237501452083335,1.0759892986111113
2025-08-01,288,89429.43469444447,10267310683.154264,1.391748459826389,1.8905907430555549,1.3723302245833326,1.085543385416666
2025-08-02,288,87706.89550694446,9936926194.078772,1.4887474806597216,1.860249,1.5161905433680554,1.0736899270833333
2025-08-03,288,85848.35094791662,9765953953.334053,1.4880482442013887,1.8214906041666674,1.5286457992361109,1.1314563819444448
2025-08-04,288,85108.76418402781,9761529587.615166,1.4707764865972222,1.8005912361111116,1.4404317178472223,1.0716988819444446
2025-08-05,288,84629.38731597223,9652083555.57315,1.5571150847916666,1.8755486458333337,1.44647870048611,1.0129212569444443
2025-08-06,288,83755.60371874996,9580103795.63979,1.4482300334722222,1.8594854756944446,1.3447704662847222,1.0706014895833327
2025-08-07,288,83858.74249652773,9714098781.081762,1.2906143191319448,1.8095449965277774,1.1531799650000005,1.2425017673611112
2025-08-08,288,82984.25162847227,9678752195.602928,1.2414897473611104,1.880305666666668,1.0600895998958322,1.1531309444444442
2025-08-09,288,83407.6578645834,9736911476.17518,1.3441276344097224,1.8837648576388888,1.1616890743402777,1.3360435416666658
2025-08-10,288,85745.9884201389,10135070030.903938,1.240791446562499,1.9946943090277773,1.047284649097222,1.1638777604166672
2025-08-11,288,91935.3865763889,11065442045.2255,1.0617105517708323,2.1817948645833325,0.8522747799652773,1.1271516805555555
2025-08-12,288,89379.14198611102,10651008080.603474,1.2185796449999993,2.17841285763889,1.0525252477430564,1.1144088611111107
2025-08-13,288,90855.1861215278,10976303407.206493,1.1728411196527782,2.2182616875,0.9420543154513896,1.0617165937499995
2025-08-14,288,93532.72087152775,11259253751.61715,1.276328902847223,2.382572770833333,0.9823723025694443,1.0391755277777772
2025-08-15,288,90912.15040624999,10739739849.804241,1.4190620510763887,2.1353187465277776,1.2753964245833336,1.1507688472222222
2025-08-16,288,89890.19598611112,10566862899.206596,1.413894706840278,2.1126233923611113,1.3236398632638893,1.3693302013888888
2025-08-17,288,90039.63035763887,10611594236.816137,1.3851727732638888,2.0481243125,1.3225812718402787,1.1519210243055553
2025-08-18,288,88733.75809375006,10273450124.591513,1.6140089489930558,1.9818403784722218,1.5062546826041656,1.1121694999999998
2025-08-19,288,87479.5699791666,10020812887.764605,1.5838330041666682,1.9464039652777783,1.4940990925,1.0603735902777787
2025-08-20,288,86833.9801041666,9869746024.425484,1.6453778661111111,1.8520168298611095,1.6847079064236103,1.1126111458333339
2025-08-21,288,87884.55422569448,9950650963.46377,1.7295301975694453,1.834450767361111,1.6887957862499994,1.1630276041666674
2025-08-22,288,88811.10360763891,10159243381.971043,1.6632984478819446,1.8540650833333332,1.6709607618402773,1.149469413194444
2025-08-23,288,90439.55881944437,10442425306.41273,1.7151272000000002,2.091213940972221,1.4646644041319443,1.2528031423611112
2025-08-24,288,92944.30467013888,10640270373.653162,1.8732125671527795,2.0813775763888875,1.6803606420486108,1.17018673611111
2025-08-25,288,93049.12275347218,10402412678.483706,2.038879900972222,1.9508189201388895,1.927020870277779,1.0704307326388893
2025-08-26,288,89276.41949652774,9842996620.296812,2.057506153333335,1.8381247847222228,2.071844389305557,1.0705333715277776
2025-08-27,288,88816.26858333338,9897103608.80476,1.9595115625694437,1.8481377291666672,1.8394455047222233,1.1283519965277766
2025-08-28,288,88413.99286805559,9943372939.473068,1.7336860309027782,1.8498490347222232,1.6296337595486103,1.1559281944444433
2025-08-29,285,88686.8482736842,9732075574.579847,2.1464941054385966,1.9002609192982451,2.0080815638245606,1.107263375438597
2025-08-30,288,89537.53165277773,9710885907.335554,2.3231136353472213,1.9093540034722218,2.3376323123263876,1.2433662430555554
2025-08-31,288,89916.99313194449,9780018206.838833,2.2545692885763895,1.892540034722222,2.2576808939583324,1.2721799131944445
2025-09-01,288,89805.81417361117,9747290008.667318,2.132623398715277,1.9802235381944457,2.0762824375694438,1.0963491875000002
2025-09-02,288,89800.40379513887,9908760175.532074,1.7768074799652787,1.9128342777777787,1.6398630104861112,1.102867517361111
2025-09-03,288,89676.6701631944,9997526793.515648,1.650857894583333,1.8844690868055558,1.4575846237847236,1.0850814374999997
2025-09-04,288,89512.9820729167,9900879775.890598,1.8720289068055562,1.888200583333333,1.6584225515277782,1.189137652777777
2025-09-05,288,89203.5436597222,9944104909.30371,1.7767811295486107,1.9924218055555558,1.603117487395834,1.1186982916666677
2025-09-06,288,87216.86168750003,9642349325.587019,1.9522310522916664,2.1667413402777758,1.814922925,1.3273632256944443
2025-09-07,288,87994.6452430556,9759698283.518166,1.8958016670486115,2.0879635104166656,1.7683348724652779,1.3328779965277782
2025-09-08,288,90558.79144791668,10120923470.30556,1.7045280944791665,1.9491242083333324,1.5383767865972215,1.2735465694444443
2025-09-09,288,91801.24902777778,10270140281.441513,1.7794758442361092,1.953534385416667,1.5510803174652785,1.1741930659722222
2025-09-10,288,92657.88486458332,10443232838.210823,1.6342364739930568,1.9954271006944428,1.426650372499999,1.1209264201388893
2025-09-11,288,93438.64365277776,10670006320.041157,1.3296998029513882,1.9873200416666674,1.1005598001388888,1.0782260486111108
2025-09-12,288,92460.94618749995,10674768605.495111,1.2468406656249997,1.9954357083333332,1.0318052326041671,1.1286843333333327
2025-09-13,288,90863.49410069444,10520526076.473312,1.261132366076389,1.872006565972223,1.0273632332986105,1.2787247291666664
2025-09-14,288,88869.07944097219,10279774211.563904,1.2756281166666674,1.9401313055555554,1.0451170008680555,1.4095992083333335
2025-09-15,288,88600.11012500002,10207219980.042564,1.3443196156944444,2.0979771527777777,1.1479448683680558,1.065258934027778
2025-09-16,288,88387.96487847215,10231619422.74906,1.2699467130208326,2.059498038194445,1.0868843643402768,1.1605269930555564
2025-09-17,288,89785.50353125004,10438497725.473183,1.257368353090278,2.0625340138888886,1.0458671677430558,1.1815726840277785
2025-09-18,288,89845.39313194442,10531161973.409622,1.1795745468749996,1.9665865069444446,0.9790986076388888,1.1201261006944436
2025-09-19,288,90214.69803819444,10489365762.76161,1.2879205639583335,1.9259994270833343,1.0635709978819443,1.121714843749999
2025-09-20,288,89663.84418749997,10374100291.490473,1.4038437367013885,1.9324006076388887,1.2598253438888891,1.3060581701388903
2025-09-21,288,88775.95405208325,10253333540.433975,1.3973966621874985,1.8650933402777774,1.2628924424999997,1.5548237986111109
2025-09-22,288,88560.4268368056,10014841928.460775,1.5666622334375002,1.8010033298611117,1.4024369691666658,1.0518012951388886
