date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,band_price_t,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2025-11-06,2025-11-07,29840.0,29915.0,29690.0,25.134048257373642,-75.21310379408285,29915.0,5.0,3.342804613070366,-75.21310379408285,-78.55590840715323,False,False,False,False,False,False,False,False,False,True,True,3,11,era3,,
2025-11-07,2025-11-10,29690.0,29790.0,29985.0,33.68137420006745,65.4582074521648,29790.0,5.0,3.356831151393085,65.4582074521648,62.10137630077171,False,False,False,False,False,False,False,False,False,True,True,4,11,era3,,
2025-11-10,2025-11-11,29985.0,29925.0,30120.0,-20.01000500250094,65.16290726817031,29925.0,5.0,3.3416875522138683,65.16290726817031,61.821219715956445,False,False,False,False,False,False,False,False,False,True,True,0,11,era3,,
2025-11-11,2025-11-12,30120.0,29925.0,30050.0,-64.74103585657365,41.7710944026739,29925.0,5.0,3.3416875522138683,41.7710944026739,38.42940685046003,False,False,False,False,False,False,False,False,False,True,True,1,11,era3,,
2025-11-12,2025-11-13,30050.0,30290.0,30370.0,79.86688851913559,26.41135688346008,30290.0,10.0,6.602839220864972,26.41135688346008,19.808517662595108,False,False,False,False,False,False,False,False,False,True,True,2,11,era3,,
2025-11-13,2025-11-14,30370.0,30430.0,29995.0,19.756338491931924,-142.95103516266838,30430.0,10.0,6.572461386789353,-142.95103516266838,-149.52349654945772,False,False,False,False,False,False,False,False,False,True,True,3,11,era3,,
2025-11-14,2025-11-17,29995.0,30260.0,30260.0,88.34805800966849,0.0,30260.0,10.0,6.609385327164573,0.0,-6.609385327164573,False,False,False,False,False,False,False,False,False,True,True,4,11,era3,,
2025-11-17,2025-11-18,30260.0,30160.0,30080.0,-33.04692663582243,-26.525198938992524,30160.0,10.0,6.63129973474801,-26.525198938992524,-33.156498673740536,False,False,False,False,False,False,False,False,False,True,True,0,11,era3,,
2025-11-18,2025-11-19,30080.0,29375.0,29370.0,-234.375,-1.7021276595741153,29375.0,5.0,3.404255319148936,-1.7021276595741153,-5.106382978723051,False,False,False,False,False,False,False,False,False,True,True,1,11,era3,,
2025-11-19,2025-11-20,29370.0,29405.0,29965.0,11.916922029282517,190.44380207447807,29405.0,5.0,3.4007821799013773,190.44380207447807,187.0430198945767,False,False,False,False,False,False,False,False,False,True,True,2,11,era3,,
2025-11-20,2025-11-21,29965.0,29875.0,29375.0,-30.035040881027932,-167.3640167364021,29875.0,5.0,3.3472803347280338,-167.3640167364021,-170.71129707113013,False,False,False,False,False,False,False,False,False,True,True,3,11,era3,,
2025-11-21,2025-11-25,29375.0,29795.0,30010.0,142.97872340425454,72.15975834871546,29795.0,5.0,3.356267830172848,72.15975834871546,68.8034905185426,False,False,False,False,False,False,False,False,False,True,True,4,11,era3,,
2025-11-25,2025-11-26,30010.0,29710.0,29955.0,-99.96667777407487,82.46381689666737,29710.0,5.0,3.365870077415012,82.46381689666737,79.09794681925236,False,False,False,False,False,False,False,False,False,True,True,1,11,era3,82.1047961300539,mid
2025-11-26,2025-11-27,29955.0,30310.0,30390.0,118.51109998330722,26.39392939623786,30310.0,10.0,6.598482349059716,26.39392939623786,19.795447047178143,False,False,False,False,False,False,False,False,False,True,True,2,11,era3,86.49902375409522,high
2025-11-27,2025-11-28,30390.0,30410.0,30350.0,6.581112207963979,-19.7303518579417,30410.0,10.0,6.576783952647156,-19.7303518579417,-26.307135810588854,False,False,False,False,False,False,False,False,False,True,True,3,11,era3,84.70137444224954,high
2025-11-28,2025-12-01,30350.0,30440.0,30350.0,29.654036243822457,-29.56636005256197,30440.0,10.0,6.570302233902759,-29.56636005256197,-36.13666228646473,False,False,False,False,False,False,False,False,False,True,True,4,11,era3,85.05745719598058,high
2025-12-01,2025-12-02,30350.0,30050.0,30210.0,-98.84678747940745,53.244592346088915,30050.0,10.0,6.655574043261232,53.244592346088915,46.58901830282768,False,False,False,False,False,False,False,False,False,True,True,0,12,era3,87.70147746050932,high
2025-12-02,2025-12-03,30210.0,30180.0,30150.0,-9.930486593843213,-9.940357852882276,30180.0,10.0,6.626905235255136,-9.940357852882276,-16.567263088137413,False,False,False,False,False,False,False,False,False,True,True,1,12,era3,87.32374454901682,high
2025-12-03,2025-12-04,30150.0,30170.0,30140.0,6.633499170811685,-9.943652635068245,30170.0,10.0,6.629101756711965,-9.943652635068245,-16.57275439178021,False,False,False,False,False,False,False,False,False,True,True,2,12,era3,84.96927868302711,high
2025-12-04,2025-12-05,30140.0,30720.0,30520.0,192.4353019243541,-65.1041666666663,30720.0,10.0,6.510416666666666,-65.1041666666663,-71.61458333333297,False,False,False,False,False,False,False,False,False,True,True,3,12,era3,94.31049573784942,high
2025-12-05,2025-12-08,30520.0,30370.0,30380.0,-49.14809960681499,3.292723081989024,30370.0,10.0,6.585446163977609,3.292723081989024,-3.2927230819885853,False,False,False,False,False,False,False,False,False,True,True,4,12,era3,95.06926141270232,high
2025-12-08,2025-12-09,30380.0,30630.0,30660.0,82.29098090849263,9.794319294809117,30630.0,10.0,6.52954619653934,9.794319294809117,3.264773098269777,False,False,False,False,False,False,False,False,False,True,True,0,12,era3,96.46531539185723,high
2025-12-09,2025-12-10,30660.0,30610.0,30780.0,-16.307893020222064,55.53740607644464,30610.0,10.0,6.533812479581836,55.53740607644464,49.00359359686281,False,False,False,False,False,False,False,False,False,True,True,1,12,era3,96.41441088211424,high
2025-12-10,2025-12-11,30780.0,30640.0,30880.0,-45.48408057180042,78.32898172323688,30640.0,10.0,6.527415143603133,78.32898172323688,71.80156657963374,False,False,False,False,False,False,False,False,False,True,True,2,12,era3,95.75278920477898,high
2025-12-11,2025-12-12,30880.0,30430.0,30690.0,-145.7253886010368,85.4419980282617,30430.0,10.0,6.572461386789353,85.4419980282617,78.86953664147234,False,False,False,False,False,False,False,False,False,True,True,3,12,era3,100.04386291191545,high
2025-12-12,2025-12-15,30690.0,31130.0,30990.0,143.3691756272393,-44.97269514937341,31130.0,10.0,6.4246707356248,-44.97269514937341,-51.39736588499821,False,False,False,False,False,False,False,False,False,True,True,4,12,era3,105.22038921416735,high
2025-12-15,2025-12-16,30990.0,31090.0,31000.0,32.26847370119357,-28.948214860083922,31090.0,10.0,6.43293663557414,-28.948214860083922,-35.38115149565806,False,False,False,False,False,False,False,False,False,True,True,0,12,era3,103.56019235317142,high
2025-12-16,2025-12-17,31000.0,30560.0,30440.0,-141.93548387096743,-39.26701570680646,30560.0,10.0,6.544502617801047,-39.26701570680646,-45.811518324607505,False,False,False,False,False,False,False,False,False,True,True,1,12,era3,108.15957624448247,high
2025-12-17,2025-12-18,30440.0,30470.0,30310.0,9.85545335085325,-52.510666229077515,30470.0,10.0,6.563833278634722,-52.510666229077515,-59.07449950771224,False,False,False,False,False,False,False,False,False,True,True,2,12,era3,93.75828152599826,high
2025-12-18,2025-12-19,30310.0,30380.0,30470.0,23.09468822170979,29.6247531270577,30380.0,10.0,6.583278472679394,29.6247531270577,23.041474654378305,False,False,False,False,False,False,False,False,False,True,True,3,12,era3,93.82270427003316,high
2025-12-19,2025-12-22,30470.0,30670.0,30980.0,65.63833278634634,101.07597000326152,30670.0,10.0,6.521030322791001,101.07597000326152,94.55493968047051,False,False,False,False,False,False,False,False,False,True,True,4,12,era3,94.24548408962687,high
2025-12-22,2025-12-23,30980.0,30770.0,30800.0,-67.7856681730149,9.749756256094422,30770.0,10.0,6.499837504062399,9.749756256094422,3.2499187520320225,False,False,False,False,False,False,False,False,False,True,True,0,12,era3,90.57622587824098,high
2025-12-23,2025-12-24,30800.0,30920.0,31000.0,38.96103896103842,25.873221216041742,30920.0,10.0,6.46830530401035,25.873221216041742,19.40491591203139,False,False,False,False,False,False,False,False,False,True,True,1,12,era3,87.64387687796011,high
2025-12-24,2025-12-25,31000.0,30770.0,30940.0,-74.19354838709702,55.24861878453136,30770.0,10.0,6.499837504062399,55.24861878453136,48.74878128046896,False,False,False,False,False,False,False,False,False,True,True,2,12,era3,85.50350387095438,high
2025-12-25,2025-12-26,30940.0,30840.0,30930.0,-32.32062055591456,29.182879377431803,30840.0,10.0,6.485084306095979,29.182879377431803,22.697795071335825,False,False,False,False,False,False,False,False,False,True,True,3,12,era3,85.7657511207745,high
2025-12-26,2025-12-29,30930.0,30820.0,31020.0,-35.5641771742643,64.8929266709919,30820.0,10.0,6.489292667099286,64.8929266709919,58.40363400389261,False,False,False,False,False,False,False,False,False,True,True,4,12,era3,85.70372468865716,high
2025-12-29,2025-12-30,31020.0,30950.0,30940.0,-22.566086395873207,-3.231017770597422,30950.0,10.0,6.462035541195477,-3.231017770597422,-9.693053311792898,False,False,False,False,False,False,False,False,False,True,True,0,12,era3,83.01584247865745,mid
2025-12-30,2026-01-05,30940.0,30850.0,31240.0,-29.088558500323103,126.41815235008069,30850.0,10.0,6.482982171799027,126.41815235008069,119.93517017828167,False,False,False,False,False,False,False,False,False,True,True,1,12,era3,83.21855455746689,mid
2026-01-05,2026-01-06,31240.0,31470.0,31800.0,73.6235595390533,104.8617731172552,31470.0,10.0,6.355258976803305,104.8617731172552,98.5065141404519,False,False,False,False,False,False,False,False,False,True,True,0,1,era3,84.96827335917737,high
2026-01-06,2026-01-07,31800.0,31870.0,31730.0,22.01257861635275,-43.92845936617484,31870.0,10.0,6.275494195167869,-43.92845936617484,-50.20395356134271,False,False,False,False,False,False,False,False,False,True,True,1,1,era3,72.25601805363405,mid
2026-01-07,2026-01-08,31730.0,31730.0,31760.0,0.0,9.454774661203924,31730.0,10.0,6.3031831074692715,9.454774661203924,3.1515915537346526,False,False,False,False,False,False,False,False,False,True,True,2,1,era3,71.63211104417917,mid
2026-01-08,2026-01-09,31760.0,31590.0,31630.0,-53.52644836272069,12.66223488445739,31590.0,10.0,6.331117442228553,12.66223488445739,6.331117442228837,False,False,False,False,False,False,False,False,False,True,True,3,1,era3,69.21937428546893,mid
2026-01-09,2026-01-13,31630.0,31780.0,32480.0,47.42333227948148,220.26431718061622,31780.0,10.0,6.293266205160479,220.26431718061622,213.97105097545574,False,False,False,False,False,False,False,False,False,True,True,4,1,era3,70.50363979366716,mid
2026-01-13,2026-01-14,32480.0,32560.0,32830.0,24.630541871921707,82.92383292383354,32560.0,10.0,6.142506142506142,82.92383292383354,76.78132678132741,False,False,False,False,False,False,False,False,False,True,True,1,1,era3,70.36834079830044,mid
2026-01-14,2026-01-15,32830.0,32960.0,32960.0,39.59792872372914,0.0,32960.0,10.0,6.067961165048543,0.0,-6.067961165048543,False,False,False,False,False,False,False,False,False,True,True,2,1,era3,62.80923777872237,mid
2026-01-15,2026-01-16,32960.0,33140.0,33120.0,54.61165048543659,-6.0350030175015945,33140.0,10.0,6.035003017501509,-6.0350030175015945,-12.070006035003104,False,False,False,False,False,False,False,False,False,True,True,3,1,era3,55.03701394162375,low
2026-01-16,2026-01-19,33120.0,33090.0,32970.0,-9.057971014492239,-36.26473254759732,33090.0,10.0,6.044122091266243,-36.26473254759732,-42.308854638863565,False,False,False,False,False,False,False,False,False,True,True,4,1,era3,54.484851013994195,low
2026-01-19,2026-01-20,32970.0,33000.0,33010.0,9.099181073703999,3.0303030303024947,33000.0,10.0,6.0606060606060606,3.0303030303024947,-3.030303030303566,False,False,False,False,False,False,False,False,False,True,True,0,1,era3,43.65272793419014,low
2026-01-20,2026-01-21,33010.0,32750.0,32380.0,-78.76401090578634,-112.97709923664078,32750.0,10.0,6.106870229007634,-112.97709923664078,-119.08396946564842,False,False,False,False,False,False,False,False,False,True,True,1,1,era3,47.38863418595503,low
2026-01-21,2026-01-22,32380.0,32390.0,32910.0,3.0883261272385276,160.5433775856735,32390.0,10.0,6.174745291756715,160.5433775856735,154.3686322939168,False,False,False,False,False,False,False,False,False,True,True,2,1,era3,47.08099381227015,low
2026-01-22,2026-01-23,32910.0,32660.0,32770.0,-75.96475235490784,33.68034292712707,32660.0,10.0,6.12369871402327,33.68034292712707,27.5566442131038,False,False,False,False,False,False,False,False,False,True,True,3,1,era3,47.14649942175688,low
2026-01-23,2026-01-26,32770.0,32780.0,32270.0,3.0515715593537607,-155.5826723611964,32780.0,10.0,6.1012812690665035,-155.5826723611964,-161.6839536302629,False,False,False,False,False,False,False,False,False,True,True,4,1,era3,45.05607108977923,low
2026-01-26,2026-01-27,32270.0,32110.0,32110.0,-49.581654787728134,0.0,32110.0,10.0,6.2285892245406425,0.0,-6.2285892245406425,False,False,False,False,False,False,False,False,False,True,True,0,1,era3,44.88502694342908,low
2026-01-27,2026-01-28,32110.0,32190.0,32060.0,24.91435689816246,-40.38521279900564,32190.0,10.0,6.2131096613855235,-40.38521279900564,-46.59832246039117,False,False,False,False,False,False,False,False,False,True,True,1,1,era3,42.74901879712445,low
2026-01-28,2026-01-29,32060.0,31950.0,32150.0,-34.31066749844058,62.59780907668322,31950.0,10.0,6.259780907668231,62.59780907668322,56.33802816901499,False,False,False,False,False,False,False,False,False,True,True,2,1,era3,42.82012725559337,low
2026-01-29,2026-01-30,32150.0,32150.0,32240.0,0.0,27.99377916018697,32150.0,10.0,6.2208398133748055,27.99377916018697,21.772939346812166,False,False,False,False,False,False,False,False,False,True,True,3,1,era3,42.18806507051726,low
2026-01-30,2026-02-02,32240.0,32300.0,32650.0,18.610421836229296,108.35913312693401,32300.0,10.0,6.191950464396285,108.35913312693401,102.16718266253773,False,False,False,False,False,False,False,False,False,True,True,4,1,era3,42.16407434875804,low
2026-02-02,2026-02-03,32650.0,32080.0,32590.0,-174.57886676875978,158.97755610972507,32080.0,10.0,6.234413965087282,158.97755610972507,152.7431421446378,False,False,False,False,False,False,False,False,False,True,True,0,2,era3,57.22141807267664,low
2026-02-03,2026-02-04,32590.0,32990.0,32800.0,122.73703590058193,-57.59321006365559,32990.0,10.0,6.062443164595332,-57.59321006365559,-63.65565322825092,False,False,False,False,False,False,False,False,False,True,True,1,2,era3,61.77067972500353,low
2026-02-04,2026-02-05,32800.0,33080.0,33180.0,85.36585365853666,30.229746070133956,33080.0,10.0,6.045949214026602,30.229746070133956,24.183796856107353,False,False,False,False,False,False,False,False,False,True,True,2,2,era3,64.79538887549202,mid
2026-02-05,2026-02-06,33180.0,33020.0,32870.0,-48.22182037371947,-45.42701393095094,33020.0,10.0,6.0569351907934585,-45.42701393095094,-51.4839491217444,False,False,False,False,False,False,False,False,False,True,True,3,2,era3,65.6039940033291,mid
2026-02-06,2026-02-09,32870.0,33290.0,34620.0,127.77608761788795,399.51937518774463,33290.0,10.0,6.007810153199159,399.51937518774463,393.51156503454547,False,False,False,False,False,False,False,False,False,True,True,4,2,era3,70.79976164997585,mid
2026-02-09,2026-02-10,34620.0,34260.0,34480.0,-103.98613518197597,64.21482778750764,34260.0,10.0,5.837711617046118,64.21482778750764,58.37711617046153,False,False,False,False,False,False,False,False,False,True,True,0,2,era3,73.9937994415162,mid
2026-02-10,2026-02-12,34480.0,34950.0,34970.0,136.31090487238984,5.722460658081907,34950.0,10.0,5.722460658082976,5.722460658081907,-1.0693668173189508e-12,False,False,False,False,False,False,False,False,False,True,True,1,2,era3,80.15051573511623,mid
2026-02-12,2026-02-13,34970.0,35150.0,35010.0,51.472690877896184,-39.829302987197664,35150.0,10.0,5.689900426742533,-39.829302987197664,-45.5192034139402,False,False,False,False,False,False,False,False,False,True,True,3,2,era3,80.48281533596672,mid
2026-02-13,2026-02-16,35010.0,34610.0,34750.0,-114.25307055127121,40.45073678127675,34610.0,10.0,5.778676683039584,40.45073678127675,34.67206009823717,False,False,False,False,False,False,False,False,False,True,True,4,2,era3,83.595006942519,high
2026-02-16,2026-02-17,34750.0,34370.0,34370.0,-109.35251798561141,0.0,34370.0,10.0,5.819028222286878,0.0,-5.819028222286878,False,False,False,False,False,False,False,False,False,True,True,0,2,era3,86.77899911719466,high
2026-02-17,2026-02-18,34370.0,34090.0,34430.0,-81.46639511201647,99.73599295981295,34090.0,10.0,5.866823115283074,99.73599295981295,93.86916984452988,False,False,False,False,False,False,False,False,False,True,True,1,2,era3,88.06522811570319,high
2026-02-18,2026-02-19,34430.0,34510.0,34660.0,23.235550392100013,43.465662126920265,34510.0,10.0,5.795421616922631,43.465662126920265,37.67024050999763,False,False,False,False,False,False,False,False,False,True,True,2,2,era3,87.11790964433126,high
2026-02-19,2026-02-20,34660.0,34910.0,34770.0,72.12925562608108,-40.103122314523176,34910.0,10.0,5.729017473503294,-40.103122314523176,-45.83213978802647,False,False,False,False,False,False,False,False,False,True,True,3,2,era3,89.00123822514503,high
2026-02-20,2026-02-24,34770.0,34590.0,34660.0,-51.768766177739955,20.237062734893563,34590.0,10.0,5.782017924255566,20.237062734893563,14.455044810637997,False,False,False,False,False,False,False,False,False,True,True,4,2,era3,88.1650419317104,high
2026-02-24,2026-02-25,34660.0,34690.0,34780.0,8.655510675130706,25.94407610262417,34690.0,10.0,5.765350245027386,25.94407610262417,20.178725857596785,False,False,False,False,False,False,False,False,False,True,True,1,2,era3,88.20119539870132,high
2026-02-25,2026-02-26,34780.0,35060.0,35320.0,80.5060379528455,74.1585852823734,35060.0,10.0,5.704506560182544,74.1585852823734,68.45407872219084,False,False,False,False,False,False,False,False,False,True,True,2,2,era3,89.51307205861941,high
2026-02-26,2026-02-27,35320.0,35300.0,35220.0,-5.662514156284937,-22.66288951841333,35300.0,10.0,5.665722379603399,-22.66288951841333,-28.328611898016728,False,False,False,False,False,False,False,False,False,True,True,3,2,era3,89.35649411256512,high
2026-02-27,2026-03-02,35220.0,35720.0,34970.0,141.96479273140162,-209.96640537514045,35720.0,10.0,5.599104143337066,-209.96640537514045,-215.5655095184775,False,False,False,False,False,False,False,False,False,True,True,4,2,era3,94.33250903267431,high
2026-03-02,2026-03-03,34970.0,35340.0,35000.0,105.80497569345093,-96.20826259196357,35340.0,10.0,5.659309564233164,-96.20826259196357,-101.86757215619674,False,False,False,False,False,False,False,False,False,True,True,0,3,era3,96.73889338493652,high
2026-03-03,2026-03-04,35000.0,34380.0,33280.0,-177.14285714285683,-319.95346131471814,34380.0,10.0,5.817335660267597,-319.95346131471814,-325.7707969749857,False,False,False,False,False,False,False,False,False,True,True,1,3,era3,105.75830530588951,high
2026-03-04,2026-03-05,33280.0,33130.0,34270.0,-45.07211538461564,344.09900392393666,33130.0,10.0,6.0368246302444915,344.09900392393666,338.06217929369217,False,False,False,False,False,False,False,False,False,True,True,2,3,era3,97.89018005553734,high
2026-03-05,2026-03-06,34270.0,34140.0,33410.0,-37.934053107674394,-213.82542472173415,34140.0,10.0,5.8582308142940835,-213.82542472173415,-219.68365553602823,False,False,False,False,False,False,False,False,False,True,True,3,3,era3,94.77683795151428,high
