rule,variable,state_a,state_b,n_a,n_b,mean_a,mean_b,diff,ci_lo,ci_hi,se,mde,null_p95,verdict
WD-Mon,直前日リターンの符号,1_非正,2_正,525,567,-13.301688525760401,-7.684270519671138,-5.617418006089263,-25.846263196584395,15.400660505574468,10.743677734907742,30.099328735519453,46.97033063602623,判定不能
WD-Mon,制度区分(年代),1990s,2000s,438,418,-18.050028504724356,-1.9125540569594512,-16.137474447764905,-38.98558650793709,5.134835655577655,11.282822261082302,31.609788070739203,46.97033063602623,判定不能
WD-Mon,制度区分(年代),1990s,2010s,438,236,-18.050028504724356,-11.165287202539954,-6.884741302184402,-30.528829986879064,15.278272109519584,11.769529949999637,32.97334113778898,46.97033063602623,判定不能
WD-Mon,制度区分(年代),2000s,2010s,418,236,-1.9125540569594512,-11.165287202539954,9.252733145580503,-11.6233881466763,29.649670054752985,10.508344404778411,29.440022356385207,46.97033063602623,判定不能
WD-Mon,泊数,2_2〜3泊,3_4泊以上,1045,47,-12.794444374493189,43.18779809931135,-55.98224247380454,-140.22881471874166,24.068151864426685,43.68238929797519,122.37993617033811,46.97033063602623,判定不能
WD-Tue,実現ボラ20日三分位,1_低,2_中,430,420,0.561116377345771,0.5690495738599517,-0.007933196514180674,-16.638741975036854,16.214234910651637,8.396994519260735,23.524895725826084,31.92070608183091,判定不能
WD-Tue,実現ボラ20日三分位,1_低,3_高,430,412,0.561116377345771,13.223943652888666,-12.662827275542895,-38.65712956028494,11.841487992764765,12.682747341637741,35.531797483570735,31.92070608183091,判定不能
WD-Tue,実現ボラ20日三分位,2_中,3_高,420,412,0.5690495738599517,13.223943652888666,-12.654894079028715,-40.61037657098669,13.859534339683183,13.964055863151941,39.121492497911134,31.92070608183091,判定不能
WD-Tue,直前日リターンの符号,1_非正,2_正,655,611,14.027791216432059,-6.061148356450667,20.088939572882726,4.529667833008227,37.250907228512155,8.386019064034844,23.494147052697823,31.92070608183091,判定不能
WD-Tue,制度区分(年代),1990s,2000s,491,496,2.923255995839508,5.615570536251434,-2.6923145404119264,-21.984986579692684,15.539290890302965,9.43339323781515,26.428455056304113,31.92070608183091,判定不能
WD-Tue,制度区分(年代),1990s,2010s,491,279,2.923255995839508,4.531182512665708,-1.6079265168262005,-21.216672763780092,18.729847059849998,10.438254795356322,29.243660342650834,31.92070608183091,判定不能
WD-Tue,制度区分(年代),2000s,2010s,496,279,5.615570536251434,4.531182512665708,1.084388023585726,-23.609828379849187,26.68810721624641,12.571710904269993,35.22071944191525,31.92070608183091,判定不能
WD-Tue,泊数,1_1泊,3_4泊以上,1144,122,1.2048195087931386,33.66006625337945,-32.45524674458631,-90.7622543010381,12.97484134748063,26.96753807988029,75.55185606662523,31.92070608183091,判定不能
WD-Wed,実現ボラ20日三分位,1_低,2_中,424,427,-2.6783097853898887,5.817079791309395,-8.495389576699283,-21.776594638534373,4.455447635105681,6.685287553393577,18.729402791678,140.91556968557617,判定不能
WD-Wed,実現ボラ20日三分位,1_低,3_高,424,424,-2.6783097853898887,-0.3437183388215639,-2.334591446568325,-21.495134312908526,17.531027459931256,9.784866141434554,27.41313634782266,140.91556968557617,判定不能
WD-Wed,実現ボラ20日三分位,2_中,3_高,427,424,5.817079791309395,-0.3437183388215639,6.160798130130958,-14.618210364788156,26.5323276982053,10.583760253622748,29.651306283755673,140.91556968557617,判定不能
WD-Wed,直前日リターンの符号,1_非正,2_正,648,631,10.269312089342815,-8.855455843900094,19.124767933242907,3.0239834942484194,35.080534636879044,8.365439358990757,23.436491255243162,140.91556968557617,判定不能
WD-Wed,制度区分(年代),1990s,2000s,493,502,1.4889768382758344,-6.859596405316235,8.34857324359207,-10.860063767159927,27.34750232811834,9.922629106455064,27.79909103429463,140.91556968557617,判定不能
WD-Wed,制度区分(年代),1990s,2010s,493,284,1.4889768382758344,13.296385248563196,-11.807408410287362,-29.274171474986474,5.327150786206441,8.76364188500096,24.552089566122525,140.91556968557617,判定不能
WD-Wed,制度区分(年代),2000s,2010s,502,284,-6.859596405316235,13.296385248563196,-20.15598165387943,-40.11058146960238,-0.7998609438157372,10.207535594321707,28.597280839385057,140.91556968557617,判定不能
WD-Wed,泊数,1_1泊,2_2〜3泊,1238,33,-1.4124954623290493,54.4030326993141,-55.81552816164315,-112.86549259084778,3.3896628630330436,29.49922674353278,82.64459760481124,140.91556968557617,判定不能
WD-Wed,泊数,1_1泊,3_4泊以上,1238,8,-1.4124954623290493,127.51136245989795,-128.923857922227,,,,,140.91556968557617,判定不能
WD-Wed,泊数,2_2〜3泊,3_4泊以上,33,8,54.4030326993141,127.51136245989795,-73.10832976058384,,,,,140.91556968557617,判定不能
WD-Thu,実現ボラ20日三分位,1_低,2_中,386,385,4.685293685448102,8.916371393487498,-4.231077708039396,-19.63917369535025,10.952723548751065,7.9379969018412115,22.23897478549093,120.03285651945895,判定不能
WD-Thu,実現ボラ20日三分位,1_低,3_高,386,406,4.685293685448102,7.278406761422108,-2.5931130759740055,-27.83526413931297,23.083560666391246,12.89812051454934,36.135183781282855,120.03285651945895,判定不能
WD-Thu,実現ボラ20日三分位,2_中,3_高,385,406,8.916371393487498,7.278406761422108,1.6379646320653904,-24.059490481863705,28.266657948079125,13.261377943282678,37.15288042416881,120.03285651945895,判定不能
WD-Thu,直前日リターンの符号,1_非正,2_正,601,580,8.979549720365096,4.986175755790031,3.993373964575065,-14.344551366774994,22.213085186894396,9.44107063970902,26.449963951967234,120.03285651945895,判定不能
WD-Thu,制度区分(年代),1990s,2000s,456,462,8.120575667626321,4.146026961761067,3.9745487058652538,-21.23159144196251,29.917671587514793,13.010144423778865,36.449028309510076,120.03285651945895,判定不能
WD-Thu,制度区分(年代),1990s,2010s,456,263,8.120575667626321,10.153020378427469,-2.0324447108011476,-23.148506340769057,20.216002837600875,11.035401019574852,30.91661637776427,120.03285651945895,判定不能
WD-Thu,制度区分(年代),2000s,2010s,462,263,4.146026961761067,10.153020378427469,-6.006993416666401,-29.259065458065617,17.38971307716477,12.107836224267187,33.92113499513658,120.03285651945895,判定不能
WD-Thu,泊数,1_1泊,2_2〜3泊,1142,29,7.332162641835152,-14.572894626984043,21.905057268819196,-46.50128454768473,87.5985015779422,35.265239041663555,98.79857242952023,120.03285651945895,判定不能
WD-Thu,泊数,1_1泊,3_4泊以上,1142,10,7.332162641835152,33.797552750443394,-26.46539010860824,,,,,120.03285651945895,判定不能
WD-Thu,泊数,2_2〜3泊,3_4泊以上,29,10,-14.572894626984043,33.797552750443394,-48.37044737742744,,,,,120.03285651945895,判定不能
WD-Fri,実現ボラ20日三分位,1_低,2_中,388,386,-0.3811918724975168,-7.844992267672343,7.463800395174826,-8.764892572472565,24.83815969885306,8.663742824317126,24.272213834358674,124.89862549451163,判定不能
WD-Fri,実現ボラ20日三分位,1_低,3_高,388,402,-0.3811918724975168,3.060637058593784,-3.4418289310913006,-25.22435381120766,19.73478507385318,11.287026143658155,31.621565606024443,124.89862549451163,判定不能
WD-Fri,実現ボラ20日三分位,2_中,3_高,386,402,-7.844992267672343,3.060637058593784,-10.905629326266126,-32.12936459752523,11.833917249356455,11.131163822426045,31.184904030723878,124.89862549451163,判定不能
WD-Fri,直前日リターンの符号,1_非正,2_正,596,584,-7.994745565102197,4.877240741218825,-12.871986306321022,-29.964078924716336,3.2142115089187437,8.503313523821019,23.822757477458442,124.89862549451163,判定不能
WD-Fri,制度区分(年代),1990s,2000s,460,459,-10.137410139367342,-0.5670504177760548,-9.570359721591286,-27.7904965894585,11.637471658364854,9.873290994087416,27.6608661079718,124.89862549451163,判定不能
WD-Fri,制度区分(年代),1990s,2010s,460,262,-10.137410139367342,11.203347863355141,-21.34075800272248,-41.62689846476499,-1.7165923797438323,10.207975820102616,28.598514169425698,124.89862549451163,判定不能
WD-Fri,制度区分(年代),2000s,2010s,459,262,-0.5670504177760548,11.203347863355141,-11.770398281131197,-34.60280952174037,8.308883658332295,11.13482320687503,31.19515610810533,124.89862549451163,判定不能
WD-Fri,泊数,1_1泊,2_2〜3泊,1144,30,-2.6288431073802845,8.869826837586304,-11.498669944966588,-46.99306317211813,25.172656856142268,18.288173544138175,51.23587667644908,124.89862549451163,判定不能
WD-Fri,泊数,1_1泊,3_4泊以上,1144,7,-2.6288431073802845,107.58486343518835,-110.21370654256864,,,,,124.89862549451163,判定不能
WD-Fri,泊数,2_2〜3泊,3_4泊以上,30,7,8.869826837586304,107.58486343518835,-98.71503659760205,,,,,124.89862549451163,判定不能
PH,実現ボラ20日三分位,1_低,2_中,93,88,-2.2411456327068904,-9.761466683647159,7.520321050940268,-14.446138106276011,28.83225705708009,11.092994855519002,31.077970417227874,156.78753616014828,判定不能
PH,実現ボラ20日三分位,1_低,3_高,93,103,-2.2411456327068904,11.713418912746283,-13.954564545453174,-48.73284215612593,20.207043253268374,17.86796927976814,50.0586386205973,156.78753616014828,判定不能
PH,実現ボラ20日三分位,2_中,3_高,88,103,-9.761466683647159,11.713418912746283,-21.47488559639344,-59.105361200161546,13.355486828690454,18.378066527313024,51.487719529367595,156.78753616014828,判定不能
PH,直前日リターンの符号,1_非正,2_正,144,141,-8.12126029377736,8.782823745987558,-16.904084039764918,-42.9655809831724,9.899868603839305,13.58800313336746,38.06794872873275,156.78753616014828,判定不能
PH,制度区分(年代),1990s,2000s,110,112,6.131487327137225,-8.359272634016031,14.490759961153255,-15.095585760579757,44.54055613688658,15.050632117888112,42.16562847206174,156.78753616014828,判定不能
PH,制度区分(年代),1990s,2010s,110,63,6.131487327137225,5.249072935000112,0.8824143921371128,-29.126538878275017,31.390100585218505,15.741290962907586,44.10056808336365,156.78753616014828,判定不能
PH,制度区分(年代),2000s,2010s,112,63,-8.359272634016031,5.249072935000112,-13.608345569016144,-37.30158959498085,9.90009088631389,12.054815703107298,33.77259348677257,156.78753616014828,判定不能
PH,泊数,1_1泊,2_2〜3泊,243,39,4.605169392886629,-29.257094197364214,33.86226359025084,6.463600971024716,63.18896955907701,14.360051412819484,40.23090777649111,156.78753616014828,判定不能
PH,泊数,1_1泊,3_4泊以上,243,3,4.605169392886629,30.29572570202014,-25.69055630913351,,,,,156.78753616014828,判定不能
PH,泊数,2_2〜3泊,3_4泊以上,39,3,-29.257094197364214,30.29572570202014,-59.55281989938435,,,,,156.78753616014828,判定不能
SQm,実現ボラ20日三分位,1_低,2_中,16,15,11.457800000932023,3.166509341526738,8.291290659405284,,,,,123.41210999441176,判定不能
SQm,実現ボラ20日三分位,1_低,3_高,16,16,11.457800000932023,-13.074129441063562,24.531929441995587,,,,,123.41210999441176,判定不能
SQm,実現ボラ20日三分位,2_中,3_高,15,16,3.166509341526738,-13.074129441063562,16.2406387825903,,,,,123.41210999441176,判定不能
SQm,直前日リターンの符号,1_非正,2_正,24,24,-23.947619199862444,21.553466028323143,-45.50108522818559,-89.01957313783012,-3.259790629568962,22.239101956199374,62.3047393154265,123.41210999441176,判定不能
SQq,実現ボラ20日三分位,1_低,2_中,5,5,58.34437611138111,40.07087517511488,18.27350093626623,,,,,54.82480056989088,判定不能
SQq,実現ボラ20日三分位,1_低,3_高,5,5,58.34437611138111,13.624311778852814,44.720064332528295,,,,,54.82480056989088,判定不能
SQq,実現ボラ20日三分位,2_中,3_高,5,5,40.07087517511488,13.624311778852814,26.446563396262064,,,,,54.82480056989088,判定不能
SQq,直前日リターンの符号,1_非正,2_正,7,9,-0.7700896875008506,54.05471088239003,-54.82480056989088,,,,,54.82480056989088,判定不能
