date_prev,date,close_prev,close,r,r_bps,nights,tick_yen,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,price_scale_splice,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year
2012-04-17,2012-04-18,825.0,840.0,0.018181818181818077,181.81818181818076,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-04-18,2012-04-19,840.0,835.0,-0.005952380952380931,-59.52380952380931,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-04-19,2012-04-20,835.0,833.0,-0.0023952095808382756,-23.952095808382758,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-04-20,2012-04-23,833.0,830.0,-0.0036014405762304635,-36.014405762304634,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-04-23,2012-04-24,830.0,825.0,-0.0060240963855421326,-60.24096385542133,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-04-24,2012-04-25,825.0,831.0,0.0072727272727273196,72.7272727272732,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-04-25,2012-04-26,831.0,831.0,0.0,0.0,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-04-26,2012-04-27,831.0,825.0,-0.0072202166064981865,-72.20216606498187,1,,,,,,,False,True,False,False,False,False,True,True,False,False,val,2010s,2012
2012-04-27,2012-05-01,825.0,811.0,-0.016969696969696968,-169.6969696969697,4,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2012
2012-05-01,2012-05-02,811.0,813.0,0.002466091245376001,24.66091245376001,1,,,,,,,False,True,False,False,True,False,False,True,False,False,val,2010s,2012
2012-05-02,2012-05-07,813.0,792.0,-0.02583025830258301,-258.3025830258301,5,,,,,,,False,True,True,False,False,False,False,False,False,False,val,2010s,2012
2012-05-07,2012-05-08,792.0,798.0,0.007575757575757569,75.7575757575757,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-05-08,2012-05-09,798.0,786.0,-0.015037593984962405,-150.37593984962405,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-05-09,2012-05-10,786.0,785.0,-0.0012722646310432406,-12.722646310432406,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-05-10,2012-05-11,785.0,777.0,-0.010191082802547768,-101.91082802547768,1,,,,,,,False,False,False,False,False,False,True,False,True,False,val,2010s,2012
2012-05-11,2012-05-14,777.0,775.0,-0.002574002574002532,-25.740025740025317,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-05-14,2012-05-15,775.0,766.0,-0.011612903225806437,-116.12903225806437,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-05-15,2012-05-16,766.0,758.0,-0.010443864229765065,-104.43864229765066,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
