date_prev,date,close_prev,close,r,r_bps,nights,close_prev_day_session,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,cost_bps_cons_fullday_base,sq_adjacent_excluded,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year,vol20,state_vol,state_prev_sign,state_regime,state_nights
1995-02-17,1995-02-20,18080.0,18010.0,-0.0038716814159291957,-38.71681415929196,3,18080.0,6.7477876106194685,1.2168141592920354,-45.464601769911425,-39.93362831858399,-822.0,6.7477876106194685,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.01656952683316251,3_高,2_正,1990s,2_2〜3泊
1995-02-20,1995-02-21,18010.0,18180.0,0.00943920044419766,94.3920044419766,1,18010.0,6.774014436424209,1.2215435868961688,87.61799000555239,93.17046085508042,1578.0,6.774014436424209,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.011570854374983511,2_中,1_非正,1990s,1_1泊
1995-02-21,1995-02-22,18180.0,18180.0,0.0,0.0,1,18180.0,6.71067106710671,1.21012101210121,-6.71067106710671,-1.21012101210121,-122.0,6.71067106710671,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.011463486742393577,2_中,2_正,1990s,1_1泊
1995-02-22,1995-02-23,18180.0,17830.0,-0.01925192519251928,-192.5192519251928,1,18180.0,6.71067106710671,1.21012101210121,-199.22992299229952,-193.72937293729402,-3622.0,6.71067106710671,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.01144667543168147,2_中,1_非正,1990s,1_1泊
1995-02-23,1995-02-24,17830.0,17580.0,-0.014021312394840169,-140.2131239484017,1,17830.0,6.842400448681997,1.233875490745934,-147.05552439708367,-141.44699943914762,-2622.0,6.842400448681997,False,False,False,False,False,False,True,False,False,False,train,1990s,1995,0.012228493220725323,2_中,1_非正,1990s,1_1泊
1995-02-24,1995-02-27,17580.0,16890.0,-0.03924914675767921,-392.4914675767921,3,17580.0,6.9397042093287835,1.2514220705346983,-399.4311717861209,-393.7428896473268,-7022.0,6.9397042093287835,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.012575341154266336,2_中,1_非正,1990s,2_2〜3泊
1995-02-27,1995-02-28,16890.0,17000.0,0.006512729425695696,65.12729425695696,1,16890.0,7.223208999407934,1.3025458851391354,57.90408525754903,63.824748371817826,978.0,7.223208999407934,False,True,False,True,False,False,False,False,False,False,train,1990s,1995,0.011406330448755969,2_中,1_非正,1990s,1_1泊
1995-02-28,1995-03-01,17000.0,16610.0,-0.022941176470588243,-229.41176470588243,1,17000.0,7.176470588235294,1.2941176470588234,-236.58823529411774,-230.70588235294125,-4022.0,7.176470588235294,False,True,False,False,True,False,False,False,False,False,train,1990s,1995,0.011714103165933604,2_中,2_正,1990s,1_1泊
1995-03-01,1995-03-02,16610.0,17010.0,0.02408187838651421,240.8187838651421,1,16610.0,7.344972907886815,1.3245033112582782,233.4738109572553,239.49428055388384,3878.0,7.344972907886815,False,True,False,False,False,True,False,False,False,False,train,1990s,1995,0.012219533432218483,2_中,1_非正,1990s,1_1泊
1995-03-02,1995-03-03,17010.0,17080.0,0.004115226337448652,41.15226337448652,1,17010.0,7.1722516166960615,1.2933568489124043,33.980011757790464,39.85890652557412,578.0,7.1722516166960615,False,True,False,False,False,False,True,False,False,False,train,1990s,1995,0.013960851122993534,2_中,2_正,1990s,1_1泊
1995-03-03,1995-03-06,17080.0,17060.0,-0.0011709601873536313,-11.709601873536313,3,17080.0,7.142857142857143,1.288056206088993,-18.852459016393457,-12.997658079625307,-322.0,7.142857142857143,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.014096684011594782,2_中,2_正,1990s,2_2〜3泊
1995-03-06,1995-03-07,17060.0,16990.0,-0.004103165298944944,-41.03165298944944,1,17060.0,7.151230949589683,1.2895662368112544,-48.18288393903912,-42.321219226260695,-822.0,7.151230949589683,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.013895719181189842,2_中,1_非正,1990s,1_1泊
1995-03-07,1995-03-08,16990.0,16620.0,-0.021777516185991774,-217.77516185991774,1,16990.0,7.1806945261918775,1.2948793407886994,-224.95585638610962,-219.07004120070644,-3822.0,7.1806945261918775,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.013889204319548015,2_中,1_非正,1990s,1_1泊
