rule,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi,mde_bps
PH,制度区分(年代),2000s,112,-8.359272634016031,-23.642214930160694,7.583006048594634,10.447717888409,-18.80699052242503,-35.374889950551946,-0.6464437093691675,22.316766586300194
PH,制度区分(年代),2010s,63,5.249072935000112,-12.123075075551641,22.80109299871026,10.678759415775854,-5.429686480775737,-23.02766624646485,12.688003778957231,24.960416058041535
PH,泊数,1_1泊,243,4.605169392886629,-7.149065817810321,17.9981423033981,8.922478587590467,-4.317309194703838,-17.7320034274336,9.141799441562648,17.97279110754563
PH,泊数,2_2〜3泊,39,-29.257094197364214,-55.255123540636994,-5.518984775791399,8.856733528412581,-38.113827725776794,-61.33977468219283,-14.070192620262988,35.546579493354784
PH,泊数,3_4泊以上,3,30.29572570202014,,,9.88846854662138,20.40725715539876,,,
SQm,実現ボラ20日三分位,1_低,16,11.457800000932023,,,4.347752482298228,7.1100475186337935,,,
SQm,実現ボラ20日三分位,2_中,15,3.166509341526738,,,4.907450595617552,-1.74094125409081,,,
SQm,実現ボラ20日三分位,3_高,16,-13.074129441063562,,,6.0105934339607385,-19.084722875024298,,,
SQm,直前日リターンの符号,1_非正,24,-23.947619199862444,-59.7557782263658,9.114528588936627,5.213419195218041,-29.161038395080478,-63.47926151634859,4.631684355038904,49.22183138334507
SQm,直前日リターンの符号,2_正,24,21.553466028323143,-5.416336081578341,48.52609571259997,4.8534633297843115,16.70000269853883,-9.830785590274523,43.324721742401216,38.55283074752739
SQm,制度区分(年代),2010s,48,-1.1970765857696506,-35.07228454658764,33.036938397050136,5.033441262501176,-6.2305178482708214,-39.90475255001022,27.32075139166346,48.6778822747673
SQm,泊数,1_1泊,48,-1.1970765857696506,-34.62731115718176,32.3723763135352,5.033441262501176,-6.2305178482708214,-40.41310208091833,27.88921520853494,47.88489367797752
SQq,実現ボラ20日三分位,1_低,5,58.34437611138111,,,4.928306492603703,53.416069618777406,,,
SQq,実現ボラ20日三分位,2_中,5,40.07087517511488,,,3.7087534929006916,36.36212168221418,,,
SQq,実現ボラ20日三分位,3_高,5,13.624311778852814,,,6.359977544337141,7.264334234515684,,,
SQq,直前日リターンの符号,1_非正,7,-0.7700896875008506,,,6.0230269989599154,-6.793116686460762,,,
SQq,直前日リターンの符号,2_正,9,54.05471088239003,,,3.898209518015331,50.156501364374705,,,
SQq,制度区分(年代),2010s,16,30.06886063306277,,,4.827817165928588,25.241043467134187,,,
SQq,泊数,1_1泊,16,30.06886063306277,,,4.827817165928588,25.241043467134187,,,
