属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q3(上位 3 分位),60,300,1828,0.000000,1828,370,-6.115938,0.675562,0.680706,0.992443,-7.152682,0.182682,1790,38,0.370897,1828
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q3(上位 3 分位),60,900,1828,0.000000,1828,370,-5.524292,1.140433,1.118899,1.019245,-7.699521,0.182682,1790,38,0.399891,1828
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q1(下位 3 分位),60,60,2362,0.000000,2362,440,-3.647131,0.163327,0.160669,1.016546,-3.668032,0.159180,2293,69,0.312447,2362
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q1(下位 3 分位),60,300,2362,0.000000,2362,440,-4.464486,0.386183,0.361994,1.066822,-4.381506,0.159180,2293,69,0.368755,2362
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q1(下位 3 分位),60,900,2362,0.000000,2362,440,-5.443852,0.676155,0.603264,1.120828,-6.229363,0.159180,2293,69,0.376799,2362
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q2(中位 3 分位),60,60,2451,0.000000,2451,429,-5.011383,0.189086,0.183441,1.030768,-5.035663,0.165690,2390,61,0.264382,2451
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q2(中位 3 分位),60,300,2451,0.000000,2451,429,-5.375360,0.407439,0.417343,0.976270,-6.483590,0.165690,2390,61,0.354141,2451
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q2(中位 3 分位),60,900,2451,0.000000,2451,429,-6.746926,0.702954,0.718586,0.978245,-8.268863,0.165690,2390,61,0.372093,2451
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q3(上位 3 分位),60,60,2253,0.000000,2253,383,-8.288015,0.315974,0.264489,1.194656,-7.947287,0.183371,2225,28,0.234354,2253
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q3(上位 3 分位),60,300,2253,0.000000,2253,383,-8.492446,0.616757,0.752611,0.819490,-8.524745,0.183371,2225,28,0.353307,2253
