draw,mean_net_bps,sharpe,n
71,-4.963450923056394,-3.3331347406986223,24717
72,-4.769401265315103,-3.102452021602292,24717
73,-4.607830094737082,-3.133997737027441,24717
74,-3.8090176954936603,-2.7108471183872225,24717
75,-3.54667360051968,-2.541991760049894,24717
76,-4.7523221700879885,-3.2070513534295957,24717
77,-4.129632783842454,-2.96938301214709,24717
78,-4.129311823030172,-2.831473639160613,24717
79,-4.916335813902462,-3.7053469991916845,24717
80,-4.9370054224018975,-3.755574935658205,24717
81,-4.537676526690575,-3.1851598614026972,24717
82,-3.4668294855689745,-2.543868647768918,24717
83,-4.729098002869493,-3.2916565702194505,24717
84,-3.3716747512491243,-2.2578726327486685,24717
85,-5.034729420292413,-3.709093496374549,24717
86,-4.648707078803277,-3.532012868587084,24717
87,-4.623717876192674,-3.1259876190725704,24717
88,-4.662481056102363,-3.3051013070775017,24717
89,-5.652296978605345,-3.944797063061725,24717
90,-4.286262535460098,-3.0551287986905855,24717
91,-4.008779692371232,-2.876721515772353,24717
92,-3.6507070926317677,-2.5199896100129893,24717
93,-4.0957739582911215,-2.92129937202748,24717
94,-3.432625021701779,-2.3322181275649325,24717
95,-3.866693018718882,-2.74404211653087,24717
96,-3.3548276064149944,-2.5070973366943083,24717
97,-4.726349590288725,-3.387708120211144,24717
98,-5.015373603342241,-3.5885542245183353,24717
99,-4.004267321503983,-2.7879516609913466,24717
100,-4.4365281560810415,-3.118506504132279,24717
101,-4.245151801851687,-2.895170987232833,24717
102,-4.115248993646809,-2.974165098124447,24717
103,-4.978476739761049,-3.569714851258678,24717
104,-4.756093659402646,-3.4532208591322195,24717
105,-3.8457141015214793,-2.6884118015538663,24717
106,-4.262439749945435,-2.9771210205896477,24717
107,-4.2778654924053106,-2.788344972495457,24717
108,-4.890648331294238,-3.46470373770747,24717
109,-4.067485577443848,-2.9661263369840225,24717
110,-5.29594289234301,-3.673339746639003,24717
111,-4.179763572082489,-2.8976317441465325,24717
112,-4.421599982336626,-3.01281988811173,24717
113,-4.758926005462292,-3.319524017695764,24717
114,-4.986021665018371,-3.486339509724712,24717
115,-4.275346979464121,-3.055620445323708,24717
116,-3.5972379868622344,-2.62281437328051,24717
117,-3.196286996398689,-2.442701113508904,24717
118,-3.1580538339098956,-2.264102484138984,24717
119,-4.491945873514191,-3.1623232260477327,24717
120,-4.053416884670926,-3.078707983758093,24717
121,-4.563104819213477,-3.022302391731311,24717
122,-4.626701906550704,-3.357987914830118,24717
123,-3.807776192862185,-2.7372817886034007,24717
124,-4.465463943203809,-3.1851179380121066,24717
125,-4.649035264533732,-3.289163169578067,24717
126,-4.227320968257877,-2.9217594103888644,24717
127,-4.701726405073487,-3.4325516275193553,24717
128,-6.117955003104191,-4.171415073334636,24717
129,-4.564963745758105,-3.270205126612343,24717
130,-4.5027111466592595,-3.1144081046904293,24717
131,-4.285284576760819,-3.008356265073237,24717
132,-5.236606171256809,-3.708577121678816,24717
133,-3.9508741995381413,-2.8553071655477944,24717
134,-4.321573015819276,-2.9076360461451025,24717
135,-4.33086351248351,-2.9345555691704837,24717
136,-4.056053652528018,-2.8287225332550876,24717
137,-5.009855488658199,-3.6403053331535093,24717
138,-4.307743117275947,-3.1837255867630527,24717
139,-3.5585693112915067,-2.5217880925767044,24717
140,-3.568549455077053,-2.403548750957254,24717
141,-4.602066999289784,-3.3037076228694837,24717
142,-5.65829466125331,-3.8289118974266447,24717
143,-4.054834807572946,-2.8166656680507853,24717
144,-4.2697556396661405,-2.972874023924047,24717
145,-4.729060022448334,-3.2848190479805606,24717
146,-4.333963919506931,-2.9838920665414332,24717
147,-4.580576730398133,-3.427103449975788,24717
148,-4.930284366465707,-3.5299619782909817,24717
149,-4.343615991213237,-3.1060845197292495,24717
150,-4.469708722975129,-3.051195284692598,24717
151,-4.172298811310794,-3.025258267427401,24717
152,-4.421444162117909,-3.134040888105197,24717
153,-3.4322829269775625,-2.4011376906155033,24717
154,-4.123492044670177,-2.8851790514768973,24717
155,-3.899527268282763,-2.81922572193272,24717
156,-4.918141763055484,-3.4599328138689014,24717
157,-3.613801513451499,-2.486577598925996,24717
158,-3.620865673456554,-2.619498697636817,24717
159,-4.07005022837727,-2.8363582785395978,24717
160,-4.088959955919112,-2.9485105718520512,24717
161,-4.458786500051339,-3.19875629343863,24717
162,-3.741469390074763,-2.763668124168677,24717
163,-4.405959128984355,-3.0021268847784115,24717
164,-5.240261879104604,-3.5983500754771534,24717
165,-3.996106010907427,-2.7458012247463093,24717
166,-4.562055015464594,-3.0050118062221483,24717
167,-4.408749374642651,-3.0457763269367306,24717
168,-4.926938486109702,-3.4455985229292994,24717
169,-4.887352490829131,-3.4566196796132584,24717
170,-3.668590069751304,-2.6004627271299827,24717
171,-3.9944427953813144,-2.786482054379512,24717
172,-5.078698147230062,-3.7031790681844856,24717
173,-4.4585445411909275,-3.5049269786292685,24717
174,-4.157975765740121,-3.1024614296206985,24717
175,-5.294531716770539,-3.668048919894303,24717
176,-5.62958849842643,-3.7962951395074316,24717
177,-4.236181526053207,-3.07838510151668,24717
178,-4.495199187300916,-3.054379534409913,24717
179,-4.44296076162478,-2.9606816383588783,24717
180,-4.412659766717034,-3.237469381762997,24717
181,-4.210631536325255,-3.0139798574517496,24717
182,-5.369585117049356,-3.6786822362877203,24717
183,-4.512849516396244,-3.180848024851324,24717
184,-4.032794557850446,-2.7695748243364413,24717
185,-4.633110693584473,-3.198887823838522,24717
186,-4.019306648394389,-2.867598152443784,24717
187,-4.818974211813821,-3.251971451173596,24717
188,-4.7542944025906335,-3.4548159406215553,24717
189,-4.767863303772547,-3.463790973398639,24717
190,-3.889171080679055,-2.6995236433984307,24717
191,-4.67084667299489,-3.5002552645273997,24717
192,-4.884939615925586,-3.5544563465783776,24717
193,-4.084475340756782,-2.9254771689105463,24717
194,-4.941028596652616,-3.453616962567058,24717
195,-3.821988573097189,-2.586378910600647,24717
196,-4.3834949781422905,-3.059732729136451,24717
197,-3.798327379085768,-2.663247109091243,24717
198,-3.71149777388256,-2.7232831924793386,24717
199,-3.94783661094469,-2.7879666287672404,24717
200,-3.6438685373579327,-2.6473044269034327,24717
201,-4.934927431268834,-3.565494655591522,24717
202,-4.200364647151907,-3.250309376915268,24717
203,-5.275127686266696,-3.9432787767621345,24717
204,-4.9562785247622045,-3.5230259965867377,24717
205,-4.997585652878737,-3.40466179762067,24717
206,-5.020271762536532,-3.592722969877189,24717
207,-4.082885906884269,-3.0458143959632107,24717
208,-4.727172713245041,-3.300430345571574,24717
209,-4.713944135716849,-3.26318694998115,24717
210,-3.984018113991942,-2.959881630289565,24717
211,-4.646960177254538,-3.2705949951641533,24717
212,-4.17278411487417,-3.0454861892271343,24717
213,-4.390130449208385,-2.894271956733487,24717
214,-4.771015615276343,-3.3212583249122787,24717
215,-4.2265499136553295,-2.956993815098256,24717
216,-4.339791526798706,-3.079622630213515,24717
217,-4.5900812524194405,-3.1812659258551435,24717
218,-4.481541566608166,-3.130924424603341,24717
219,-3.3483446494839133,-2.445177332376566,24717
220,-5.168344233819095,-3.582039784222731,24717
221,-4.876971524491992,-3.5292264798348,24717
222,-3.7716199091623497,-2.7830166207898803,24717
223,-5.175253266938357,-3.467432566759631,24717
224,-4.872883383705239,-3.170382464351693,24717
225,-4.335895621246145,-3.005522995104524,24717
226,-4.351514621437893,-2.9498725369160312,24717
227,-4.713608200737629,-3.3936492141448515,24717
228,-4.444832167050467,-3.0184184872838444,24717
229,-3.9312669316573206,-2.849180887341206,24717
230,-3.7758203638378767,-2.6685574317267755,24717
231,-5.135696696164928,-3.49587140037636,24717
232,-4.783722511698921,-3.3519267923222595,24717
233,-5.193161097717269,-3.702148095383979,24717
234,-4.612052613923582,-3.1375964565141152,24717
235,-5.163197481763665,-3.552629050982463,24717
236,-4.155440647852297,-3.0112327519429214,24717
237,-3.3377245450147472,-2.501799792284428,24717
238,-4.156706886960694,-3.048846406625738,24717
239,-5.055153318741963,-3.6238740767805364,24717
240,-3.774382063140985,-2.8752719592778067,24717
241,-4.770895737636754,-3.4043071559217166,24717
242,-4.82134496640821,-3.357624801095572,24717
243,-4.3229208742343515,-3.197202998002998,24717
244,-5.842208536681221,-3.6766528081377308,24717
245,-4.358368663973496,-2.9686925917469633,24717
246,-5.116077816163472,-3.6260110405935926,24717
