draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
1511,1.1762069999967935,-4.122741600130441,-2.940419551056557,8386,-4.189073666652213,-2.6724796277361786,5738,-3.7358912818488097,-3.8992733319041983,2648
1512,1.2134979099937482,-3.468884229433382,-2.625009129986002,8396,-3.7049243147470294,-2.5865859995028173,5898,-2.7593054548553844,-3.047576092106583,2498
1513,1.1603789539949503,-3.1632985231616484,-1.9647098172288966,8360,-2.994756956584235,-1.9044656987364925,6046,-3.3988913472696445,-2.1934086042232677,2314
1514,1.278391470987117,-3.478053464211701,-2.496510621296549,8424,-3.572466216945833,-2.369735773315503,5724,-3.015243067606626,-3.1234445722087796,2700
1515,1.1671484910038998,-3.5282229892748465,-2.358958597045252,8369,-3.5930120186644787,-2.32567631157102,5944,-2.6593556350445406,-2.77635290173126,2425
1516,1.1251046550023602,-3.673830659278057,-2.8408358944289493,8397,-3.667114585249294,-3.060311089140668,6010,-3.6000013210588007,-2.295449110990253,2387
1517,1.109634812004515,-3.5023396426019637,-3.426494835565526,8369,-3.624225495471203,-3.1977502894188228,5981,-3.21461092636662,-3.0297444224002184,2388
1518,1.1493454879964702,-3.7942397454873187,-2.9654360314440917,8327,-3.7150597919321586,-2.5624508217940014,5847,-3.70464709741441,-3.9353975850284035,2480
1519,1.1956916409981204,-3.8188280154519267,-3.1018970898902616,8327,-3.6984896802475964,-2.829747198895196,5648,-3.7056615226934717,-4.333006008679497,2679
1520,1.2331910579960095,-3.710825896971022,-2.3943544767171407,8328,-3.7998589743810482,-1.9021900394803204,5739,-3.464187741710072,-4.129944580818651,2589
1521,1.1835904509935062,-3.4416162987815424,-2.5334264745938992,8400,-3.519604044251532,-2.353341053194135,5861,-3.259135598725942,-3.693202164261716,2539
1522,1.3066155800042907,-3.4411007267841143,-2.5321063460749413,8305,-3.6090309037790695,-2.8774492481419367,5874,-2.3024300537165368,-1.5315415329164672,2431
1523,1.2316116229922045,-3.682033210388547,-2.6289270885578584,8439,-3.657090575222544,-2.289086710633773,5926,-3.42020659973851,-3.7103991705395294,2513
1524,1.216291745993658,-3.615444515985513,-2.3935567196389167,8298,-3.8685162156165696,-2.169686779883982,5936,-2.9905670919446674,-3.9162628669166932,2362
1525,1.227378771000076,-4.055560938269714,-3.1454579456535496,8400,-4.160897738918495,-3.4657463888917426,5820,-3.2474997335948563,-2.289690090960045,2580
1526,1.226477945005172,-3.8327003715359202,-3.3608726571472847,8326,-3.779077915917746,-3.304374294054025,6075,-3.7304015453097903,-3.8985523184475386,2251
1527,1.2685584470018512,-3.358859133112512,-2.251906861086049,8366,-3.4280717134493726,-2.317926000929189,5767,-3.060171287501915,-2.1484432378654987,2599
1528,1.228977606006083,-3.5652311308387974,-2.2405017306248767,8443,-3.5291731882985213,-2.104052024065549,6011,-3.6033805105587704,-3.035764240589499,2432
1529,1.1725649870058987,-3.710358816213196,-2.9708686326344655,8402,-3.528182885149516,-2.7367153383682625,5812,-3.6543385167816256,-3.745866212539933,2590
1530,1.2807799419970252,-3.4651371681296186,-2.6210733650845652,8363,-3.4985724010474057,-2.539704788690244,5975,-3.3703003614125917,-2.9766218213202142,2388
1531,1.1742434240004513,-3.094620029967401,-1.842850064895944,8336,-2.559566582097741,-1.6254066033616636,5775,-3.5786063277274516,-2.564305209984269,2561
1532,1.1640443689975655,-3.7022450654645467,-2.5466220853526123,8345,-3.770644611552391,-2.2282419981303123,5785,-3.409078126553648,-3.8103770119187126,2560
1533,1.2220094239892205,-3.7289987605440644,-2.93956658104951,8401,-3.709386537382406,-2.3773780863417175,5919,-3.7682369247481278,-4.689927941896864,2482
1534,1.2443124780111248,-3.744213156684269,-2.9226283034321705,8351,-3.8013526632217065,-2.7715525055402472,6106,-3.457985694947162,-3.537818723148506,2245
1535,1.1524958389927633,-3.5605693359001678,-1.9607390093553494,8428,-3.6694477363581304,-1.9029465278827145,5891,-3.1049258025130375,-2.3370079408635545,2537
1536,1.3382101290044375,-3.695175825671448,-2.533138632263022,8357,-3.6897254960434402,-2.3042667369507206,5715,-3.544572932027103,-3.444600616877485,2642
1537,1.3575425640010508,-3.45897181960618,-2.565069718012066,8508,-3.612724099275256,-2.633168831066919,5998,-3.0763375991539617,-2.488936399387434,2510
1538,1.2355926460004412,-3.443610721811244,-2.384988433999187,8379,-3.2780315814201733,-2.1056328263271755,5762,-3.5527327535231725,-3.8471367891324273,2617
1539,1.2653829459886765,-3.6240866423976903,-2.9684863807842454,8374,-3.526357924152608,-2.8154367453046105,5762,-3.713174327724231,-3.7498102432982896,2612
1540,1.3912591660046019,-3.8297149378237454,-2.908484545778909,8301,-3.9260744180142555,-2.777874629103367,5853,-3.153021147403867,-3.5109297995845905,2448
1541,1.2881439170014346,-3.571432660872677,-2.418493354720201,8385,-3.4459226725369287,-2.144698443714991,5883,-3.431632719404126,-3.593102138752705,2502
1542,1.2397826470114524,-3.8667634597191123,-2.4954948422890824,8368,-4.087720316563749,-2.71450470513736,5613,-3.0297437215680505,-1.9293978210753358,2755
1543,1.2679294730041875,-3.6300588238151166,-2.3481621622338706,8399,-3.3776810036478726,-1.9907021081810197,5844,-3.4064454083532585,-3.8107410593790663,2555
1544,1.2089892310032155,-3.6569225515540373,-2.7694830607369827,8290,-3.6397247241233184,-2.6931829705064567,5501,-3.5208956733951964,-3.413371057011061,2789
1545,1.2144188149977708,-3.8284654515580185,-3.3089933732512704,8449,-3.9676878416136696,-3.31997007729075,6031,-3.2324099856638537,-2.292647845058037,2418
1546,1.1698087559925625,-3.7805438783289387,-2.573151134164202,8323,-3.801857821660332,-2.294082865526867,5696,-3.6576628894837055,-3.5733997627680103,2627
1547,1.2405662300006952,-3.639058284819702,-2.9343643828515007,8367,-3.772141478515894,-3.021919584036057,5904,-3.2663432470052816,-2.8281525690481635,2463
1548,1.237623966007959,-3.478636260113042,-2.5787543295702093,8502,-3.313431940451899,-2.042505286206967,6026,-3.7053328413019453,-4.766874263411496,2476
1549,1.1733958780096145,-3.6859664999107444,-2.3908593549527413,8389,-3.853091226447269,-2.4003613273210003,6007,-3.187991919589593,-2.692546451437346,2382
1550,1.2392836150102085,-3.2214065346334193,-2.4638426477434088,8392,-3.4332613261797733,-2.5675836328817536,5850,-2.7159237895668675,-2.2932546165320407,2542
1551,1.1352670190099161,-3.2793003910031384,-2.3798808397990303,8410,-2.9142131968005014,-1.9914221051693486,5796,-3.630047911028244,-3.933701672063032,2614
1552,1.2875810910045402,-3.2334945974919918,-3.249275283197522,8380,-2.987661895940874,-3.4289136713313764,6126,-3.6347405751218096,-2.85044258911277,2254
1553,1.4186257560068043,-3.5793828506412146,-2.6283072741137414,8357,-3.5707396391971566,-2.341632847567386,5806,-3.2609751157896336,-3.9338869201454716,2551
1554,1.1909499659959693,-3.4802013805992402,-2.1112287485544905,8342,-3.187636321413952,-1.6143409962367705,5825,-3.94085106657853,-4.08716221807177,2517
1555,1.1672482650028542,-3.5927801326314532,-2.9245905993663075,8317,-3.4610056589106115,-2.6470095657572195,5711,-3.5769745928511143,-3.6454496792415347,2606
1556,1.2289232549956068,-3.4674447576981864,-3.709632616440479,8345,-3.4307947351538357,-3.668426921746418,5875,-3.361696116469741,-4.016000159771808,2470
