draw,mean_net_bps,sharpe,n
436,-3.519525730131177,-3.485114607438035,24389
437,-4.382883502219827,-4.0609521320006925,24369
438,-4.135773714724849,-3.9803286896946597,24374
439,-4.463802943536968,-4.468287375400076,24356
440,-4.363075399791679,-4.452490153466777,24376
441,-4.4195867208662625,-4.268052648995604,24388
442,-3.749304918462707,-3.6251143366377634,24378
443,-3.9989486711860924,-3.3368874008718215,24357
444,-4.321984036141722,-4.211872037833194,24374
445,-4.216817576385002,-4.253979542145655,24365
446,-4.298176025540634,-4.482158355206066,24356
447,-4.028939236098185,-3.84376803775187,24374
448,-4.612533411874311,-3.9988392327735878,24372
449,-4.580727570447667,-4.424221222080425,24370
450,-3.9722996446351977,-3.825010419558456,24377
451,-5.247997797005641,-5.3374197762421005,24381
452,-4.045957479905476,-3.7937088014844793,24356
453,-4.497276663191149,-4.426622955860595,24360
454,-3.6212854877090073,-3.103231688190136,24330
455,-4.332036370758514,-4.15435473864956,24367
456,-4.281956708038032,-4.3315310004429355,24372
457,-4.707713381897483,-4.496037603546326,24354
458,-4.707459260743244,-4.567092217165933,24358
459,-4.404504804352858,-4.317190181917984,24364
460,-3.976307104262456,-3.598217641062404,24352
461,-4.648032053770137,-4.724555809142158,24374
462,-4.507528544187221,-4.371340248390908,24396
463,-4.33562941667809,-4.105052139150688,24366
464,-4.771926436014767,-4.225385139780731,24376
465,-4.7066042720334575,-4.0150188675192275,24365
466,-3.495222552740666,-3.3322370274079733,24393
467,-4.451344418973414,-4.232642420618379,24387
468,-4.323400461628193,-3.9029552769923974,24397
469,-4.4286621013451954,-3.89373791858592,24389
470,-4.052168098272506,-3.593950704633453,24363
471,-4.1164826114636766,-3.5006724932547884,24380
472,-4.778750332479136,-4.678062040740711,24380
473,-4.279801450460745,-4.256297973293033,24369
474,-4.651190837052851,-4.3303629784100135,24382
475,-4.188025610603723,-4.232518672357746,24367
476,-3.4085989738826226,-2.9346933645842626,24395
477,-4.718564785923091,-4.636339815293925,24369
478,-4.634394573046177,-3.9716031709945043,24352
479,-5.117179834209597,-5.21282718561555,24366
480,-4.173746539961237,-4.166436804590608,24374
481,-4.870128228011497,-4.930856263304252,24385
482,-3.642890820499553,-3.2476901559222777,24365
483,-4.503392147361844,-4.063203337441114,24392
484,-4.047147843362184,-3.9087017905348715,24365
485,-4.1343500827863675,-3.815457240211218,24373
486,-4.62728232905375,-4.446574567320814,24369
487,-3.920042677011536,-4.197769692499245,24380
488,-4.934539269437507,-4.849564175548761,24372
489,-4.201681381449475,-4.0835279515641885,24357
490,-4.195859050452743,-4.157015414974929,24356
491,-4.296171716893206,-4.333057648017403,24358
492,-4.869398313081768,-4.630588693561811,24383
493,-4.921231545018908,-4.940095784621236,24387
494,-5.0800627652004176,-4.71781140729686,24356
495,-4.618764162797547,-4.574124578955363,24364
496,-3.9384797091232286,-4.126873796601358,24365
497,-4.279780415709051,-3.91101928418797,24370
498,-4.4336363156371394,-4.787322508733743,24367
499,-4.882888166770199,-4.400689865968768,24360
500,-4.137268249903658,-4.127447465108227,24347
501,-4.712762028193176,-4.234681956258801,24392
502,-4.6035027671959705,-4.585580530687721,24342
503,-4.93351008249978,-4.352858811207261,24352
504,-4.000978909418171,-3.880338937987448,24389
505,-4.210584440643305,-3.786332528094607,24354
506,-3.9227579002701907,-3.759658617555048,24381
507,-4.341003054339692,-3.821525352762389,24357
508,-4.835351888903146,-4.251301262948561,24334
509,-4.252798709611977,-4.486263167162425,24376
510,-4.071634223607634,-3.9804061241063704,24342
511,-4.303564057197395,-4.300793769991801,24354
512,-4.46471210265512,-4.569392789026215,24368
513,-4.143284247947284,-3.9512693339145586,24353
514,-4.308093362167569,-3.764489768322521,24366
515,-4.665893564449702,-4.168295129765994,24364
516,-4.190071935262951,-4.009252938860615,24345
517,-3.9011554041398475,-3.502460901294485,24378
518,-4.196622932966876,-3.8586415951143955,24361
519,-4.75584633583812,-4.113585870234256,24367
520,-4.904933313376409,-4.674457462466198,24385
521,-4.185083665105499,-3.9576311361568197,24364
522,-4.217784950938255,-4.329920745578266,24377
523,-4.739926437370359,-4.782057385500871,24353
524,-3.856085081572072,-3.8357775235486216,24387
525,-4.354496188399508,-4.246494376012108,24393
526,-4.334343555204976,-4.217067630934504,24358
527,-3.8788305288855818,-4.071271204612195,24379
528,-3.865313438188067,-4.082700620479574,24381
529,-4.797564475886559,-4.512061283551136,24356
530,-5.0728379099983725,-4.824787596473739,24378
531,-5.309889391163963,-4.93450934929506,24359
532,-5.388396586940591,-5.666280351298984,24378
533,-4.35836158913445,-4.4548029024827835,24401
534,-4.330435066111556,-4.127135172015073,24362
535,-4.399716084920061,-4.435060866292469,24361
536,-4.37653294721144,-4.232685777011849,24372
537,-4.9613346294254885,-4.391795451069826,24389
538,-4.919827762058869,-4.55474952395493,24365
539,-3.690901426248731,-3.5621071700583946,24383
540,-4.075447323414178,-3.775133353250001,24343
541,-4.259356675458995,-3.374102533697606,24362
542,-4.4129252965901,-4.298307306408053,24362
543,-5.094629474502679,-4.540811627159963,24377
544,-5.228282121649573,-5.067973626091425,24372
545,-4.14925671382988,-3.9248769524016756,24356
