draw,mean_net_bps,sharpe,n
205,-4.2930033060434765,-4.4327800982526675,24218
206,-4.079232477629666,-4.513553673382952,24185
207,-4.532564480315739,-5.04517478839584,24199
208,-4.554910303122285,-5.014438676061311,24201
209,-4.382418719690604,-4.798463554027662,24207
210,-4.569336469161794,-5.147737777769848,24229
211,-3.9334562189722964,-4.1900102103507235,24222
212,-4.088863643704301,-4.4476346545184064,24243
213,-4.904861671210686,-4.798459059681409,24203
214,-4.7619630468006235,-5.262504613252614,24203
215,-4.52133131235679,-4.895256358061417,24225
216,-4.730532304635257,-5.120389759505536,24218
217,-4.0996594427404744,-4.526852851098687,24175
218,-4.065022325720797,-4.617772870901904,24189
219,-4.914864688974623,-5.032125335981229,24175
220,-4.157920092277936,-4.605589039399408,24208
221,-4.879612036021692,-5.379747093451124,24180
222,-3.817151579667967,-4.316130476294505,24216
223,-4.423492521971199,-4.893308388722968,24206
224,-4.06957278373653,-4.582865870451271,24195
225,-3.8591915074420147,-3.9083896603350325,24191
226,-4.711796024784645,-5.060962480618029,24213
227,-4.456162198433525,-5.148134814099051,24176
228,-4.736106331601914,-5.104353454319224,24176
229,-3.954504741120367,-4.115554996714536,24180
230,-4.736399071321105,-5.244081245357759,24218
231,-4.015627083815929,-4.460547894310495,24212
232,-4.411795274828032,-5.056618452831285,24218
233,-4.513033362648756,-4.93548195840266,24192
234,-4.804472812397162,-5.347231336340045,24160
235,-4.047479369058243,-4.178692090490683,24191
236,-4.776420918132719,-5.403889604032023,24197
237,-4.42706159493079,-4.523646383240507,24218
238,-4.800584266037295,-5.149910616655939,24201
239,-4.304053212025307,-4.86174926183638,24272
240,-4.087906988956557,-4.645497062895162,24240
241,-4.516923015365632,-5.017951702598987,24197
242,-3.915791728180145,-4.295938078855617,24198
243,-4.772762092668817,-5.585737483295904,24206
244,-4.238745233920435,-5.097390088626452,24212
245,-4.073065626964165,-4.535447027211644,24229
246,-4.3745158782301905,-4.98820941152705,24186
247,-4.334059608183576,-4.81784925837918,24184
248,-4.9924629522923905,-5.682680104945857,24209
249,-4.116542661257795,-4.823378280182045,24188
250,-4.371843223674166,-4.386060382364146,24193
251,-5.328871858608962,-6.021631682921503,24192
252,-4.343959641311496,-4.697894731112951,24218
253,-4.039049611187687,-4.573435252095253,24181
254,-5.0214576731246305,-5.672757478571207,24204
255,-4.986066296846126,-5.337577878704654,24194
256,-3.9690546820078745,-4.617060637940953,24244
257,-4.572833088378243,-5.183367774585316,24191
258,-4.730428985232123,-5.026882481743156,24193
259,-4.110969162760918,-4.741846890699723,24213
260,-4.57899413581142,-5.325957006152378,24175
261,-4.430844162051007,-5.425461397650015,24195
262,-5.379569948837646,-5.530511072190484,24240
263,-4.5096206559466445,-4.836878580300004,24193
264,-4.268568427659707,-4.6426333018661845,24222
265,-4.4641858631699805,-5.198910166362048,24208
266,-3.9843231253563105,-4.170277117939054,24164
267,-4.630155256171986,-4.901717935167691,24184
268,-4.0694273737704165,-4.504975676086229,24247
269,-4.212461469717114,-4.489179675734394,24216
270,-4.149004326877649,-4.592142383309197,24198
271,-4.559064861818638,-5.189534305590785,24252
272,-4.785749902448321,-5.175688055968691,24232
273,-3.3346567762676846,-3.650857107942721,24195
274,-4.5702954105732925,-5.045949612496337,24188
275,-4.714376676581064,-5.4459463325546,24213
276,-4.252630750599897,-4.510051543967614,24241
277,-3.8252086228522386,-4.44154202916741,24204
278,-4.2837594810739805,-4.79647807719365,24185
279,-4.184933236517821,-4.637675903886843,24175
280,-4.117310698615943,-4.903648806665785,24185
281,-5.024593599662867,-5.972111029710984,24225
282,-4.064847397955856,-4.553280672374025,24218
283,-4.691018868871697,-5.588953313728525,24233
284,-4.549445972355177,-5.253045424055364,24165
285,-4.458748541556504,-5.006278016085148,24218
286,-3.960144180975722,-4.300170078867117,24193
287,-5.20380120977691,-5.545835162941379,24189
288,-4.258788137652945,-4.912165157580336,24234
289,-3.797926771342291,-3.628803791102289,24202
290,-4.336598979040999,-4.874358213412861,24184
291,-3.891280989864642,-4.703159421532321,24168
292,-4.281286864721592,-4.661659424499442,24176
293,-4.489268822755607,-5.230852510806292,24214
294,-4.675657188650036,-5.0077109791065935,24199
295,-4.079459803274508,-4.922627781875386,24196
296,-4.770596900406298,-5.688270361351813,24170
297,-4.725359011934437,-5.161280997312629,24213
298,-4.353132034166881,-4.700131704301962,24220
299,-4.2958361995090355,-4.631048315756121,24194
300,-4.687805776427226,-5.377580598169167,24212
301,-4.544346457576081,-5.173766856496303,24241
302,-4.618563558723111,-5.098650743512802,24264
303,-4.234965612572442,-4.578194643213506,24182
304,-4.384598906873405,-4.5600410884112845,24203
305,-4.211773940023311,-4.142885935466415,24212
306,-4.400127889849958,-5.184970974467505,24235
307,-4.566551131559483,-4.801722795128451,24185
308,-3.6172735195661248,-4.27695105527435,24187
309,-4.357689772927039,-4.624066731721397,24207
310,-4.362141304390555,-4.9513716343067475,24195
311,-4.134199854136807,-4.779070010458276,24217
312,-4.95360697098822,-5.5496044410678,24182
313,-4.4477364720616155,-5.050396499009526,24181
314,-4.116509263515244,-4.60995848079139,24160
315,-4.0683578011029145,-4.566988445140754,24211
316,-4.801887406598066,-5.526783658649426,24223
317,-3.972249669981973,-4.398087899664056,24171
318,-4.007986129175861,-4.587557089307818,24210
319,-3.9696839161843562,-4.2739239255610455,24206
320,-4.43200465820482,-4.495156219576555,24202
321,-5.208653452122073,-5.9863821556545815,24193
322,-4.291694767040193,-5.098792409114783,24200
323,-3.793212237790562,-4.042015852037379,24228
324,-3.850864048763967,-4.050029733177209,24199
325,-3.7011540330220654,-3.846578479894164,24179
326,-4.236662617976789,-4.519289555480748,24200
327,-4.064342759447437,-4.871035344650373,24211
328,-4.53232207518366,-5.090645184046233,24190
329,-4.576622641768931,-5.050595131478626,24200
330,-4.623067973195119,-5.193523765885812,24212
331,-4.753392962852588,-5.337430001116865,24174
332,-4.376330943130943,-5.044959950266228,24208
333,-4.806219302490902,-4.844498187268008,24185
334,-4.271342350967545,-4.764987628882508,24175
335,-4.187167378484497,-4.3032559931373005,24193
336,-4.607780421999019,-5.407351999947021,24168
337,-4.027904466907504,-4.5380007747833915,24228
338,-4.32247955678261,-4.7659460275689485,24182
339,-4.402966397632992,-4.921519721267678,24216
340,-4.779233058159102,-5.392953017295296,24216
341,-4.375186736339005,-4.598678224005962,24177
342,-4.564421459618794,-5.16960043088653,24231
343,-4.841283701915956,-5.648240766386466,24218
344,-4.610045158888376,-5.035323902694377,24207
345,-4.236155930591078,-4.872498693534688,24226
346,-4.549692104466759,-5.206576040817457,24227
347,-4.588548410510936,-5.115631868375286,24230
348,-4.063172001869085,-4.701284334771607,24173
349,-4.466873670845298,-4.867075290501858,24155
