draw,mean_net_bps,sharpe,n
162,-3.8972194020775315,-8.250324329648016,63913
163,-3.979316780386145,-8.211632419545575,63847
164,-3.98070124809547,-8.197007301573413,63913
165,-4.0007437407733795,-7.669100586097969,63867
166,-3.9175292483758786,-8.00322953193986,63851
167,-4.183026221510883,-7.913076354003648,63908
168,-3.707060557687262,-7.3170038579472845,63852
169,-3.9763345725552623,-7.405650224484813,63885
170,-3.943591363663225,-7.750321903671341,63928
171,-3.529556452275974,-6.758823507796472,63887
172,-3.6926270607209073,-7.273958480441213,63882
173,-3.7912087030212103,-7.152640414428599,63856
174,-3.926718036584589,-7.9641137301635405,63888
175,-3.9327658766200626,-7.828925084819377,63880
176,-3.798598794288511,-7.8095917296566,63884
177,-3.866353212828196,-7.8616407111154905,63891
178,-3.763291898293391,-7.155798680442756,63861
179,-4.1171853311475735,-8.560060126049192,63866
180,-3.583276461043407,-6.962325446844834,63852
181,-3.6409894046805698,-7.3539827849749075,63881
182,-3.9391615794780095,-7.881650935996461,63897
183,-3.8426067981456526,-7.769261095331019,63831
184,-3.686221571287781,-7.347129122768884,63900
185,-3.908919049208625,-7.688387767554673,63864
186,-3.918166758832835,-7.6186827086688265,63848
187,-3.795869484943936,-7.888260266131924,63899
188,-3.8352104368149025,-7.644425486143263,63879
189,-4.122563507779215,-8.234520683412685,63875
190,-3.5423687012573386,-7.762217789649275,63905
191,-3.7571553508542306,-7.577253028404018,63906
192,-4.131748426018513,-7.826423134955104,63840
193,-3.728482885110115,-7.485556047923495,63854
194,-4.039631244000283,-8.2757230377214,63844
195,-3.9893780985249574,-8.34150213069336,63864
196,-4.286782144344036,-8.76829696091193,63844
197,-3.6492112463284454,-7.29723719001332,63862
198,-3.7822294992061973,-6.974201281802743,63911
199,-3.9776303361346397,-7.75798649795081,63879
200,-3.967370079902369,-8.378031809586451,63904
201,-4.0710298853926945,-7.490642061128503,63876
202,-3.8925515193182085,-7.7944494170193686,63900
203,-3.9430027357280575,-8.003593655765714,63881
204,-3.8361715331756128,-7.407485172721962,63898
205,-3.8230042780762514,-7.763795314317764,63856
206,-3.9159741538737025,-7.686958027606317,63873
207,-4.012282822163617,-8.37295969692611,63872
208,-4.108564068618071,-8.00302934415502,63881
209,-3.935795664173381,-7.026347046251801,63862
210,-3.926531094565414,-8.342880210248092,63897
211,-4.011298301127658,-8.389789808566956,63889
212,-3.7414387541892986,-8.310623867549435,63888
213,-3.807925930181557,-7.388310426369272,63873
214,-3.8739937158490996,-7.485538308326463,63874
215,-3.6787123908133963,-7.37609273922213,63895
216,-3.958941441537899,-8.123953745691646,63849
217,-3.4181597150567824,-6.728481447650178,63882
218,-4.15137768839908,-8.300193556709013,63857
219,-4.027960198096734,-7.6164266167161205,63914
220,-3.8445558480054705,-7.700498037424687,63864
221,-4.000400511861245,-8.252497878187798,63895
222,-3.9300362363168513,-8.122631723290901,63872
223,-3.945025332279977,-7.623520001425922,63855
224,-4.1699971864796295,-7.610275872287282,63882
225,-4.151720092939128,-8.549027573181862,63894
226,-3.9877710682370524,-8.110498185975478,63865
227,-4.046957237680436,-8.062548711528878,63867
228,-3.9620258719376253,-7.982758366873921,63868
229,-3.747673075110074,-7.410342832437284,63850
230,-3.909325096740485,-8.175735225595858,63912
231,-4.00611569172784,-7.569917980786582,63866
232,-3.861019403580276,-8.245203645426319,63868
233,-3.915444252783814,-7.615472931962944,63922
234,-3.82888973155281,-7.64274123488632,63866
235,-4.237058422547414,-8.366806100777376,63862
236,-3.510549005424204,-7.15493770882473,63893
237,-4.164034916904215,-8.463658043075332,63906
238,-4.010733969402835,-8.263716816023862,63916
239,-3.7362033261853176,-7.4840215814886495,63868
240,-3.991820108453914,-8.517421900119055,63820
241,-3.6754465729181987,-7.000868665049617,63862
242,-3.9867571540474422,-8.490275247211983,63859
243,-4.307817843599412,-8.468670107186764,63870
244,-3.6022213138175787,-7.831818880094843,63855
245,-4.106817102696902,-8.075387126979281,63906
246,-3.824187450440342,-7.332816670236609,63908
247,-3.7203110748646258,-7.128098811757085,63884
248,-3.9415340096160163,-7.5864075516079925,63881
249,-3.9486465193223834,-8.39795810065776,63908
250,-3.8433223939823162,-7.438071373898015,63857
251,-3.901882021984933,-7.980426834200999,63863
252,-4.036792898953158,-7.616000947261949,63900
253,-3.544960844012552,-6.8828545266794885,63844
254,-3.8618447405655383,-7.652236460914288,63890
255,-4.320599414091513,-8.467758458787525,63849
256,-3.8691587385058384,-7.909284477211188,63839
257,-3.8532010449709917,-7.106682747917143,63901
258,-3.8220896370530038,-7.640311165160495,63857
259,-3.874167851648752,-7.970809434050136,63875
260,-4.209917145737432,-8.842346882262895,63876
261,-3.5829783934078634,-7.204524641743722,63874
262,-4.160834292975353,-8.276804894234623,63884
263,-3.9787520196607096,-7.9653553469226015,63853
264,-3.8971228277634204,-8.130059751430839,63852
265,-3.6866320203285063,-8.086219876972544,63888
266,-4.0134744071459725,-7.668964535179183,63908
267,-3.945626563191834,-8.207541750546799,63880
268,-3.9653753512394165,-7.911006198469978,63869
