period,n,mean,ci_lo,ci_hi
2018-W21,71,4.438470751631413,4.325794695293385,4.551146807969441
2018-W22,30,4.430959014542208,4.3642923478755415,4.497625681208874
2018-W23,27,4.519847903431097,4.371699755282949,4.667996051579245
2018-W24,57,4.473064277700103,4.367801119805366,4.57832743559484
2018-W25,53,4.373097379322082,4.297625681208874,4.410833228378686
2018-W26,40,4.447625681208875,4.347625681208875,4.547625681208875
2018-W27,22,4.388534772117965,4.297625681208874,4.479443863027056
2018-W28,18,4.297625681208874,,
2018-W29,46,4.297625681208874,4.297625681208874,4.297625681208874
2018-W30,56,4.4404828240660175,4.404768538351732,4.511911395494589
2018-W31,62,4.394399874757263,4.362141810241134,4.426657939273392
2018-W32,80,4.372625681208875,4.297625681208876,4.4476256812088755
2018-W33,86,4.413904750976319,4.367393123069342,4.460416378883296
2018-W34,33,4.297625681208875,4.297625681208875,4.297625681208875
2018-W35,21,4.58333996692316,4.488101871685065,4.678578062161255
2018-W36,33,4.297625681208875,4.297625681208875,4.297625681208875
2018-W37,15,4.297625681208876,,
2018-W38,20,4.497625681208874,4.497625681208874,4.497625681208874
2018-W39,25,4.297625681208875,4.297625681208875,4.297625681208875
2018-W40,10,4.297625681208876,,
2018-W41,10,4.497625681208875,,
2018-W42,22,4.297625681208874,4.297625681208874,4.297625681208874
2018-W43,2,4.297625681208875,,
2018-W44,9,4.519847903431097,,
2018-W45,4,4.297625681208875,,
2018-W46,67,4.327476427477533,4.297625681208876,4.387177920014846
2018-W47,233,4.392046282067245,4.349127827131623,4.4349647370028675
2018-W48,216,4.408736792319987,4.362440496023691,4.455033088616283
2018-W49,144,4.353181236764431,4.311514570097764,4.408736792319987
2018-W50,61,4.330412566454776,4.297625681208875,4.395986336946581
2018-W51,152,4.416046733840454,4.376573049629928,4.45552041805098
2018-W52,105,4.392863776446972,4.354768538351734,4.43095901454221
2019-W01,30,4.430959014542208,4.297625681208874,4.564292347875541
2019-W02,25,4.297625681208875,4.297625681208875,4.297625681208875
2019-W03,13,4.45147183505503,,
2019-W04,12,4.297625681208876,,
2019-W05,12,4.297625681208876,,
2019-W06,6,4.297625681208875,,
2019-W07,9,4.297625681208875,,
2019-W08,39,4.297625681208874,4.297625681208874,4.297625681208874
2019-W09,18,4.5198479034310965,,
2019-W10,14,4.440482824066019,,
2019-W11,11,4.479443863027058,,
2019-W12,4,4.297625681208875,,
2019-W13,5,4.297625681208875,,
2019-W14,72,4.547625681208875,4.49207012565332,4.630959014542209
2019-W15,45,4.475403458986652,4.386514570097764,4.564292347875541
2019-W16,16,4.422625681208875,,
2019-W17,25,4.377625681208875,4.297625681208875,4.457625681208875
2019-W18,31,4.297625681208874,4.297625681208874,4.297625681208874
2019-W19,102,4.415272740032407,4.317233524346133,4.532919798855936
2019-W20,180,4.43095901454221,4.375403458986654,4.497625681208876
2019-W21,105,4.392863776446972,4.335720919304115,4.469054252637448
2019-W22,65,4.389933373516568,4.328394911978107,4.451471835055029
2019-W23,78,4.374548758131954,4.323266706849902,4.40018978377298
2019-W24,47,4.425285255676959,4.340178872698236,4.510391638655682
2019-W25,93,4.340636433897049,4.297625681208877,4.383647186585221
2019-W26,230,4.375886550774093,4.341103942078442,4.419364811643659
2019-W27,201,4.426978915039722,4.367277422502409,4.476730158820817
2019-W28,156,4.464292347875542,4.413010296593491,4.515574399157594
2019-W29,177,4.410620031491362,4.365422291378368,4.455817771604356
2019-W30,76,4.323941470682561,4.297625681208877,4.376573049629929
2019-W31,44,4.34308022666342,4.297625681208874,4.388534772117965
2019-W32,74,4.324652708235903,4.297625681208876,4.378706762289957
2019-W33,73,4.434611982578739,4.3524202017568205,4.516803763400657
2019-W34,54,4.408736792319986,4.334662718245911,4.482810866394059
2019-W35,28,4.297625681208875,4.297625681208875,4.297625681208875
2019-W36,34,4.474096269444169,4.35644921062064,4.5917433282676985
2019-W37,17,4.415272740032404,,
2019-W38,10,4.497625681208875,,
2019-W39,83,4.369914837835383,4.321722066751045,4.41810760891972
2019-W40,33,4.479443863027057,4.418837802420996,4.600655984239178
2019-W41,19,4.718678312787822,,
2019-W42,16,4.422625681208875,,
2019-W43,87,4.41256820994451,4.34360269270313,4.481533727185889
2019-W44,62,4.394399874757263,4.329883745725004,4.458916003789521
2019-W45,19,4.297625681208874,,
2019-W46,20,4.497625681208874,4.497625681208874,4.497625681208874
2019-W47,50,4.337625681208874,4.297625681208874,4.417625681208874
2019-W48,92,4.384582202948008,4.319364811643659,4.428060463817572
2019-W49,33,4.479443863027057,4.358231741814936,4.600655984239178
2019-W50,16,4.547625681208875,,
2019-W51,34,4.415272740032404,4.297625681208875,4.532919798855934
2019-W52,32,4.485125681208875,4.360125681208875,4.610125681208875
2020-W01,19,4.402888839103611,,
2020-W02,58,4.401073957070944,4.332108439829565,4.470039474312323
2020-W03,57,4.33271340050712,4.297625681208874,4.402888839103611
2020-W04,18,4.297625681208874,,
2020-W05,33,4.418837802420996,4.297625681208875,4.540049923633117
2020-W06,19,4.508151996998348,,
2020-W07,31,4.297625681208874,4.297625681208874,4.297625681208874
2020-W08,37,4.405733789316983,4.297625681208874,4.4597878433710365
2020-W09,61,4.461560107438384,4.395986336946581,4.527133877930188
2020-W10,24,4.380959014542209,4.297625681208875,4.464292347875542
2020-W11,291,4.3732270557793225,4.338862794610938,4.407591316947707
2020-W12,297,4.378433762016956,4.344763728346923,4.418837802420997
2020-W13,155,4.413754713466941,4.362141810241134,4.478270842499199
2020-W14,93,4.426657939273393,4.340636433897049,4.512679444649737
2020-W15,57,4.437976558401857,4.367801119805366,4.508151996998349
2020-W16,48,4.422625681208875,4.297625681208875,4.547625681208875
2020-W17,37,4.351679735262929,4.297625681208874,4.405733789316983
2020-W18,80,4.4476256812088755,4.372625681208875,4.522625681208876
