period,n,mean,ci_lo,ci_hi
2019-W10,14,5.284376721169768,,
2019-W11,11,-30.407985279838854,,
2019-W12,4,0.13289486514990934,,
2019-W13,5,-23.88500160557098,,
2019-W14,72,11.37430201977989,-5.41681660452517,33.63775811791926
2019-W15,45,-6.950749154847065,-16.47237362995816,1.1361130057941773
2019-W16,16,-4.6524820870542065,,
2019-W17,25,28.948876150750902,8.958435483699299,48.69095737168961
2019-W18,31,-10.009801722564465,-24.89890048561701,5.085982221733244
2019-W19,102,3.8296543340794984,-16.554369960094775,23.575226663142367
2019-W20,180,-6.674597292443617,-17.918083000098168,4.4298819940793335
2019-W21,105,-12.47148601293819,-23.864575634647522,2.9633668235561705
2019-W22,65,-14.771317126918024,-24.288769126858273,-3.070994534399544
2019-W23,78,-0.5240149213246716,-7.0306324017842154,6.056863498587875
2019-W24,47,10.754234669779969,0.24003520385961552,20.9770382635988
2019-W25,93,-7.667825743060392,-19.898849851119518,8.034001685112163
2019-W26,230,3.40475141803447,-12.29819560541944,22.61858892474595
2019-W27,201,0.633661793621742,-9.165583626039279,9.250146576522614
2019-W28,156,0.48236659560014944,-8.051111246773784,8.798159998110357
2019-W29,177,-6.5162233980085995,-19.608691527569913,9.151706632727521
2019-W30,76,-7.130600987342564,-22.659007664196107,10.993894758371798
2019-W31,44,-12.046209607058898,-23.722420346449574,-0.9027584595392644
2019-W32,74,0.9482131831383233,-14.692691653189508,17.734295919930293
2019-W33,73,-5.910914422132364,-20.091103966594716,6.957369479741979
2019-W34,54,-5.185314349546174,-11.64765371570473,1.0705676864815008
2019-W35,28,4.337080569036099,-11.687110229411575,20.70765627770889
2019-W36,34,3.0459539726699365,-6.79024143377407,12.942812656932865
2019-W37,17,-12.876371680881187,,
2019-W38,10,22.306841141102872,,
2019-W39,83,-17.02261771895008,-26.524151678117427,-7.730212115970977
2019-W40,33,-1.664876073448365,-12.240630254755645,9.170666195854157
2019-W41,19,13.73163460543804,,
2019-W42,16,-6.533014662078225,,
2019-W43,87,4.4899759030752,-29.222261764394194,53.386162665455494
2019-W44,62,-23.303705043096755,-32.29647727420334,-14.567642018317967
2019-W45,19,-8.540655363264785,,
2019-W46,20,-8.941551166855026,-8.941551166855028,-8.941551166855024
2019-W47,50,6.331327820708842,-17.531094918856546,36.38625635403517
2019-W48,92,3.8023081623223005,-15.144139726017132,23.506437047411683
2019-W49,33,-2.0667967771352647,-28.433643668288582,24.581329252238582
2019-W50,16,-11.668129320152385,,
2019-W51,34,0.07680549864962358,-20.385706262073587,19.996576111367844
2019-W52,32,-0.8327718868711298,-6.653806580816443,5.0115610615426185
2020-W01,19,0.8571766347393153,,
2020-W02,58,0.7208116910346751,-13.729943804479845,16.54203203804112
2020-W03,57,-5.365073432797236,-23.288728910465448,18.9988286454499
2020-W04,18,-6.938729303592776,,
2020-W05,33,-13.034634914350724,-20.44754849676843,-5.600430258510582
2020-W06,19,-22.9147377870094,,
2020-W07,31,-1.3477936813094937,-14.269845287647403,11.64083471147958
2020-W08,37,4.738579538584717,-12.374780921010496,21.969169025794933
2020-W09,61,-3.648325867539322,-20.361098989932387,18.40069853134637
2020-W10,24,-7.092165815106206,-26.43555276982961,12.265548491605708
2020-W11,291,-15.638572014022385,-34.54537750767564,3.6093976094500277
2020-W12,297,-11.59425725840495,-21.43251034750413,-0.7467231771891711
2020-W13,155,-13.903431770958017,-24.25721308831633,-1.7315947130720188
2020-W14,93,-5.117173268645124,-18.9768786844773,11.561664838801997
2020-W15,57,-7.559374389530799,-19.11293336202471,2.211896486352449
2020-W16,48,-7.8529828548314144,-26.211947897672136,9.338587275047873
2020-W17,37,-5.668527880364804,-20.372061765508107,9.397480549783818
2020-W18,80,4.516566367098325,-13.04023202611524,26.477943516146002
2020-W19,103,-7.377079314346764,-23.31371831812343,13.545231558217314
2020-W20,105,-11.156741312394702,-23.3325300802753,-0.843865580936308
2020-W21,45,5.752318499376569,-6.2978437864205326,15.644405255049389
2020-W22,34,1.0488975806422303,-15.3007240752177,17.080655262942642
2020-W23,27,8.220452734266411,-16.09362730187965,31.92172592162875
2020-W24,19,-25.846853917814123,,
2020-W25,22,-19.591780724956323,-25.002809905595242,-13.921650151150994
2020-W26,24,4.196266662953039,-5.460660488338552,14.000158311435944
2020-W27,7,-15.132071256872903,,
2020-W28,7,6.432131435708625,,
2020-W29,3,-26.112713663671517,,
2020-W30,6,32.15499220066672,,
2020-W31,76,-3.6494477144871187,-15.825560979098967,8.447329861368116
2020-W32,25,-17.14353073188222,-23.81911253359116,-10.469020195053027
2020-W33,35,-14.758381756428818,-19.67772381040613,-9.551556729042472
2020-W34,23,-6.431317580074582,-14.729156018488121,1.6331620550053358
2020-W35,11,0.5539559330057322,,
2020-W36,72,-6.679451429727109,-24.467992669832075,8.86908883766521
2020-W37,26,-9.761048930881675,-21.870771098213442,2.1087182364377015
2020-W38,21,-17.071327993068866,-21.180111431141516,-12.805422531577403
2020-W39,16,1.913209119639454,,
2020-W40,7,58.24254629978943,,
2020-W41,6,34.74509029567322,,
2020-W42,14,-0.06758163250215787,,
2020-W43,32,-8.635328337745865,-15.752542141752327,-1.4271080101151694
2020-W44,43,-9.39650469250323,-17.55388490057798,-0.8782611743770845
2020-W45,89,-10.120712979034069,-19.978699517155917,-0.403513673373239
2020-W46,46,-22.117922827555862,-30.45563763468463,-13.343831314439006
2020-W47,84,-17.231526862948108,-27.911003442399515,-2.8697011264446513
2020-W48,117,-0.7101205021597017,-14.09616654243731,16.43439215809311
2020-W49,88,-17.53326266578247,-27.91369161067128,-7.609414036061469
2020-W50,43,-2.9173164876945497,-9.464087323826552,3.6373318307446576
2020-W51,89,-4.940029072757704,-18.853222503539463,9.715791571812186
2020-W52,111,-7.987609859196816,-15.58565117314516,0.5464772776759687
2020-W53,124,-6.473105999692531,-17.471717578101643,8.52091474598183
2021-W01,228,5.530047204187148,-7.206779437482,19.939129906987972
2021-W02,279,-8.127559388062199,-15.766622725250594,0.599467103330834
2021-W03,197,-10.656145117909189,-19.08589535747295,-1.631668557128893
2021-W04,199,-10.786007623394392,-21.624141933305467,2.0022850251259974
2021-W05,142,-10.343995153405094,-19.16595967378545,0.020588600627158782
2021-W06,151,-4.323198649398589,-16.851424228869647,9.434847739096222
2021-W07,112,-12.6023262792648,-20.78132475124411,-4.362207640923019
2021-W08,282,-15.059736131108792,-20.629312550599945,-8.999625599561684
2021-W09,147,-10.005244958842294,-19.211610678605116,0.8157941474881679
2021-W10,127,-8.308055122696588,-13.565006473504248,-3.0188987965302982
2021-W11,104,-9.548776751475929,-18.911864601373914,-0.009134371863273962
2021-W12,111,-9.296361802381254,-17.633186723559135,-1.3987403650024912
2021-W13,40,-7.539747688931922,-20.810212453676947,6.549320408078158
2021-W14,43,-13.065503637522163,-22.36390450465612,-2.8232610527908544
2021-W15,84,-4.907885485967666,-18.762532583754364,13.6880884408907
2021-W16,156,-6.611345019044147,-11.914235750425622,-1.2244037698203514
2021-W17,73,-7.733912224035334,-18.70837830508647,6.792076911975369
2021-W18,103,-14.879864899586021,-21.748628460508833,-7.68563184773181
2021-W19,172,-10.008115710031715,-20.152514344666503,0.8877412230761424
2021-W20,400,-19.04845153886798,-26.24621853951112,-11.342666398091305
2021-W21,251,-16.692435349437574,-24.115642510636334,-9.520931608885512
2021-W22,126,-4.895463102551411,-11.943908820423882,3.093073581948474
2021-W23,164,-10.40470657602265,-19.340763016084438,-0.8056578821368129
2021-W24,104,-9.867352749430331,-16.432966910302643,-2.5733678518324212
2021-W25,237,-7.847257289577941,-19.432009772390764,5.8251686360938555
2021-W26,93,-16.558967636289655,-22.32655362754679,-10.586136954931888
2021-W27,56,-3.806700761059941,-15.412228019497075,9.828442667324595
2021-W28,41,-6.6841596759554625,-13.446542742486143,0.3946839313419879
2021-W29,43,-11.092920295333295,-21.829634946661354,-1.7447779445037803
2021-W30,113,-3.9967498059617763,-17.37691333153543,11.233426985121715
2021-W31,93,-2.9052606270123027,-11.480111490140231,5.799192906846265
2021-W32,61,-13.734526369835962,-28.18011455828449,-1.5092228835228136
2021-W33,52,-2.6672482919975002,-9.596081684716767,5.172118073156896
2021-W34,38,-5.409188570957601,-17.386233211701953,6.826848565921884
2021-W35,35,-9.872476575450873,-21.46904585321705,1.5022464067130514
2021-W36,76,-7.826099509623366,-19.50541647437741,6.54647322234804
2021-W37,39,-7.094281577090376,-14.142049037209024,-0.142212418464872
2021-W38,107,9.336274522753222,-5.218412304353992,23.869824091889715
2021-W39,69,-7.2633953011885035,-16.480970335517807,1.8461194937402385
2021-W40,63,-5.353488954263577,-14.447977361106657,5.661603890532443
2021-W41,54,1.5514071776830065,-6.989271109362943,10.383546450421573
2021-W42,72,-5.722334631426616,-12.827720209485488,3.3222472119425746
2021-W43,54,0.7239130826244475,-8.01963118935722,9.337856914386386
2021-W44,37,-8.011766995009141,-15.999292140103893,-0.021443102808082582
2021-W45,47,4.551613633503506,-10.677577224944335,19.806879941748335
2021-W46,88,-11.726393971776043,-26.293575469579768,4.530043457749284
2021-W47,65,-8.131414280073225,-19.481442216462103,3.4487313641850768
2021-W48,102,0.764072942011751,-9.645475845008034,11.049306989536204
2021-W49,73,-1.6041540173892483,-17.74399589262271,15.094388386219341
2021-W50,71,-7.622382114752139,-16.544400496949308,1.9506967635335581
2021-W51,29,8.007097920660177,0.7123191186998885,15.27278765823831
2021-W52,41,-5.434956107960925,-14.397933428379238,3.6973397746271353
2022-W01,58,-8.15649237785975,-14.66388863812106,-2.064427327961225
2022-W02,33,-1.8864200081852245,-20.814458043803693,16.923710053235016
2022-W03,88,1.9092156427269875,-16.52927228633501,22.191093226806213
2022-W04,109,-8.768066082970085,-19.647069328731572,2.0835624734041143
2022-W05,44,14.994472712989609,-3.624671073741998,36.38471208949596
2022-W06,79,-12.824930103377094,-25.646191741931116,-0.37168402462138983
2022-W07,31,0.43723292966215177,-13.096403463242936,13.484147359835921
2022-W08,123,-1.7247183014221903,-12.519183080284868,9.022881956832311
2022-W09,73,1.1478564746524051,-20.243622833517076,27.741417731468427
2022-W10,80,-6.3116868664224715,-18.263277979805935,5.849477312285769
2022-W11,49,-11.5578484727613,-22.549212822757095,-1.5474480799739192
2022-W12,25,8.119568561049409,0.832492157588775,15.456241424496467
2022-W13,30,-11.867211230752412,-28.292014933012066,4.702681393006471
2022-W14,43,-12.961304438260711,-28.052099937535996,1.1081830826530146
2022-W15,30,3.4525561013733594,-11.756425402035356,19.09718384758403
2022-W16,26,-10.561722603105832,-25.105319711604615,3.9237910797302336
2022-W17,67,-16.218893340032338,-26.733550173270483,-5.315067510292557
2022-W18,46,-11.626544656033118,-24.83192339673484,3.1811538095528826
2022-W19,197,3.6564031710753873,-10.112676756113004,17.82501495058658
2022-W20,72,-6.996826480194488,-22.09624949503913,9.91357466093221
2022-W21,43,-2.144064418318857,-11.286739601374201,6.670413671114211
2022-W22,40,-11.085722820409869,-20.345348712545956,-1.7790205788886284
2022-W23,57,7.8792718513242495,-20.558476498841497,42.29268486155509
2022-W24,255,-4.855087164100459,-15.903687797480918,7.6105030807693295
2022-W25,128,-4.110274283088412,-10.567606156775962,2.63155760057646
2022-W26,57,3.4654147464858864,-22.166929762026918,32.71180970787221
2022-W27,62,-6.941793758367455,-15.399599014228398,1.5850393988626725
2022-W28,72,-10.29764917325094,-21.760110050587745,1.7501354073536532
2022-W29,119,-12.044418973181893,-18.58559062740339,-4.0986213960204765
2022-W30,67,-5.924307565678515,-15.31412888482319,3.3930677866598336
2022-W31,34,-9.297717612055196,-16.671545068026006,-1.8091513528784768
2022-W32,33,2.786032510664222,-13.390573356247707,18.619809437814094
2022-W33,42,-12.687127119200149,-30.69363625735817,4.12818153138068
