k,thr,stop,period,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
30,0.8,1.0,full,False,315055,1174,20928,434,20494,-6.069515104753406,-7.400580569294294,-4.760662902992315,0.6776316661170456,-3.457757500747554,-4.195186508347639,-2.731974282533415,0.32848638625939297,125628.23563196491,32.61388699131453,0.16419439836049576,0.1390650922221138,-1.6328243313224173,98.42568984518722,2314,33,24,4.297625681208875,-368558.4099339362
30,0.8,1.0,train,False,315055,1174,17103,318,16785,-6.033607131871149,-7.530322955509495,-4.439682523154445,0.7862666067831979,-3.5982378047258115,-4.539813043709777,-2.7075544357726136,0.32731605600238306,102797.38979443767,32.2788799523384,0.17551385165326183,0.13774203157581175,-1.598239419086462,102.36697323655265,1598,17,9,4.297625681208875,-280522.3622164101
30,0.8,1.0,val,False,315055,1174,3825,116,3709,-6.232015866368044,-8.610003737534274,-3.792836403033199,1.245173585646397,-3.4587687411290626,-4.915342069524572,-2.021401926818546,0.33378269075222433,23117.345486834536,34.129954165543275,0.11296845510919386,0.14505257481801023,-1.7893376103411587,78.15412706342919,716,16,15,4.297625681208875,-88036.04771752609
30,1.2,0.25,full,False,152344,588,20662,142,20520,-7.839236630726585,-8.831343932397418,-6.810326062116848,0.5156358627803417,-4.847925221769995,-5.481595892735033,-4.250596801231727,0.2054093567251462,160861.20748780103,12.35692007797271,0.8248538011695906,0.05321637426900585,-2.706180529720669,76.2377132919498,2311,26,13,5.07983972673691,-368655.1772434633
30,1.2,0.25,train,False,152344,588,17888,105,17783,-7.871069333536134,-8.932006384603397,-6.727733375549735,0.5628508154977809,-5.269407410279205,-6.003002935109043,-4.559376440063906,0.2046898723499972,140180.8520844045,11.949446100208064,0.8307934544227633,0.05285947252994433,-2.7383701342692794,77.71636762998293,1598,22,10,5.07983972673691,-284582.1472652338
30,1.2,0.25,val,False,152344,588,2774,37,2737,-7.632411291281135,-9.816666292369147,-5.363490138534715,1.1107766757789215,-4.487272335145856,-5.9246183333930755,-2.9497951219658187,0.21008403361344538,20889.909704236456,15.004384362440629,0.7862623310193643,0.055535257581293386,-2.497036306962931,65.83873208116509,713,4,3,5.07983972673691,-84073.02997822945
30,1.2,0.5,full,False,152344,588,13782,185,13597,-8.528987297770321,-10.093710686484561,-6.923385547278369,0.8183125885587038,-3.6710552274010144,-4.304227320103252,-3.0099108852782206,0.26983893505920425,115968.71211307401,23.0903875854968,0.6043244833419137,0.09913951606972127,-3.3500080549636917,98.84271702519393,2311,19,9,5.07983972673691,-282819.7188796487
30,1.2,0.5,train,False,152344,588,11738,138,11600,-8.423468001244148,-10.125872563559483,-6.5279191153733676,0.9081597859480629,-3.9175825048345554,-4.696393976658359,-3.1378467328233137,0.2678448275862069,97965.40237908036,22.617155172413792,0.6162931034482758,0.1,-3.243628274507239,101.42623130421133,1598,17,7,5.07983972673691,-210352.0723419222
30,1.2,0.5,val,False,152344,588,2044,47,1997,-9.14191861459737,-12.548840984902707,-5.547694758001402,1.797009086298675,-3.379718839811389,-4.841348261470865,-1.9901496171029696,0.2814221331997997,18256.411473350963,25.8392588883325,0.5348022033049574,0.09414121181772658,-3.9679376760427347,82.26588385394031,713,2,2,5.07983972673691,-72467.64653772654
30,1.2,1.0,full,False,152344,588,11036,234,10802,-8.470771124861827,-10.6082161797691,-6.426202239035518,1.0707157812706138,-2.8811088099671127,-3.5622267520916764,-2.1938632902338266,0.3326235882244029,91627.89618574873,33.98787261618219,0.2743010553601185,0.14497315311979264,-3.245958245005123,116.86454772615481,2311,12,8,5.07983972673691,-251658.8467461305
