費用,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用あり(p75),logistic_3択(出口300秒),A,0.500000,-4.594830,-19.176677,6.403718,0.619315,-5.228686,0.631165,1605,222,0.820500,300.000000,0.197500,0
費用あり(p75),logistic_3択(出口300秒),A,1,0.000000,-15.075948,3.036495,0.499000,-4.117636,0.508270,2000,223,0.820500,300.000000,0.197500,1
費用あり(p75),logistic_3択(出口300秒),A,1,-4.626488,-19.679901,6.510710,0.621807,-5.229520,0.630685,1605,222,0.820500,300.000000,0.197500,0
費用あり(p75),logistic_3択(出口300秒),A,2,-0.027600,-14.959505,2.893672,0.500500,-4.163163,0.501416,2000,223,0.820500,300.000000,0.197500,1
費用あり(p75),logistic_3択(出口300秒),A,2,-4.755782,-19.367742,6.409056,0.623676,-5.270659,0.622017,1605,222,0.820500,300.000000,0.197500,0
費用あり(主のc),logistic_3択,A,0.500000,-0.519099,-7.724737,0.761696,0.527000,-2.587813,0.261903,2000,223,0.820500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,A,0.500000,-2.836501,-10.303881,2.190631,0.656698,-3.372520,0.319155,1605,222,0.820500,60.000000,0.197500,0
費用あり(主のc),logistic_3択,A,1,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,2000,223,0.820500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,A,1,-2.850147,-10.389587,2.109637,0.646106,-3.347446,0.328918,1605,222,0.820500,60.000000,0.197500,0
費用あり(主のc),logistic_3択,A,2,-0.402080,-7.968009,0.969302,0.514500,-2.530605,0.261343,2000,223,0.820500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,A,2,-2.921539,-10.233595,2.378711,0.641121,-3.274455,0.319664,1605,222,0.820500,60.000000,0.197500,0
費用あり(主のc),logistic_3択,B,0.500000,-0.522296,-8.120188,0.876422,0.525000,-2.505693,0.275928,2000,223,0.867500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,B,0.500000,-3.060250,-10.487921,2.465351,0.654206,-3.263096,0.337412,1605,222,0.867500,60.000000,0.197500,0
費用あり(主のc),logistic_3択,B,1,-0.498860,-8.082154,1.081638,0.517500,-2.502466,0.284824,2000,223,0.867500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,B,1,-3.052809,-10.633042,2.656403,0.644860,-3.251344,0.348637,1605,222,0.867500,60.000000,0.197500,0
費用あり(主のc),logistic_3択,B,2,-0.399410,-8.229861,1.114273,0.511500,-2.454833,0.274558,2000,223,0.867500,60.000000,0.197500,1
費用あり(主のc),logistic_3択,B,2,-3.178561,-10.391187,2.664394,0.637383,-3.178164,0.337196,1605,222,0.867500,60.000000,0.197500,0
費用あり(主のc),logistic_2値0.5,A,0.500000,-3.052777,-10.105500,2.080469,0.659000,-3.541859,0.284043,2000,223,1.039500,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,A,0.500000,-3.052777,-10.105500,2.080469,0.659000,-3.541859,0.284043,2000,223,1.039500,60.000000,0.000000,0
費用あり(主のc),logistic_2値0.5,A,1,-2.987556,-10.208872,2.104331,0.646500,-3.509784,0.288177,2000,223,1.039500,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,A,1,-2.987556,-10.208872,2.104331,0.646500,-3.509784,0.288177,2000,223,1.039500,60.000000,0.000000,0
費用あり(主のc),logistic_2値0.5,A,2,-3.024403,-9.883574,2.217436,0.646000,-3.457342,0.279807,2000,223,1.039500,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,A,2,-3.024403,-9.883574,2.217436,0.646000,-3.457342,0.279807,2000,223,1.039500,60.000000,0.000000,0
費用あり(主のc),logistic_2値0.5,B,0.500000,-3.143299,-10.294699,2.276404,0.655500,-3.714813,0.288379,2000,223,1.105000,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,B,0.500000,-3.143299,-10.294699,2.276404,0.655500,-3.714813,0.288379,2000,223,1.105000,60.000000,0.000000,0
費用あり(主のc),logistic_2値0.5,B,1,-3.010854,-10.316926,2.400533,0.644500,-3.677290,0.291753,2000,223,1.105000,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,B,1,-3.010854,-10.316926,2.400533,0.644500,-3.677290,0.291753,2000,223,1.105000,60.000000,0.000000,0
費用あり(主のc),logistic_2値0.5,B,2,-3.230654,-10.084336,2.383319,0.643500,-3.667313,0.286120,2000,223,1.105000,60.000000,0.000000,1
費用あり(主のc),logistic_2値0.5,B,2,-3.230654,-10.084336,2.383319,0.643500,-3.667313,0.286120,2000,223,1.105000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,A,0.500000,-2.467071,-9.395389,2.075847,0.648500,-3.087341,0.261924,2000,223,1.068000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,A,0.500000,-2.467071,-9.395389,2.075847,0.648500,-3.087341,0.261924,2000,223,1.068000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,A,1,-2.622942,-9.282043,2.098226,0.638500,-3.043151,0.268396,2000,223,1.068000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,A,1,-2.622942,-9.282043,2.098226,0.638500,-3.043151,0.268396,2000,223,1.068000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,A,2,-2.781164,-9.269031,2.200120,0.641000,-3.035953,0.267105,2000,223,1.068000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,A,2,-2.781164,-9.269031,2.200120,0.641000,-3.035953,0.267105,2000,223,1.068000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,B,0.500000,-3.025756,-9.746616,2.427534,0.650000,-3.114141,0.286694,2000,223,1.178000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,B,0.500000,-3.025756,-9.746616,2.427534,0.650000,-3.114141,0.286694,2000,223,1.178000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,B,1,-2.969334,-9.868226,2.542965,0.641500,-3.050547,0.289409,2000,223,1.178000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,B,1,-2.969334,-9.868226,2.542965,0.641500,-3.050547,0.289409,2000,223,1.178000,60.000000,0.000000,0
費用あり(主のc),logistic_2値基準率,B,2,-3.092720,-9.813998,2.559258,0.641000,-3.073501,0.288409,2000,223,1.178000,60.000000,0.000000,1
費用あり(主のc),logistic_2値基準率,B,2,-3.092720,-9.813998,2.559258,0.641000,-3.073501,0.288409,2000,223,1.178000,60.000000,0.000000,0
費用あり(主のc),規則,A,0.500000,-2.004025,-7.195773,3.915347,0.593500,-1.943581,0.278507,2000,223,1.142500,60.000000,0.000000,1
費用あり(主のc),規則,A,0.500000,-2.004025,-7.195773,3.915347,0.593500,-1.943581,0.278507,2000,223,1.142500,60.000000,0.000000,0
費用あり(主のc),規則,A,1,-1.909483,-7.089724,3.993642,0.588000,-1.984264,0.281572,2000,223,1.142500,60.000000,0.000000,1
費用あり(主のc),規則,A,1,-1.909483,-7.089724,3.993642,0.588000,-1.984264,0.281572,2000,223,1.142500,60.000000,0.000000,0
費用あり(主のc),規則,A,2,-1.694281,-6.903044,4.106247,0.582500,-1.885873,0.270126,2000,223,1.142500,60.000000,0.000000,1
費用あり(主のc),規則,A,2,-1.694281,-6.903044,4.106247,0.582500,-1.885873,0.270126,2000,223,1.142500,60.000000,0.000000,0
費用あり(主のc),規則,B,0.500000,-1.641744,-8.991582,4.406965,0.570500,-2.749324,0.288571,2000,223,1.325000,60.000000,0.000000,1
費用あり(主のc),規則,B,0.500000,-1.641744,-8.991582,4.406965,0.570500,-2.749324,0.288571,2000,223,1.325000,60.000000,0.000000,0
費用あり(主のc),規則,B,1,-1.666816,-8.748564,4.545534,0.569000,-2.753029,0.298334,2000,223,1.325000,60.000000,0.000000,1
費用あり(主のc),規則,B,1,-1.666816,-8.748564,4.545534,0.569000,-2.753029,0.298334,2000,223,1.325000,60.000000,0.000000,0
費用あり(主のc),規則,B,2,-1.590518,-8.464338,4.600403,0.572000,-2.671107,0.293714,2000,223,1.325000,60.000000,0.000000,1
費用あり(主のc),規則,B,2,-1.590518,-8.464338,4.600403,0.572000,-2.671107,0.293714,2000,223,1.325000,60.000000,0.000000,0
費用あり(主のc),完全な判断,A,0.500000,3.341325,-1.104800,9.180421,0.311000,4.387474,0.247459,2000,223,1.048000,60.000000,0.000000,1
費用あり(主のc),完全な判断,A,0.500000,3.341325,-1.104800,9.180421,0.311000,4.387474,0.247459,2000,223,1.048000,60.000000,0.000000,0
費用あり(主のc),完全な判断,A,1,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,2000,223,1.048000,60.000000,0.000000,1
費用あり(主のc),完全な判断,A,1,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,2000,223,1.048000,60.000000,0.000000,0
費用あり(主のc),完全な判断,A,2,2.887766,-1.800432,8.883194,0.336000,3.618841,0.230423,2000,223,1.048000,60.000000,0.000000,1
費用あり(主のc),完全な判断,A,2,2.887766,-1.800432,8.883194,0.336000,3.618841,0.230423,2000,223,1.048000,60.000000,0.000000,0
費用あり(主のc),完全な判断,B,0.500000,3.613438,-1.183444,10.563372,0.311500,5.323070,0.312146,2000,223,1.181000,60.000000,0.000000,1
費用あり(主のc),完全な判断,B,0.500000,3.613438,-1.183444,10.563372,0.311500,5.323070,0.312146,2000,223,1.181000,60.000000,0.000000,0
費用あり(主のc),完全な判断,B,1,3.621574,-1.407688,10.477510,0.314000,4.977624,0.304970,2000,223,1.181000,60.000000,0.000000,1
費用あり(主のc),完全な判断,B,1,3.621574,-1.407688,10.477510,0.314000,4.977624,0.304970,2000,223,1.181000,60.000000,0.000000,0
費用あり(主のc),完全な判断,B,2,3.130460,-1.889787,10.092183,0.333500,4.383955,0.283410,2000,223,1.181000,60.000000,0.000000,1
費用あり(主のc),完全な判断,B,2,3.130460,-1.889787,10.092183,0.333500,4.383955,0.283410,2000,223,1.181000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,A,0.500000,0.102558,-5.052797,6.022366,0.495000,0.147072,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部逆張り,A,0.500000,0.102558,-5.052797,6.022366,0.495000,0.147072,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,A,1,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部逆張り,A,1,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,A,2,0.149425,-5.495212,6.129527,0.491000,0.043283,0.254224,2000,223,1.000000,60.000000,0.000000,1
