kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered
liq,1687667671953,BUY,20.0,30990.1,30990.1,30990.1,15.0,-149.7217,-179.2136,0.014371,-111.9383,20,3135500.0,2023-06-25,,,,,,,,,111.9383,149.7217,,,,,,,0
liq,1687667792230,BUY,6.0,31036.5,31036.5,31036.4,0.0,-154.6125,4.1007,0.001674,-123.6401,22,3223038.0,2023-06-25,,,,,,,,,123.6401,154.6125,,,,,,,0
liq,1687667793944,BUY,2.0,31035.2,31035.2,31035.7,4.5455,-154.2001,4.5198,0.004041,-122.4683,22,3243265.0,2023-06-25,,,,,,,,,122.4683,154.2001,,,,,,,0
liq,1687668014816,BUY,1.0,31044.7,31044.7,31044.6,18.1818,-157.213,-78.1945,0.015807,-121.6887,22,3331182.0,2023-06-25,,,,,,,,,121.6887,157.213,,,,,,,0
liq,1687668800357,SELL,12.0,30880.0,30880.0,30880.0,59.0909,-104.716,-25.2761,0.044743,-59.237,22,3595093.0,2023-06-25,,,,,,,,,-59.237,-104.716,,,,,,,0
liq,1687670378099,SELL,240.0,30844.5,30844.5,30845.5,20.0,-93.3272,-13.7958,0.018865,-37.9339,20,3658165.0,2023-06-25,,,,,,,,,-37.9339,-93.3272,,,,,,,0
liq,1687670380489,SELL,5.0,30840.0,30840.0,30840.2,20.0,-91.8816,-12.3387,0.019105,-36.4719,20,3659057.0,2023-06-25,,,,,,,,,-36.4719,-91.8816,,,,,,,0
control,1687671567276,,,30869.8,,30869.8,85.0,7.9838,-21.9803,0.090741,-41.439,20,3692600.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687671669254,,,30888.8,,30888.8,90.0,1.8277,-28.1178,0.098524,-47.3604,20,3700475.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687672610823,,,30878.5,,30878.5,85.0,5.164,-24.7916,0.094482,-42.2929,20,3726439.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687672990202,SELL,12.0,30808.3,30808.3,30808.3,5.0,27.9618,-2.062,0.008828,-18.356,20,3731508.0,2023-06-25,,,,,,,,,-18.356,27.9618,,,,,,,0
liq,1687673308098,SELL,64.0,30775.1,30775.1,30775.1,40.0,38.7799,89.0743,0.033021,-6.8086,20,3849300.0,2023-06-25,,,,,,,,,-6.8086,38.7799,,,,,,,0
liq,1687674331386,BUY,1.0,30932.5,30932.5,30932.3,85.0,-12.3024,37.7361,0.086478,-54.3658,20,4028825.0,2023-06-25,,,,,,,,,54.3658,12.3024,,,,,,,0
liq,1687674459235,BUY,2.0,30985.7,30985.7,30985.6,55.0,-29.4505,20.5021,0.048913,-70.0885,20,4096828.0,2023-06-25,,,,,,,,,70.0885,29.4505,,,,,,,0
control,1687674794029,,,30909.3,,30909.3,95.0,-4.8058,45.2702,0.111827,-43.2761,20,4150974.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687675445765,,,30853.5,,30853.5,85.0,13.271,63.4376,0.101214,-22.4583,20,4240348.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687675830945,,,30856.2,,30856.2,85.0,12.3948,62.557,0.10614,-22.4383,20,4293547.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687677610326,SELL,1.0,30765.5,30765.5,30765.6,45.0,31.8805,92.2225,0.04154,10.1988,20,4328247.0,2023-06-25,,,,,,,,,10.1988,31.8805,,,,,,,0
liq,1687677644353,SELL,120.0,30737.6,30737.6,30736.6,10.0,40.9863,-88.6373,0.018751,19.2756,20,4338049.0,2023-06-25,,,,,,,,,19.2756,40.9863,,,,,,,0
control,1687678043153,,,30727.8,,30727.8,20.0,44.1887,-85.4763,0.032556,21.2445,20,4578245.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687678059142,,,30732.6,,30732.6,20.0,42.6199,-87.0248,0.032605,19.6785,20,4578479.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687680256205,,,30725.7,,30725.7,55.0,-5.1989,-84.7987,0.044424,22.3224,20,4785355.0,2023-06-25,20.4807,-35.1234,,,18.0,44.0,150588.0,,,,,,,,,,1
control,1687681649524,,,30753.6,,30753.6,70.0,-14.2663,-64.0455,0.063514,16.4877,20,4701115.0,2023-06-25,13.1838,-44.1637,,,18.0,44.0,154219.0,,,,,,,,,,1
control,1687681866275,,,30746.2,,30746.2,70.0,-11.8629,-61.6541,0.065925,19.7324,20,4669668.0,2023-06-25,18.227,-41.7675,,,18.0,44.0,151117.0,,,,,,,,,,1
liq,1687682629185,SELL,3.0,30676.5,30676.5,30676.5,42.1053,10.8311,-39.0732,0.042407,44.2572,19,4639632.0,2023-06-25,41.4438,-19.1414,43.1258,-19.1414,18.0,44.0,153512.0,80069.32375150372,44.2572,10.8311,41.4438,-19.1414,43.1258,-19.1414,,,1
control,1687684097432,,,30699.6,,30699.6,94.7368,3.2984,-56.5118,0.13117,37.0183,19,4737609.0,2023-06-25,33.1833,-26.6515,,,15.0,45.0,159161.0,,,,,,,,,,1
liq,1687684974232,SELL,1.0,30638.4,30638.4,30638.4,29.4118,23.28,-16.7131,0.042417,58.2773,17,4721613.0,2023-06-25,53.3294,-6.7298,54.3857,-6.7298,15.0,46.0,160779.0,84394.33411076415,58.2773,23.28,53.3294,-6.7298,54.3857,-6.7298,,,1
liq,1687684990493,SELL,64.0,30623.0,30623.0,30623.0,47.0588,28.3206,-11.6926,0.052684,63.0182,17,4745518.0,2023-06-25,58.3851,-1.7043,59.442,-1.7043,15.0,46.0,160779.0,84394.33411076415,63.0182,28.3206,58.3851,-1.7043,59.442,-1.7043,,,1
liq,1687685325309,SELL,319.0,30610.4,30610.4,30610.4,53.3333,32.4485,133.2256,0.059927,67.2964,15,4746559.0,2023-06-25,64.4487,2.4112,65.6334,2.4112,14.0,45.0,156486.0,82030.48685374642,67.2964,32.4485,64.4487,2.4112,65.6334,2.4112,,,1
liq,1687685326504,SELL,2.0,30610.4,30610.4,30610.4,53.3333,32.4485,133.2256,0.05999,67.2921,15,4746874.0,2023-06-25,64.4487,2.4112,65.6334,2.4112,14.0,45.0,156486.0,82030.48685374642,67.2921,32.4485,64.4487,2.4112,65.6334,2.4112,,,1
liq,1687685482890,SELL,7.0,30591.9,30591.9,30589.0,0.0,38.5154,-1.5384,0.002779,73.1739,16,4760851.0,2023-06-25,74.4936,48.554,76.7273,48.554,14.0,45.0,147105.0,76014.23308676743,73.1739,38.5154,74.4936,48.554,76.7273,48.554,,,1
liq,1687685483999,SELL,14.0,30596.3,30596.3,30595.1,0.0,37.0718,-2.9763,0.002875,71.7181,16,4761309.0,2023-06-25,73.0448,47.1089,75.2782,47.1089,14.0,45.0,147105.0,76014.23308676743,71.7181,37.0718,73.0448,47.1089,75.2782,47.1089,,,1
control,1687686243315,,,30664.6,,30664.6,50.0,14.716,-25.2429,0.055094,49.3472,16,4766362.0,2023-06-25,47.3927,24.7307,,,14.0,46.0,155873.0,,,,,,,,,,1
control,1687688408162,,,30621.8,,30621.8,18.75,28.7136,-11.3012,0.025386,63.3962,16,4817985.0,2023-06-25,63.9153,38.7423,,,14.0,45.0,151632.0,,,,,,,,,,1
control,1687688939368,,,30627.2,,30627.2,18.75,26.9454,-13.0624,0.033244,61.3987,16,4821397.0,2023-06-25,63.5596,36.9723,,,14.0,44.0,147834.0,,,,,,,,,,1
control,1687689361826,,,30653.3,,30653.3,31.25,18.4078,-21.5658,0.040034,53.0591,16,4786948.0,2023-06-25,55.7225,28.4262,,,14.0,43.0,145947.0,,,,,,,,,,1
control,1687690055580,,,30673.6,,30673.6,56.25,11.7776,-28.1696,0.065546,46.2721,16,4794074.0,2023-06-25,47.816,-8.216,,,14.0,44.0,148323.0,,,,,,,,,,1
control,1687690216472,,,30661.3,,30661.3,43.75,15.7939,-24.1693,0.044561,50.3523,16,4789841.0,2023-06-25,52.6811,-4.2077,,,14.0,43.0,145684.0,,,,,,,,,,1
control,1687690548773,,,30647.7,,30647.7,43.75,20.2384,-19.7425,0.044854,54.7954,16,4791307.0,2023-06-25,57.8936,30.2586,,,14.0,42.0,143785.0,,,,,,,,,,1
control,1687690972288,,,30625.2,,30625.2,25.0,27.6002,-12.4102,0.040812,62.1257,16,4793354.0,2023-06-25,64.9681,37.6278,,,14.0,42.0,144574.0,,,,,,,,,,1
control,1687691027117,,,30602.8,,30602.8,31.25,34.94,-5.0997,0.04209,69.4343,16,4797165.0,2023-06-25,72.3353,44.9749,,,14.0,42.0,144574.0,,,,,,,,,,1
control,1687692241638,,,30645.0,,30645.0,37.5,21.1212,-18.8632,0.047944,55.4218,16,4770223.0,2023-06-25,57.2075,1.109,,,14.0,42.0,146356.0,,,,,,,,,,1
control,1687692442040,,,30619.3,,30619.3,50.0,29.5324,-10.4857,0.052553,63.78,16,4771133.0,2023-06-25,65.9083,9.5034,,,14.0,41.0,145538.0,,,,,,,,,,1
control,1687694155747,,,30650.1,,30650.1,43.75,19.4538,-20.524,0.055181,53.5758,16,4695726.0,2023-06-25,53.0636,-0.5551,,,14.0,43.0,148432.0,,,,,,,,,,1
control,1687695368206,,,30706.1,,30706.1,93.75,1.1809,-38.724,0.163393,33.0465,16,4595621.0,2023-06-25,30.0346,1.1809,,,14.0,43.0,156566.0,,,,,,,,,,1
control,1687699109839,,,30629.8,,30629.8,71.4286,16.0781,106.5843,0.097625,38.4628,14,3620750.0,2023-06-25,31.0714,6.0721,,,11.0,43.0,120183.0,,,,,,,,,,1
liq,1687699622275,SELL,46.0,30537.3,30537.3,30537.3,0.0,46.4177,-3.6641,0.000115,66.274,16,3648349.0,2023-06-25,60.7923,36.3813,57.7109,36.3813,11.0,45.0,123014.0,63026.876426520525,66.274,46.4177,60.7923,36.3813,57.7109,36.3813,,,1
liq,1687700201143,SELL,79.0,30520.4,30520.4,30520.4,11.7647,51.9806,-8.1207,0.007251,68.2604,17,3744517.0,2023-06-25,64.3675,41.9387,60.6838,41.9387,11.0,44.0,118795.0,60382.029082182824,68.2604,51.9806,64.3675,41.9387,60.6838,41.9387,,,1
control,1687703868907,,,30701.5,,30701.5,93.3333,2.6794,-67.0602,0.251519,-4.9743,15,3405772.0,2023-06-25,-1.7826,2.6794,,,12.0,49.0,128346.0,,,,,,,,,,1
liq,1687705323149,SELL,176.0,30482.5,30482.5,30482.6,15.3846,64.4786,104.797,0.012559,59.3577,13,3561925.0,2023-06-25,66.6383,54.4242,63.1707,54.4242,11.0,48.0,124277.0,63485.52178218714,59.3577,64.4786,66.6383,54.4242,63.1707,54.4242,,,1
liq,1687705360886,SELL,12.0,30480.8,30480.8,30480.9,30.7692,65.04,-5.1343,0.025578,58.5005,13,3653831.0,2023-06-25,67.1997,54.985,63.7319,54.985,11.0,48.0,124277.0,63485.52178218714,58.5005,65.04,67.1997,54.985,63.7319,54.985,,,1
liq,1687705363326,SELL,48.0,30466.0,30466.0,30466.1,0.0,69.9294,-0.279,0.004369,63.24,13,3662279.0,2023-06-25,72.0902,59.8696,68.6208,59.8696,11.0,48.0,124277.0,63485.52178218714,63.24,69.9294,72.0902,59.8696,68.6208,59.8696,,,1
liq,1687705364437,SELL,375.0,30477.2,30477.2,30476.8,0.0,66.2289,-3.9537,0.005484,59.4708,13,3666385.0,2023-06-25,68.3889,56.1727,64.9207,56.1727,11.0,48.0,124277.0,63485.52178218714,59.4708,66.2289,68.3889,56.1727,64.9207,56.1727,,,1
control,1687705716985,,,30540.8,,30540.8,38.4615,45.2663,-24.7701,0.043614,36.4012,13,3777503.0,2023-06-25,44.1696,35.2311,,,10.0,47.0,117707.0,,,,,,,,,,1
liq,1687706143423,BUY,10.0,30628.2,30628.2,30628.2,69.2308,16.6014,-53.2352,0.128146,6.6613,13,3889408.0,2023-06-25,13.7215,6.5948,14.0816,26.618,9.0,47.0,117579.0,54340.653994407294,-6.6613,-16.6014,-13.7215,-6.5948,-14.0816,-26.618,,,1
control,1687708095265,,,30595.5,,30595.5,90.9091,-2.7149,-42.6043,0.153372,11.9374,11,3641141.0,2023-06-25,21.2298,17.2897,,,7.0,48.0,127368.0,,,,,,,,,,1
control,1687708858486,,,30587.9,,30587.9,90.9091,-0.2309,-40.1302,0.160762,13.5775,11,3655173.0,2023-06-25,22.3742,19.7786,,,7.0,49.0,131509.0,,,,,,,,,,1
liq,1687709294479,BUY,1.0,30652.3,30652.3,30652.2,72.7273,-11.2615,38.7822,0.138874,-8.0215,11,3638805.0,2023-06-25,-0.5587,-1.2728,-0.218,-11.2615,7.0,48.0,123092.0,55933.984702149835,8.0215,11.2615,0.5587,1.2728,0.218,11.2615,,,1
control,1687710422844,,,30522.3,,30522.3,36.3636,21.2611,-18.724,0.068284,32.454,11,3738086.0,2023-06-25,41.9708,41.3136,,,7.0,49.0,123332.0,,,,,,,,,,1
control,1687712341179,,,30607.1,,30607.1,80.0,-6.5038,-46.3781,0.164006,1.7941,10,3735359.0,2023-06-25,11.5568,13.4931,,,7.0,48.0,119633.0,,,,,,,,,,1
control,1687713120918,,,30612.6,,30612.6,80.0,-8.2993,-48.1664,0.177374,-0.6785,10,3727366.0,2023-06-25,7.6926,1.6924,,,6.0,48.0,139722.0,,,,,,,,,,1
control,1687713697905,,,30612.7,,30612.7,80.0,-8.332,-48.1989,0.185491,-1.094,10,3706191.0,2023-06-25,6.9718,1.6597,,,6.0,48.0,139899.0,,,,,,,,,,1
control,1687714609436,,,30581.1,,30581.1,90.0,1.9926,-37.9155,0.200182,8.7081,10,3538060.0,2023-06-25,16.7138,11.9946,,,6.0,47.0,141142.0,,,,,,,,,,1
liq,1687715107083,SELL,30.0,30500.0,30500.0,30500.0,20.0,28.5881,-11.4262,0.032295,34.8949,10,3564458.0,2023-06-25,41.849,38.6167,41.9833,38.6167,6.0,47.0,140755.0,75290.93568601379,34.8949,28.5881,41.849,38.6167,41.9833,38.6167,,,1
control,1687715715208,,,30534.7,,30534.7,40.0,17.1915,-22.7773,0.10023,22.4188,10,3584532.0,2023-06-25,27.2691,27.2087,,,7.0,46.0,148482.0,,,,,,,,,,1
liq,1687716192074,SELL,2.0,30481.6,30481.6,30481.9,20.0,34.6418,-5.3967,0.041231,39.1825,10,3616250.0,2023-06-25,43.8393,44.6764,42.8878,44.6764,7.0,47.0,153041.0,84283.58353717632,39.1825,34.6418,43.8393,44.6764,42.8878,44.6764,,,1
liq,1687716309490,SELL,10.0,30442.4,30442.4,30442.4,0.0,37.5256,-2.5243,0.004322,51.5528,11,3644583.0,2023-06-25,53.414,57.6107,53.7405,57.6107,8.0,48.0,167345.0,89116.7201491982,51.5528,37.5256,53.414,57.6107,53.7405,57.6107,,,1
liq,1687716310513,SELL,33.0,30450.3,30450.3,30450.3,18.1818,34.9215,-5.118,0.010524,48.8182,11,3653187.0,2023-06-25,50.8058,55.0014,51.1322,55.0014,8.0,48.0,167345.0,89116.7201491982,48.8182,34.9215,50.8058,55.0014,51.1322,55.0014,,,1
liq,1687716637676,SELL,1.0,30437.0,30437.0,30437.0,9.0909,39.3064,-0.7506,0.009717,52.1496,11,3711704.0,2023-06-25,53.965,59.3951,54.4916,59.3951,9.0,49.0,171958.0,91150.66154622196,52.1496,39.3064,53.965,59.3951,54.4916,59.3951,,,1
liq,1687716653427,SELL,2.0,30391.0,30391.0,30391.0,15.3846,54.502,-5.6144,0.007794,66.515,13,3758392.0,2023-06-25,69.1827,74.6211,69.7102,74.6211,9.0,49.0,171958.0,91150.66154622196,66.515,54.502,69.1827,74.6211,69.7102,74.6211,,,1
liq,1687716654878,SELL,8.0,30401.6,30401.6,30401.5,15.3846,50.9963,-9.0991,0.009214,62.9163,13,3763778.0,2023-06-25,65.672,71.1084,66.1992,71.1084,9.0,49.0,171958.0,91150.66154622196,62.9163,50.9963,65.672,71.1084,66.1992,71.1084,,,1
liq,1687716670102,SELL,171.0,30375.1,30375.1,30378.8,23.0769,59.7651,19.6264,0.017131,70.2377,13,3846675.0,2023-06-25,74.4535,79.8947,74.9812,79.8947,9.0,49.0,171958.0,91150.66154622196,70.2377,59.7651,74.4535,79.8947,74.9812,79.8947,,,1
liq,1687716688445,SELL,24.0,30360.0,30360.0,30360.1,23.0769,64.7684,24.6098,0.021782,74.8204,13,3870814.0,2023-06-25,79.4642,84.908,79.9921,84.908,9.0,49.0,171958.0,91150.66154622196,74.8204,64.7684,79.4642,84.908,79.9921,84.908,,,1
liq,1687716706596,SELL,2.0,30361.5,30361.5,30361.5,30.7692,64.2712,24.1146,0.027597,73.8698,13,3896261.0,2023-06-25,78.9662,84.4098,79.4941,84.4098,9.0,49.0,171958.0,91150.66154622196,73.8698,64.2712,78.9662,84.4098,79.4941,84.4098,,,1
liq,1687716790204,SELL,1933.0,30351.2,30351.2,30353.2,0.0,67.6866,-2.5061,0.000275,76.4207,14,3939085.0,2023-06-25,82.3866,87.8321,82.9147,87.8321,9.0,49.0,171958.0,91150.66154622196,76.4207,67.6866,82.3866,87.8321,82.9147,87.8321,,,1
liq,1687716791951,SELL,3.0,30348.7,30348.7,30348.8,0.0,68.516,-1.6826,0.002294,77.0913,14,3947055.0,2023-06-25,83.2172,88.6631,83.7453,88.6631,9.0,49.0,171958.0,91150.66154622196,77.0913,68.516,83.2172,88.6631,83.7453,88.6631,,,1
liq,1687717887420,SELL,16.0,30355.3,30355.3,30355.4,7.1429,66.3268,-3.8565,0.00681,70.4906,14,4135042.0,2023-06-25,72.775,66.3268,72.4058,66.3268,12.0,51.0,198304.0,107502.50462823537,70.4906,66.3268,72.775,66.3268,72.4058,66.3268,,,1
liq,1687717893373,SELL,3050.0,30344.1,30344.1,30342.0,7.1429,70.0423,-0.1669,0.007875,74.1278,14,4139475.0,2023-06-25,76.4928,70.0423,76.1235,70.0423,12.0,51.0,198304.0,107502.50462823537,74.1278,70.0423,76.4928,70.0423,76.1235,70.0423,,,1
liq,1687717895108,SELL,1.0,30341.6,30341.6,30341.7,7.1429,70.872,0.657,0.00844,74.9147,14,4141195.0,2023-06-25,77.3231,70.872,76.9538,70.872,12.0,51.0,198304.0,107502.50462823537,74.9147,70.872,77.3231,70.872,76.9538,70.872,,,1
control,1687719168123,,,30454.9,,30454.9,14.2857,33.4058,-36.548,0.035886,34.4945,14,4234001.0,2023-06-25,37.2212,33.4058,,,12.0,51.0,198295.0,,,,,,,,,,1
control,1687719474281,,,30462.8,,30462.8,21.4286,30.8038,-39.1318,0.040614,31.6116,14,4239782.0,2023-06-25,34.1479,30.8038,,,12.0,52.0,201089.0,,,,,,,,,,1
control,1687720484350,,,30403.3,,30403.3,28.5714,50.4343,-19.6381,0.049728,50.1693,14,4265522.0,2023-06-25,53.2468,50.4343,,,12.0,50.0,196382.0,,,,,,,,,,1
control,1687722214258,,,30386.9,,30386.9,64.2857,55.8586,-14.2517,0.079412,52.7144,14,4335885.0,2023-06-25,56.7119,55.8586,,,12.0,49.0,188534.0,,,,,,,,,,1
control,1687722821036,,,30394.2,,30394.2,50.0,53.4434,-16.65,0.06476,49.3331,14,4380114.0,2023-06-25,51.9197,53.4434,,,12.0,50.0,196021.0,,,,,,,,,,1
liq,1687723563231,BUY,3.0,30485.2,30485.2,30485.1,14.2857,23.4333,-46.4509,0.037307,17.4948,14,4358439.0,2023-06-25,19.3528,23.4333,21.5327,23.4333,12.0,49.0,190480.0,89263.24327082779,-17.4948,-23.4333,-19.3528,-23.4333,-21.5327,-23.4333,,,1
control,1687724538407,,,30495.3,,30495.3,28.5714,20.1136,-49.7475,0.05276,12.4393,14,4386330.0,2023-06-25,12.4736,20.1136,,,12.0,50.0,186068.0,,,,,,,,,,1
control,1687725161473,,,30480.3,,30480.3,21.4286,25.0447,-44.8507,0.047672,16.8152,14,4402520.0,2023-06-25,16.3831,25.0447,,,12.0,51.0,191059.0,,,,,,,,,,1
control,1687725241609,,,30488.8,,30488.8,42.8571,22.2498,-47.6262,0.06536,13.9246,14,4403681.0,2023-06-25,13.5906,22.2498,,,12.0,51.0,191059.0,,,,,,,,,,1
liq,1687726358082,SELL,1.0,30376.8,30376.8,30376.7,71.4286,59.2021,-10.9315,0.092627,49.7515,14,4460354.0,2023-06-25,49.0848,39.1138,48.9678,19.0657,12.0,52.0,188949.0,100950.83653263548,49.7515,59.2021,49.0848,39.1138,48.9678,19.0657,,,1
