code,name,market,perk_flag,kenri_month
2911,旭松食品,standard,1,3月・9月
2915,ケンコーマヨネーズ,prime,1,3月
2916,仙波糖化工業,standard,1,9月
2917,大森屋,standard,1,9月
2922,なとり,prime,1,3月
2923,サトウ食品,standard,1,10月
2927,ＡＦＣ－ＨＤアムスライフサイエンス,standard,1,2月・8月
2930,北の達人コーポレーション,prime,1,2月
2931,ユーグレナ,prime,1,12月
2932,ＳＴＩフードホールディングス,standard,1,12月
2933,紀文食品,prime,1,9月
2935,ピックルスホールディングス,prime,1,2月
2938,オカムラ食品工業,standard,1,6月
2970,ＧＬＣ　ＧＲＯＵＰ,standard,1,6月・12月
297A,アルピコホールディングス,standard,1,3月
2984,ヤマイチエステート,standard,1,3月
2999,ホームポジション,standard,1,8月
3001,片倉工業,standard,1,12月
3002,グンゼ,prime,1,3月・9月
3003,ヒューリック,prime,1,12月
300A,ＭＩＣ,standard,1,9月
3010,ポラリス・ホールディングス,standard,1,3月
3020,アプライド,standard,1,3月
3024,クリエイト,standard,1,3月
3028,アルペン,prime,1,6月・12月
3030,ハブ,standard,1,2月
3031,ラクーンホールディングス,prime,1,4月・10月
3034,クオールホールディングス,prime,1,3月
3035,ケイティケイ,standard,1,8月
3036,アルコニックス,prime,1,3月
3038,神戸物産,prime,1,10月
3041,ビューティカダンホールディングス,standard,1,6月
3045,カワサキ,standard,1,2月・8月
3046,ジンズホールディングス,prime,1,8月
3048,ビックカメラ,prime,1,2月・8月
3050,ＤＣＭホールディングス,prime,1,2月
3053,ペッパーフードサービス,standard,1,6月・12月
3054,ハイパー,standard,1,12月
3058,三洋堂ホールディングス,standard,1,3月
3059,ヒラキ,standard,1,3月
3065,ライフフーズ,standard,1,2月・8月
3067,東京一番フーズ,standard,1,3月・9月
3068,ＷＤＩ,standard,1,3月
3069,ＪＦＬＡホールディングス,standard,1,3月・9月
3071,ストリーム,standard,1,1月
3075,銚子丸,standard,1,2月・8月
3077,ホリイフードサービス,standard,1,11月
3080,ジェーソン,standard,1,2月
3082,きちりホールディングス,standard,1,6月・12月
3083,スターシーズ,standard,1,8月
3086,Ｊ．フロント　リテイリング,prime,1,2月・8月
3087,ドトール・日レスホールディングス,prime,1,2月
3088,マツキヨココカラ＆カンパニー,prime,1,3月・9月
3091,ブロンコビリー,prime,1,6月・12月
3093,トレジャー・ファクトリー,prime,1,2月
3096,オーシャンシステム,standard,1,3月・9月
3097,物語コーポレーション,prime,1,6月・12月
3099,三越伊勢丹ホールディングス,prime,1,3月・9月
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,standard,1,3月
3121,マーチャント・バンカーズ,standard,1,10月
3134,Ｈａｍｅｅ,standard,1,4月・10月
3135,マーケットエンタープライズ,standard,1,6月・12月
3137,ファンデリー,standard,1,3月
3138,富士山マガジンサービス,standard,1,12月
3139,ラクト・ジャパン,prime,1,11月
3143,オーウイル,standard,1,9月
3148,クリエイトＳＤホールディングス,prime,1,5月
3151,バイタルケーエスケー・ホールディングス,prime,1,3月
3153,八洲電機,prime,1,9月
3154,メディアスホールディングス,prime,1,6月
3157,ジオリーブグループ,standard,1,3月
3159,丸善ＣＨＩホールディングス,standard,1,7月
3160,大光,standard,1,5月・11月
3166,ＯＣＨＩホールディングス,standard,1,3月
3167,ＴＯＫＡＩホールディングス,prime,1,3月・9月
3168,ＭＥＲＦ,standard,1,8月
3169,ミサワ,standard,1,1月
3172,ティーライフ,standard,1,1月・7月
