k,thr,stop,signal,period,one_way_bps,burst_coef,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
15,0.8,0.25,usd,val,2.5935204311832636,1.995015716294818,False,165030,2312,3320,35,3285,-6.080391282072903,-8.005804825000109,-4.127063923075628,1.000802809570926,-5.540169836398014,-7.704785327391434,-3.4839115195497925,0.2663622526636225,20316.389557955317,10.745509893455099,0.6831050228310502,0.038356164383561646,-0.8549942553228137,53.95372717778577,356,0,0,5.187040862366527,-78144.198107929,2.637288262916374
15,0.8,0.25,jpy,full,2.5935204311832636,1.995015716294818,False,165931,2313,30385,162,30223,-4.514978974037915,-5.290060826475356,-3.6838905346441626,0.4177410622337745,-4.379964452903034,-5.454299386088552,-3.3687259765178443,0.2562286999966913,136808.20374522294,10.064619660523443,0.6967541276511267,0.04003573437448301,0.7120976227030951,70.36978265918547,1954,14,10,5.187040862366527,-341719.07688800676,1.1340214295717777
15,0.8,0.25,jpy,train,2.5935204311832636,1.995015716294818,False,165931,2313,27027,129,26898,-4.335497276783334,-5.229251838250367,-3.4133650352407314,0.46467525523369957,-4.27902251339553,-5.429180776267862,-3.123862124530023,0.25503754926016803,116875.16867307003,9.973083500632017,0.6987508364934196,0.04037474905197413,0.8919183346351665,72.10383345924197,1598,14,10,5.187040862366527,-264998.1681465668,1.231692218567165
15,0.8,0.25,jpy,val,2.5935204311832636,1.995015716294818,False,165931,2313,3358,33,3325,-5.966918430505195,-7.782437349144177,-4.021365039537088,0.9613196648335438,-5.893415084686032,-7.987398112145316,-3.975763630332152,0.26586466165413536,20180.772867071657,10.805112781954888,0.6806015037593985,0.03729323308270677,-0.7425843350559602,54.33144182635616,356,0,0,5.187040862366527,-76720.90874144,2.639728387796195
15,0.8,0.5,usd,full,2.5935204311832636,1.995015716294818,False,165030,2312,22785,222,22563,-3.730553866055494,-4.805299662243287,-2.6646259198169755,0.5465757287349077,-2.878541220883046,-3.8174379078609633,-1.9430780411301667,0.3252227097460444,84669.24685099338,16.105748349067056,0.4092097682045827,0.06577139564774188,1.5222583919587764,84.24068626710441,1954,9,8,5.187040862366527,-276478.10868970264,1.571184955009939
15,0.8,0.5,usd,train,2.5935204311832636,1.995015716294818,False,165030,2312,20171,183,19988,-3.429276035642133,-4.567503101109774,-2.311538128416423,0.5795567458952511,-2.7193682268122163,-3.7908978115805905,-1.723395855482692,0.3231939163498099,68762.05760843836,15.98824294576746,0.41239743846307786,0.06653992395437262,1.8243047506787682,86.2092692586614,1598,9,8,5.187040862366527,-218143.0111519873,1.7083353624623114
15,0.8,0.5,usd,val,2.5935204311832636,1.995015716294818,False,165030,2312,2614,39,2575,-6.06917183665831,-8.604264960989884,-3.354092751063174,1.3588258518745506,-4.133977344292783,-6.275667332882916,-2.0904491284608926,0.3409708737864078,16076.523530009263,17.017864077669902,0.3844660194174757,0.05980582524271845,-0.8223251490490625,66.98942026257005,356,0,0,5.187040862366527,-58335.09753771536,3.698464377247373
15,0.8,0.5,jpy,full,2.5935204311832636,1.995015716294818,False,165931,2313,22823,213,22610,-3.5630683557761014,-4.684693322382557,-2.4114721718379513,0.588563557311152,-2.6081405828663096,-3.6620528831909707,-1.7269633716823434,0.326890756302521,81159.62984290914,16.2421937195931,0.40703228659885005,0.06616541353383458,1.690137920124262,85.32027437329201,1954,10,8,5.187040862366527,-269078.1041994107,1.5896656852186497
15,0.8,0.5,jpy,train,2.5935204311832636,1.995015716294818,False,165931,2313,20178,174,20004,-3.2152315529503523,-4.434798405872736,-2.0420468014091813,0.6333297884765501,-2.390008598681203,-3.51188689136575,-1.3180870138008285,0.3258848230353929,64703.43103064647,16.13987202559488,0.4109678064387123,0.06678664267146571,2.038595952087641,87.46000641353525,1598,10,8,5.187040862366527,-207964.66254296873,1.7324269029379762
15,0.8,0.5,jpy,val,2.5935204311832636,1.995015716294818,False,165931,2313,2645,39,2606,-6.233109569792324,-8.816051870432208,-3.530848246648323,1.3357284292327052,-4.589253717260653,-6.6182851067459945,-2.633166363347302,0.33461243284727554,16830.912730455715,17.027628549501152,0.3768227168073676,0.06139677666922486,-0.9846719307565711,66.5991167319609,356,0,0,5.187040862366527,-61113.44165644197,3.654980809876335
15,0.8,1.0,usd,full,2.5935204311832636,1.995015716294818,False,165030,2312,19655,247,19408,-3.4606618055541825,-4.774447539108551,-2.136286122024041,0.6686234846869608,-2.242725633948791,-3.117402977085744,-1.3347652414765123,0.3671681780708986,71260.96270302891,20.63257419620775,0.15390560593569663,0.08357378400659522,1.8099528408189416,94.34425750466454,1954,5,5,5.187040862366527,-262105.22735745722,1.897269025323639
15,0.8,1.0,usd,train,2.5935204311832636,1.995015716294818,False,165030,2312,17327,203,17124,-2.9673038412242625,-4.324161925818007,-1.5412545850210826,0.7130420602255536,-1.954254740224629,-2.9470318814082046,-0.9977256899408615,0.36714552674608736,54661.58725850192,20.54794440551273,0.15644709180098107,0.08432609203457136,2.3040631131768374,96.58623273598275,1598,5,5,5.187040862366527,-201696.11162750315,2.0678377283412157
15,0.8,1.0,usd,val,2.5935204311832636,1.995015716294818,False,165030,2312,2328,44,2284,-7.159550501344698,-9.927589754553711,-4.342064106205625,1.4576080556133406,-4.573661278118027,-6.5947220990975834,-2.6835947773080795,0.36733800350262696,16762.664138917342,21.26707530647986,0.13485113835376533,0.07793345008756568,-1.894576188890603,75.35694891615304,356,0,0,5.187040862366527,-60409.115729954035,4.417525791854081
