date,open,high,low,close
2025-09-26,1940.58,1946.77,1936.32,1946.77
2025-09-29,1941.62,1941.62,1908.41,1908.41
2025-09-30,1915.49,1926.61,1908.22,1921.07
2025-10-01,1923.99,1923.99,1897.38,1912.15
2025-10-02,1913.95,1927.08,1898.01,1911.89
2025-10-03,1910.8,1912.31,1901.25,1908.49
2025-10-06,1921.06,1944.52,1921.06,1943.65
2025-10-07,1941.29,1941.4,1926.8,1932.35
2025-10-08,1936.16,1936.59,1923.21,1923.21
2025-10-09,1922.91,1927.5,1914.93,1927.5
2025-10-10,1922.68,1925.8,1916.23,1919.85
2025-10-14,1907.86,1922.0,1900.52,1921.23
2025-10-15,1918.72,1930.02,1918.72,1926.19
2025-10-16,1928.11,1940.35,1926.38,1940.28
2025-10-17,1937.67,1943.63,1933.25,1943.63
2025-10-20,1948.81,1951.54,1935.81,1947.85
2025-10-21,1950.78,1953.1,1944.01,1950.03
2025-10-22,1952.02,1966.02,1951.59,1966.02
2025-10-23,1960.47,1978.38,1954.78,1978.38
2025-10-24,1978.91,1981.82,1966.23,1966.82
2025-10-27,1972.22,1983.95,1970.78,1983.95
2025-10-28,1980.58,1980.58,1966.57,1970.01
2025-10-29,1971.13,1972.29,1953.47,1961.14
2025-10-30,1953.22,1970.66,1944.88,1966.57
2025-10-31,1967.52,1978.01,1962.44,1962.44
2025-11-04,1965.8,1978.22,1961.78,1977.53
2025-11-05,1969.44,1991.87,1958.28,1991.87
2025-11-06,1989.57,1990.74,1979.75,1989.13
2025-11-07,1986.96,1994.36,1982.59,1986.17
2025-11-10,1994.36,2002.52,1989.17,1989.54
2025-11-11,1994.85,2016.37,1993.2,2016.37
2025-11-12,2012.77,2023.59,2008.11,2008.11
2025-11-13,2011.03,2011.08,2001.49,2008.16
2025-11-14,2008.11,2019.94,2007.8,2012.23
2025-11-17,2009.51,2021.01,2002.33,2021.01
2025-11-18,2017.2,2020.98,1986.9,1986.9
2025-11-19,1987.72,1991.89,1979.57,1983.44
2025-11-20,1995.76,2005.05,1989.16,1991.14
2025-11-21,1992.41,2011.3,1992.41,2011.3
2025-11-25,2015.12,2027.9,2006.45,2022.99
2025-11-26,2026.69,2034.75,2021.88,2034.75
2025-11-27,2030.78,2047.4,2029.88,2045.08
2025-11-28,2041.43,2043.5,2022.59,2023.8
2025-12-01,2023.3,2023.83,1995.68,1995.68
2025-12-02,1994.44,2006.18,1988.89,1998.79
2025-12-03,1991.31,1993.76,1980.5,1986.95
2025-12-04,1987.21,1989.14,1971.5,1973.22
2025-12-05,1971.95,1974.67,1962.18,1962.18
2025-12-08,1966.91,1969.64,1948.36,1960.14
2025-12-09,1952.57,1964.17,1944.6,1962.33
2025-12-10,1963.17,1977.93,1959.14,1969.71
2025-12-11,1975.46,1977.99,1949.35,1963.01
2025-12-12,1961.57,1990.59,1961.57,1987.11
2025-12-15,1984.39,1994.62,1984.39,1988.09
2025-12-16,1992.88,2003.42,1991.33,1994.87
2025-12-17,1995.39,1999.23,1989.12,1997.06
2025-12-18,1998.91,2012.45,1998.91,2004.23
2025-12-19,2006.64,2020.41,2005.31,2015.1
2025-12-22,2018.91,2025.07,1998.63,1998.63
2025-12-23,2005.39,2013.78,2000.49,2013.78
2025-12-24,2013.63,2021.47,2010.17,2017.68
2025-12-25,2026.02,2030.75,2021.22,2030.27
2025-12-26,2029.78,2035.14,2012.88,2026.66
2025-12-29,2019.41,2021.77,2013.15,2021.77
2025-12-30,2027.5,2032.74,2013.5,2013.5
2026-01-05,2025.69,2030.21,2003.79,2016.35
2026-01-06,2017.91,2029.82,2014.72,2029.82
2026-01-07,2022.42,2039.49,2017.18,2037.57
2026-01-08,2038.05,2042.76,2028.95,2039.37
2026-01-09,2045.39,2049.15,2033.28,2038.58
2026-01-13,2044.1,2044.1,2025.7,2041.69
2026-01-14,2040.64,2048.01,2036.82,2045.57
2026-01-15,2048.6,2057.09,2043.11,2057.09
2026-01-16,2058.23,2068.86,2057.33,2067.93
2026-01-19,2078.2,2078.2,2048.17,2050.34
2026-01-20,2055.08,2060.19,2038.29,2038.29
2026-01-21,2035.45,2035.45,1997.44,2001.51
2026-01-22,2008.12,2018.78,2000.49,2000.49
2026-01-23,2011.44,2013.38,1997.85,2003.23
2026-01-26,1990.82,1992.45,1981.14,1988.07
2026-01-27,1982.29,1982.29,1968.9,1978.97
2026-01-28,1971.59,1984.83,1970.05,1984.83
2026-01-29,1957.86,2003.21,1954.28,2003.21
2026-01-30,1997.61,1997.61,1978.31,1978.31
2026-02-02,1991.77,1995.36,1975.56,1976.01
