series,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi
1591T,直前リターン三分位,3_上位,1019,9.64789019301216,3.618643125138095,15.025342005549623,6.300818141896909,3.3470720511152514,-2.105805109501725,8.793255265932215
1591T,SQまでの日数,1_0-2日,436,7.445089585959571,-2.020994484963692,17.859934994709654,6.332563263905784,1.112526322053788,-8.91805522048035,11.260313894697571
1591T,SQまでの日数,2_3-9日,675,4.669477290174518,-4.583567887261471,13.910940108002528,6.308469695401653,-1.6389924052271359,-10.776840313524223,7.739008135557042
1591T,SQまでの日数,3_10日以上,1950,9.971841357886628,6.380017460933974,13.63549200053522,6.3129852237293065,3.6588561341573214,0.20670073878952994,7.3278276186819
1591T,曜日,1_月,570,15.405725453550424,7.87245224669879,22.93749839407556,6.346056912481398,9.059668541069026,1.6421024765447958,17.276363570129906
1591T,曜日,2_火,624,7.1649884257578975,1.4768699911011232,13.088970489756045,6.296048495436265,0.8689399303216309,-4.830092482948287,6.832962813056997
1591T,曜日,3_水,627,9.920702752763958,4.21678074328876,16.565073430598513,6.305398782822066,3.615303969941888,-2.3406043109476866,9.700206209935944
1591T,曜日,4_木,625,0.5204372014946798,-5.548647682008266,6.330031886683903,6.3089130000578155,-5.788475798563136,-11.588596347408696,-0.06857021217687509
1591T,曜日,5_金,615,9.829718235953257,0.9202480812230835,18.47823565271946,6.320314553819494,3.509403682133763,-5.135305199102952,12.502572412253068
1591T,月,01,234,3.100862409030136,-9.230314220733279,15.224372020949339,6.3101971958304945,-3.2093347868003597,-15.883683922169268,9.378318984457161
1591T,月,02,243,6.888222506670224,-6.499412941795646,18.50650126880784,6.458426228512585,0.42979627815763766,-13.011472980471183,11.712788922647487
1591T,月,03,274,5.769499437085522,-7.77321481448516,17.535431810207267,6.486499584264364,-0.7170001471788439,-12.727873006946922,11.196881954762258
1591T,月,04,266,2.610451043034508,-11.017170162107192,19.418454373153047,6.499774230873533,-3.889323187839026,-17.345756000267762,12.652543777221434
1591T,月,05,250,16.01270689522462,7.22883474333078,24.442977379225677,6.377022710297168,9.635684184927454,0.9989141412849487,18.050868728752974
1591T,月,06,279,12.484623211068167,4.706942059006804,20.211898247250918,6.286479869918647,6.198143341149519,-1.6810508049846455,13.295089523957701
