財務省,,,,,,,,
Ministry of Finance,,,,,,,,
,,,,,,,,
外国為替平衡操作の実施状況,,,,,,,,
Foreign Exchange Intervention Operations,,,,,,,,
,,,,,,,,
(データ期間:平成3年4月～),,,,,,,,
(period:April 1991-),,,,,,,,
,,,,,,,,
(単位:億円),,,,,,,,
(amount:100 million Yen),,,,,,,,
,,,,,,,,
実施年月日,,,Intervention Date,,,,,
年,月,日,Year,Month,Day,金額(amount),売買通貨,Currency pairs
,,,,,,,,
平成6年,2月,15日,1994,Feb,15,431,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,16日,,,16,341,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,18日,,,18,187,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,409,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,504,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,28日,,,28,573,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,3月,2日,,Mar,2,725,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,499,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,4日,,,4,314,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,29日,,,29,602,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,30日,,,30,648,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,31日,,,31,370,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成6年1～3月期計,,,January - March 1994,,,"5,604",,
平成6年,4月,1日,1994,Apr,1,268,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,4日,,,4,83,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,5日,,,5,309,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,11日,,,11,207,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,12日,,,12,340,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,103,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,19日,,,19,206,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,309,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,28日,,,28,306,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,29日,,,29,506,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,5月,2日,,May,2,214,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,253,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,4日,,,4,357,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,6月,20日,,Jun,20,102,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,535,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,22日,,,22,"1,090",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,233,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,24日,,,24,"1,363",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,27日,,,27,760,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,29日,,,29,447,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,30日,,,30,148,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成6年4～6月期計,,,April - June 1994,,,"8,139",,
平成6年,7月,1日,1994,Jul,1,706,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,11日,,,11,292,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,12日,,,12,58,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,8月,18日,,Aug,18,169,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,19日,,,19,384,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,22日,,,22,255,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,372,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,24日,,,24,254,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,25日,,,25,60,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,9月,6日,,Sep,6,188,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,296,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,19日,,,19,148,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,20日,,,20,157,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成6年7～9月期計,,,July - September 1994,,,"3,340",,
平成6年,10月,3日,1994,Oct,3,157,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,197,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,17日,,,17,616,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,19日,,,19,458,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
