report_date,market,open_interest,nc_long,nc_short,nc_spread,comm_long,comm_short,nonrept_long,nonrept_short
1998-03-03,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,97168,7090,16029,0,74783,61643,15295,19496
1998-03-10,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,107136,4388,18505,336,86410,65052,16002,23243
1998-03-17,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68922,4937,26053,791,52362,16559,10832,25519
1998-03-24,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,81988,4339,36444,0,68703,17654,8946,27890
1998-03-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,99645,4090,46888,0,85085,22807,10470,29950
1998-04-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,118672,4055,59980,0,102138,24092,12479,34600
1998-04-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89758,3826,41090,0,73013,20493,12919,28175
1998-04-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,93359,3872,43195,3,77905,23142,11579,27019
1998-04-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,88323,2056,32481,0,74905,28538,11362,27304
1998-05-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,92803,6064,32805,400,69442,30898,16897,28700
1998-05-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,92820,3272,35194,325,78456,25995,10767,31306
1998-05-19,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,120892,3718,57144,227,104521,26501,12426,37020
1998-05-26,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,124590,4611,68089,65,105999,27579,13915,28857
1998-06-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,131550,8122,66329,278,112061,28622,11089,36321
1998-06-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,154971,8524,69319,1007,130508,44209,14932,40436
1998-06-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,118902,11528,58275,125,93267,24287,13982,36215
1998-06-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,112988,3825,32696,0,96824,52076,12339,28216
1998-06-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,108781,4604,33577,0,93609,50957,10568,24247
1998-07-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,111492,5381,35426,237,93987,51597,11887,24232
1998-07-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,107157,2540,35647,237,89867,45351,14513,25922
1998-07-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,110323,5700,37902,237,90109,45265,14277,26919
1998-07-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,116184,3130,41054,321,99801,46616,12932,28193
1998-08-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,142444,7563,53271,281,122811,55565,11789,33327
1998-08-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,150804,3873,58571,308,133525,57522,13098,34403
1998-08-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,148067,9012,52437,593,126354,62200,12108,32837
1998-08-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,144169,4686,46368,343,126513,66601,12627,30857
1998-09-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,136199,9078,24395,4,108204,86754,18913,25046
1998-09-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,138490,25433,17003,348,88417,94241,24292,26898
1998-09-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79793,21708,15885,39,36461,45846,21585,18023
1998-09-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77894,18703,16640,39,40931,44979,18221,16236
1998-09-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84359,19307,18445,39,46538,49022,18475,16853
1998-10-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89771,28162,20336,39,42510,52838,19060,16558
1998-10-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,88116,22889,16640,32,45098,51176,20097,20268
1998-10-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89791,25243,17023,250,46452,53705,17846,18813
1998-10-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,87791,22729,18239,55,46460,53199,18547,16298
1998-11-03,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89560,25093,16388,0,45258,55321,19209,17851
1998-11-10,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,95327,16585,15512,0,60587,57643,18155,22172
1998-11-17,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86640,18248,15688,0,55599,54071,12793,16881
1998-11-24,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85183,16515,15586,44,57686,53200,10938,16353
1998-12-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84057,12301,14537,30,58566,50971,13160,18519
1998-12-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89427,14593,12298,0,60681,60916,14153,16213
1998-12-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,65543,19442,11276,533,25717,35466,19851,18268
1998-12-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,65463,19626,11716,533,27894,37343,17410,15871
1998-12-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,66189,20963,11086,533,27840,40946,16853,13624
1999-01-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78909,32885,10865,554,23349,52995,22121,14495
1999-01-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80474,28236,11310,579,28249,52201,23410,16384
1999-01-19,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78621,23579,18588,711,33931,45880,20400,13442
1999-01-26,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78063,23152,14584,533,36386,48368,17992,14578
1999-02-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78317,19197,13093,1009,42246,47001,15865,17214
1999-02-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76418,18241,12052,1009,43806,47399,13362,15958
1999-02-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,72244,7162,18278,1942,49317,31114,13823,20910
1999-02-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,89085,1484,35774,976,76879,27812,9746,24523
1999-03-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,97584,2536,38747,976,83881,30621,10191,27240
1999-03-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,124605,1305,45563,1542,108901,47219,12857,30281
1999-03-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,74429,1878,33670,522,64147,18285,7882,21952
1999-03-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,74634,2128,33858,500,62417,20070,9589,20206
1999-03-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85280,2526,40989,500,74564,20234,7690,23557
1999-04-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85436,1738,37435,1522,74516,21987,7660,24492
1999-04-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,83908,2089,38468,1566,70764,20128,9489,23746
1999-04-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85666,3212,28889,1661,66648,30458,14145,24658
1999-04-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,94472,2906,38216,1423,80259,29409,9884,25424
1999-05-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,99590,5370,43808,1382,86445,28716,6393,25684
1999-05-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,102147,2406,46471,1382,89100,30485,9259,23809
1999-05-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,136084,3018,69715,1946,120244,32883,10876,31540
1999-05-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,131754,1827,64011,1210,114397,34369,14320,32164
1999-06-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,118114,3868,49791,2107,98953,39620,13186,26596
1999-06-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,146342,4801,53803,2683,119962,65972,18896,23884
1999-06-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,96356,2457,42518,1339,75838,34085,16722,18414
1999-06-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,104052,2178,53021,273,91990,33723,9611,17035
1999-06-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,108234,3561,52628,1093,92536,34488,11044,20025
1999-07-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,111634,4061,54037,743,97427,35117,9403,21737
1999-07-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,113708,5766,58964,912,96973,34856,10057,18976
1999-07-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,115699,31756,34466,849,67218,66147,15876,14237
1999-07-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,130673,49571,24810,936,55166,85819,25000,19108
1999-08-03,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,131570,56565,14696,490,49623,99848,24892,16536
1999-08-10,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,132678,56618,16541,890,50009,99379,25161,15868
1999-08-17,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,136057,56001,14689,876,54652,104080,24528,16412
1999-08-24,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,139656,59178,14747,852,55836,107394,23790,16663
1999-08-31,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,146870,67229,13327,1006,53367,115529,25268,17008
1999-09-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,154886,58185,13552,1621,65701,118058,29379,21655
1999-09-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,93219,54045,12921,720,15959,65244,22495,14334
1999-09-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,86942,45832,8933,528,17679,65054,22903,12427
1999-09-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,81131,40370,9085,1011,18549,57424,21201,13611
1999-10-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79913,36745,10151,539,21601,57095,21028,12128
1999-10-12,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80770,37387,10217,796,21956,56720,20631,13037
1999-10-19,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84001,39262,15884,806,23171,54137,20762,13174
1999-10-26,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84344,39061,11348,432,24156,59427,20695,13137
1999-11-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,87789,38605,10798,1216,27394,61801,20574,13974
1999-11-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,85455,32008,12856,862,34831,55979,17754,15758
1999-11-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,84939,31649,16651,392,36621,51482,16277,16414
1999-11-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,90091,38048,11337,639,32035,63368,19369,14747
1999-11-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,99716,49438,11458,806,26714,72150,22758,15302
1999-12-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,107366,41687,11362,1544,41522,79007,22613,15453
1999-12-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,70377,19012,9346,950,33178,47844,17237,12237
1999-12-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73528,23487,9737,990,31365,50754,17686,12047
1999-12-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,73726,26450,9454,990,31153,51444,15133,11838
2000-01-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,74372,23597,8122,699,34206,49640,15870,15911
2000-01-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,96868,13901,36654,232,73597,37278,9138,22704
2000-01-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,98948,14552,39383,292,74679,34494,9425,24779
2000-01-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,102097,14395,38173,169,75880,38303,11653,25452
2000-02-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,114608,14920,52037,141,92469,35757,7078,26673
2000-02-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,122393,15452,58730,177,99718,36948,7046,26538
2000-02-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,127294,15845,63670,383,103311,37305,7755,25936
2000-02-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,130314,15592,65948,400,103845,37588,10477,26378
2000-02-29,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,126995,15979,61373,472,101891,39442,8653,25708
2000-03-07,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,127634,18522,32210,1096,94053,74531,13963,19797
2000-03-14,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,71233,10306,28706,400,46886,24874,13641,17253
2000-03-21,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,68331,4444,28415,495,50192,23723,13200,15698
2000-03-28,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,69382,6061,28150,94,50384,25287,12843,15851
2000-04-04,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76692,15319,8004,120,41120,56166,20133,12402
2000-04-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,72067,12042,8116,122,43447,50403,16456,13426
2000-04-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75075,13424,7810,81,42635,53260,18935,13924
2000-04-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,75039,12254,8681,123,44945,51583,17717,14652
2000-05-02,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80159,4110,16960,78,64261,42370,11710,20751
2000-05-09,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80715,1523,21199,57,68032,37991,11103,21468
2000-05-16,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82902,761,18143,349,69285,34520,12507,29890
2000-05-23,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79554,752,13931,34,63254,41599,15514,23990
2000-05-30,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,78630,763,13228,19,60433,42319,17415,23064
2000-06-06,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82045,1333,16143,9,54061,41169,26642,24724
2000-06-13,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,79632,1619,11557,0,67424,52127,10589,15948
2000-06-20,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,40067,818,8590,0,22595,16312,16654,15165
2000-06-27,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,46786,8251,6610,33,21732,25966,16770,14177
2000-07-05,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,48751,3823,9893,5,30035,20002,14888,18851
2000-07-11,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,52399,963,8752,5,40271,24513,11160,19129
2000-07-18,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,61744,641,15127,5,50288,21961,10810,24651
2000-07-25,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,69716,435,22664,25,58336,20722,10920,26305
2000-08-01,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,77862,1503,26502,25,64057,25073,12277,26262
2000-08-08,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,76872,471,27223,60,65854,25987,10487,23602
2000-08-15,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,82088,0,28804,50,70287,29203,11751,24031
2000-08-22,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,80631,140,28619,65,68875,28878,11551,23069
2000-08-29,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,77923,6943,19918,1153,52015,38251,17812,18601
2000-09-05,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,71820,5476,12578,1264,45378,41178,19702,16800
2000-09-12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,92390,14416,8082,9035,50447,56710,18492,18563
2000-09-19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,38431,3734,7566,0,22851,15713,11846,15152
2000-09-26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,43973,5306,9532,0,28815,14400,9852,20041
2000-10-03,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,54499,2244,16011,680,39774,13557,11801,24251
2000-10-10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,66105,977,31065,42,54026,12019,11060,22979
2000-10-17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,65298,965,30292,57,55031,10631,9245,24318
2000-10-24,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,65348,981,28792,27,53710,12067,10630,24462
2000-10-31,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,68898,1147,28226,15,57576,14207,10160,26450
2000-11-07,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,59077,615,24492,35,46917,17473,11510,17077
2000-11-14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,59507,1315,23885,15,46929,15224,11248,20383
2000-11-21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,77499,986,36058,15,66966,15544,9532,25882
2000-11-28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,77425,866,34196,15,65953,17140,10591,26074
2000-12-05,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,82427,853,33302,20,71383,18995,10171,30110
2000-12-12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,130047,110,41806,5405,113569,49976,10963,32860
2000-12-19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,87563,788,39021,450,78480,19707,7845,28385
2000-12-26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90803,1634,44254,0,80867,19456,8302,27093
2001-01-02,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,91258,1613,43032,6,81618,20802,8021,27418
2001-01-09,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,91091,1550,41688,24,80969,21214,8548,28165
2001-01-16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90061,1877,35747,687,76620,25613,10877,28014
2001-01-23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,91368,4611,33823,34,76864,29273,9859,28238
2001-01-30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,87420,1606,26806,33,73989,34112,11792,26469
2001-02-06,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,92632,1829,27865,289,77974,39078,12540,25400
2001-02-13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90964,1484,28958,44,77697,35840,11739,26122
2001-02-20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,89673,682,27742,44,78101,36748,10846,25139
2001-02-27,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,89216,849,28386,41,77052,35884,11274,24905
2001-03-06,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,98574,922,32429,165,86148,34559,11339,31421
2001-03-13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,123971,23034,41341,455,88319,49978,12163,32197
2001-03-20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,103349,36675,37256,0,57012,33016,9662,33077
2001-03-27,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,99717,33952,30465,0,54155,38713,11610,30539
2001-04-03,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,106688,34750,32999,0,60655,42649,11283,31040
2001-04-10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,105515,34121,32200,0,61076,41424,10318,31891
2001-04-17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90864,2292,27878,240,77384,32608,10948,30138
2001-04-24,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,87870,3775,27235,40,73978,37526,10077,23069
2001-05-01,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,86456,21103,26816,114,53583,37402,11656,22124
2001-05-08,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90252,26696,29615,379,52044,39857,11133,20401
2001-05-15,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,92328,26429,28744,219,55737,39129,9943,24236
2001-05-22,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97736,2531,29579,191,74319,33995,20695,33971
2001-05-29,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,87280,6661,16825,1141,65411,53133,14067,16181
2001-06-05,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,93638,16370,11107,1033,58896,64360,17339,17138
2001-06-12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97354,16507,13792,1801,61207,56349,17839,25412
2001-06-19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,56263,4703,20569,3,42787,11700,8770,23991
2001-06-26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,62444,2708,27294,20,49900,8559,9816,26571
2001-07-03,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,72009,2294,34674,16,59361,9138,10338,28181
2001-07-10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,95443,17020,41110,16,65964,23490,12443,30827
2001-07-17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,102545,26985,36939,16,63962,35182,11582,30408
2001-07-24,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100240,26014,27243,16,62095,43940,12115,29041
2001-07-31,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,105945,26464,30899,38,66721,46118,12722,28890
2001-08-07,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,105044,26803,25375,434,62004,52509,15803,26726
2001-08-14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,101855,26620,15062,950,62214,73864,12071,11979
2001-08-21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,109786,40409,9798,548,55646,93793,13183,5647
2001-08-28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,111974,40057,9877,547,45495,80293,25875,21257
2001-09-04,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,115883,40762,8251,550,45803,85594,28768,21488
2001-09-10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,112122,32713,9220,730,53113,74036,25566,28136
2001-09-18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,86678,37787,9348,47,30738,63788,18106,13495
2001-09-25,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,90169,39909,9544,48,29273,66812,20939,13765
2001-10-02,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,75174,22438,8929,70,38960,48884,13706,17291
2001-10-09,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,71605,20983,10715,81,37987,42434,12554,18375
2001-10-16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,74649,15409,16523,11,48699,33312,10530,24803
2001-10-23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,75643,3588,25372,14,63491,21453,8550,28804
2001-10-30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,81807,3817,31162,62,69796,21911,8132,28672
2001-11-06,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,91333,14379,28293,73,66183,36551,10698,26416
2001-11-13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,92819,19203,23434,54,62532,45595,11030,23736
2001-11-20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,102491,13491,32377,332,73580,36446,15088,33336
2001-11-27,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,109170,18647,40277,423,77600,37963,12500,30507
2001-12-04,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,119948,29792,38210,469,77539,50229,12148,31040
2001-12-11,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,153340,36798,41056,25,99520,71288,16997,40971
2001-12-18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,126848,37020,38955,745,82669,49620,6414,37528
2001-12-21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,129864,37531,41852,251,83084,53221,8998,34540
2001-12-28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,130768,39575,38709,660,80419,55998,10114,35401
2002-01-08,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,135340,38443,41973,8,84030,57190,12859,36169
2002-01-15,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,133175,36543,39146,76,83608,50279,12948,43674
2002-01-22,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,130458,27336,41737,5,85756,46246,17361,42470
2002-01-29,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,126984,31724,38067,129,83247,53404,11884,35384
2002-02-05,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,129271,31592,35608,651,85296,57277,11732,35735
2002-02-12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,115316,22996,30777,708,78664,51339,12948,32492
2002-02-19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,122120,23244,35576,724,83910,53367,14242,32453
2002-02-26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,127692,23130,42942,734,90724,51540,13104,32476
2002-03-05,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,104976,13717,27363,319,75362,47532,15578,29762
2002-03-12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,110848,20510,13612,133,68149,75511,22056,21592
2002-03-19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,71074,13812,14939,146,43504,38453,13612,17536
2002-03-26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,72383,12941,17301,25,48069,35276,11348,19781
2002-04-02,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,78204,14174,23431,25,56634,33165,7371,21583
2002-04-09,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,69913,7488,18329,303,52883,33984,9239,17297
2002-04-16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,71886,8644,17395,135,53539,34725,9568,19631
2002-04-23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,67954,12647,13373,278,41584,36436,13445,17867
2002-04-30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,82621,16757,11103,272,48250,51011,17342,20235
2002-05-07,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,84031,16872,10358,265,48007,56167,18887,17241
2002-05-14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,83322,14583,11769,297,52229,51578,16213,19678
2002-05-21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,95905,21800,7938,690,51295,68014,22120,19263
2002-05-28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,94948,20481,8307,595,51083,70296,22789,15750
2002-06-04,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97625,17715,9340,621,53113,71677,26176,15987
2002-06-11,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,105123,17774,11699,568,57985,67721,28796,25135
2002-06-18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,68634,19424,9955,44,28499,44060,20667,14575
2002-06-25,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,75487,21992,11383,44,28762,49893,24689,14167
2002-07-02,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,74473,19786,10740,51,29992,50095,24644,13587
2002-07-09,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,78069,20799,10599,27,30341,54898,26902,12545
2002-07-16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,78550,21661,10440,28,30212,54062,26649,14020
2002-07-23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,76478,20262,10399,2,31525,53781,24689,12296
2002-07-30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,73947,14452,10600,88,37369,48706,22038,14553
2002-08-06,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,71254,12340,11634,109,38603,44956,20202,14555
