exchange,symbol,timestamp,local_timestamp,id,side,price,amount
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357996,buy,792812,0.06096237
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357997,buy,792812,0.012
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357998,buy,792814,0.14
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489357999,buy,792828,0.0189
bitflyer,FX_BTC_JPY,1577836802813069,1577836803155887,1489358000,buy,792838,0.0411765
bitflyer,FX_BTC_JPY,1577836803236019,1577836803430634,1489358001,buy,792838,0.01
bitflyer,FX_BTC_JPY,1577836803425000,1577836803620020,1489358002,sell,792750,0.01
bitflyer,FX_BTC_JPY,1577836803425000,1577836803620020,1489358003,sell,792746,0.03
bitflyer,FX_BTC_JPY,1577836803425000,1577836803620020,1489358004,sell,792731,0.01
bitflyer,FX_BTC_JPY,1577836803425000,1577836803620020,1489358005,sell,792731,0.03
bitflyer,FX_BTC_JPY,1577836803787166,1577836804058152,1489358006,buy,792776,0.0157546
bitflyer,FX_BTC_JPY,1577836803787166,1577836804058152,1489358007,buy,792831,0.05
bitflyer,FX_BTC_JPY,1577836803787166,1577836804058152,1489358008,buy,792838,0.0188235
bitflyer,FX_BTC_JPY,1577836803787166,1577836804058152,1489358009,buy,792842,0.014
bitflyer,FX_BTC_JPY,1577836803787166,1577836804058152,1489358010,buy,792854,0.0014219
bitflyer,FX_BTC_JPY,1577836803819510,1577836804084791,1489358011,buy,792803,0.01
bitflyer,FX_BTC_JPY,1577836803945743,1577836804304392,1489358012,buy,792803,0.002
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358013,buy,792852,0.03
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358014,buy,792852,0.01
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358015,buy,792854,0.0385781
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358016,buy,792855,0.2
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358017,buy,792855,0.2
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358018,buy,792855,0.05
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358019,buy,792855,0.01
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358020,buy,792859,0.02
