走行,群,区分,h,n,平均bp,SE(平均),mfe平均,SE(mfe),mae平均,SE(mae),反転の割合,SE(反転の割合)
gap180_w8,全体,対照,240,13863,10.430725,1.006575,95.461038,0.925965,-79.875239,0.794636,0.462743,0.004235
gap180_w24,全体,清算,1,15143,-7.511675,0.089300,3.147319,0.036270,-11.495532,0.089699,0.781021,0.003361
gap180_w24,全体,清算,5,15143,-11.140078,0.165217,7.242824,0.088412,-22.163537,0.145909,0.738295,0.003572
gap180_w24,全体,清算,15,15143,-11.521947,0.289417,17.689160,0.231297,-33.154369,0.225877,0.673909,0.003809
gap180_w24,全体,清算,30,15143,-11.422755,0.399796,28.250480,0.351171,-42.823033,0.310640,0.648617,0.003880
gap180_w24,全体,清算,60,15142,-11.283710,0.564700,42.906203,0.528144,-56.327559,0.431146,0.630498,0.003922
gap180_w24,全体,清算,240,15141,-10.391812,1.019243,90.044608,0.974897,-100.774170,0.821928,0.580147,0.004011
gap180_w24,全体,対照,1,13974,-0.282127,0.058492,3.749167,0.039811,-4.024131,0.042720,0.502362,0.004230
gap180_w24,全体,対照,5,13974,-0.850127,0.114371,8.940185,0.079307,-9.892677,0.083970,0.527981,0.004223
gap180_w24,全体,対照,15,13974,-0.541428,0.239247,18.717262,0.188979,-19.255842,0.177985,0.518105,0.004227
gap180_w24,全体,対照,30,13973,-0.006302,0.357436,28.804304,0.297347,-28.411488,0.271330,0.510127,0.004229
gap180_w24,全体,対照,60,13973,1.476663,0.510750,43.656879,0.485919,-41.036488,0.400822,0.504688,0.004230
gap180_w24,全体,対照,240,13969,7.835434,0.993681,95.590348,0.944915,-82.869170,0.804832,0.482139,0.004228
