属性,群,h,n(清算),n(対照),平均bp(清算),平均bp(対照。距離でそろえた),差(距離でそろえた),SE(差),帯の最小n(清算),帯の最小n(対照)
bundle_width_ms,Q2(中位 3 分位),5,2103,1648,-9.206038,-0.440159,-8.765880,0.833637,210,38
bundle_width_ms,Q2(中位 3 分位),15,2103,1648,-9.906391,-0.644368,-9.262022,1.721568,210,38
bundle_width_ms,Q2(中位 3 分位),30,2103,1648,-10.230032,0.470019,-10.700050,2.328322,210,38
bundle_width_ms,Q2(中位 3 分位),60,2103,1648,-12.320256,1.380719,-13.700975,3.252734,210,38
bundle_width_ms,Q2(中位 3 分位),240,2102,1648,-14.612666,9.859836,-24.472502,5.958755,209,38
bundle_width_ms,Q3(上位 3 分位),1,7066,5551,-10.938404,-0.382434,-10.555970,0.221302,706,156
bundle_width_ms,Q3(上位 3 分位),5,7066,5551,-11.367789,-0.748015,-10.619774,0.470514,706,156
bundle_width_ms,Q3(上位 3 分位),15,7066,5551,-11.409456,0.023895,-11.433351,0.861398,706,156
bundle_width_ms,Q3(上位 3 分位),30,7066,5551,-10.652692,1.881148,-12.533840,1.240108,706,156
bundle_width_ms,Q3(上位 3 分位),60,7065,5551,-10.528303,4.866403,-15.394706,1.631891,705,156
bundle_width_ms,Q3(上位 3 分位),240,7065,5551,-12.679979,19.014256,-31.694235,3.070677,705,156
doi_pre_1h,Q1(下位 3 分位),1,5048,4101,-7.693227,-0.172815,-7.520413,0.238671,504,146
doi_pre_1h,Q1(下位 3 分位),5,5048,4101,-7.061662,-0.422684,-6.638978,0.557642,504,146
doi_pre_1h,Q1(下位 3 分位),15,5048,4101,-6.816035,1.024075,-7.840110,0.977466,504,146
doi_pre_1h,Q1(下位 3 分位),30,5048,4101,-6.626476,1.554044,-8.180520,1.474934,504,146
doi_pre_1h,Q1(下位 3 分位),60,5046,4101,-5.625196,5.296139,-10.921334,1.909705,502,146
doi_pre_1h,Q1(下位 3 分位),240,5045,4101,-4.480579,9.597218,-14.077797,3.447579,502,146
doi_pre_1h,Q2(中位 3 分位),1,5047,4910,-5.613808,-0.230194,-5.383615,0.167163,504,230
doi_pre_1h,Q2(中位 3 分位),5,5047,4910,-6.134329,-0.935833,-5.198496,0.355207,504,230
doi_pre_1h,Q2(中位 3 分位),15,5047,4910,-6.680251,-0.081073,-6.599178,0.647626,504,230
doi_pre_1h,Q2(中位 3 分位),30,5047,4909,-6.061191,1.483184,-7.544375,0.882695,504,230
doi_pre_1h,Q2(中位 3 分位),60,5047,4909,-6.373478,4.399690,-10.773167,1.279145,504,230
doi_pre_1h,Q2(中位 3 分位),240,5047,4907,-6.309364,12.987474,-19.296838,2.429887,504,230
doi_pre_1h,Q3(上位 3 分位),1,5048,4064,-6.946492,-0.309134,-6.637358,0.202887,504,163
doi_pre_1h,Q3(上位 3 分位),5,5048,4064,-7.615124,-0.970125,-6.644999,0.429887,504,163
doi_pre_1h,Q3(上位 3 分位),15,5048,4064,-8.132722,-0.715769,-7.416953,0.760432,504,163
doi_pre_1h,Q3(上位 3 分位),30,5048,4064,-7.189102,0.577219,-7.766321,1.057514,504,163
doi_pre_1h,Q3(上位 3 分位),60,5048,4064,-7.993750,2.905794,-10.899544,1.432407,504,163
doi_pre_1h,Q3(上位 3 分位),240,5048,4062,-10.865557,10.663456,-21.529013,2.633950,504,163
implied_leverage,Q1(下位 3 分位),1,4384,3099,-11.116685,-0.664462,-10.452224,0.339173,438,69
implied_leverage,Q1(下位 3 分位),5,4384,3099,-10.732545,-1.732622,-8.999923,0.756640,438,69
implied_leverage,Q1(下位 3 分位),15,4384,3099,-10.970687,-0.907613,-10.063074,1.487602,438,69
implied_leverage,Q1(下位 3 分位),30,4384,3099,-9.813223,0.911154,-10.724378,2.178879,438,69
implied_leverage,Q1(下位 3 分位),60,4384,3099,-9.533253,7.344382,-16.877635,3.000250,438,69
implied_leverage,Q1(下位 3 分位),240,4384,3099,-12.353879,25.447255,-37.801134,4.987017,438,69
implied_leverage,Q2(中位 3 分位),1,4383,3788,-6.170288,-0.490464,-5.679824,0.190178,438,167
implied_leverage,Q2(中位 3 分位),5,4383,3788,-6.489076,-1.331925,-5.157151,0.391524,438,167
implied_leverage,Q2(中位 3 分位),15,4383,3788,-6.746702,-0.061813,-6.684889,0.675190,438,167
implied_leverage,Q2(中位 3 分位),30,4383,3787,-6.183289,1.074041,-7.257330,0.970671,438,167
implied_leverage,Q2(中位 3 分位),60,4381,3787,-5.029519,4.695960,-9.725478,1.337836,437,167
implied_leverage,Q2(中位 3 分位),240,4380,3785,-2.892995,12.882158,-15.775153,2.575260,437,167
implied_leverage,Q3(上位 3 分位),1,4384,4325,-3.615110,-0.061794,-3.553316,0.152770,438,298
implied_leverage,Q3(上位 3 分位),5,4384,4325,-4.122119,-0.439663,-3.682456,0.331496,438,298
implied_leverage,Q3(上位 3 分位),15,4384,4325,-4.575437,0.022535,-4.597972,0.585876,438,298
implied_leverage,Q3(上位 3 分位),30,4384,4325,-4.038104,0.864345,-4.902450,0.820683,438,298
implied_leverage,Q3(上位 3 分位),60,4384,4325,-5.221165,3.114258,-8.335423,1.131025,438,298
implied_leverage,Q3(上位 3 分位),240,4384,4323,-5.376509,5.241550,-10.618059,2.295988,438,298
side,SELL,1,12097,10643,-7.807470,-0.355477,-7.451993,0.138930,1209,405
side,SELL,5,12097,10643,-7.863894,-0.776629,-7.087265,0.304458,1209,405
side,SELL,15,12097,10643,-8.528049,-0.140536,-8.387513,0.541089,1209,405
side,SELL,30,12097,10642,-8.169543,0.681462,-8.851005,0.760720,1209,405
side,SELL,60,12095,10642,-8.642097,4.178399,-12.820496,1.058365,1208,405
side,SELL,240,12094,10639,-13.634867,15.071983,-28.706850,1.966738,1207,405
side,BUY,1,9101,7556,-5.461729,-0.272506,-5.189223,0.155473,910,234
side,BUY,5,9101,7556,-6.016159,-0.795630,-5.220528,0.337686,910,234
side,BUY,15,9101,7556,-5.971769,-0.047399,-5.924370,0.631489,910,234
side,BUY,30,9101,7556,-5.348185,1.718576,-7.066761,0.932465,910,234
side,BUY,60,9101,7556,-5.260310,3.453471,-8.713781,1.266714,910,234
side,BUY,240,9101,7555,0.836067,5.621989,-4.785922,2.401707,910,234
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,1,3894,4363,-5.993044,-0.332290,-5.660754,0.227376,389,152
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,5,3894,4363,-5.936736,-0.501704,-5.435032,0.471280,389,152
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,15,3894,4363,-5.998690,0.453451,-6.452141,0.847153,389,152
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,30,3894,4363,-5.257355,1.795043,-7.052398,1.219845,389,152
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,60,3894,4363,-4.505951,3.632285,-8.138235,1.713469,389,152
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,240,3894,4363,-7.513898,10.058543,-17.572442,3.573053,389,152
