date,funding_3d_mean,premium_1d,ls_ratio,toptrader_ls,tone_7d_mean,ret_28d,close
2023-05-19,6.581e-05,-0.00044256,1.9558709992711836,1.2287707097777774,0.5133714285714286,-0.013334269632055059,26893.0
2023-05-20,5.1406666666666664e-05,-0.00056923,1.923212271761265,1.2200945180565983,0.5256285714285714,-0.025560264298399284,27115.0
2023-05-21,3.8925555555555557e-05,-0.00053361,1.8270853267032576,1.2343330662625,0.5094000000000001,-0.03113636134184675,26750.0
2023-05-22,3.558555555555556e-05,-0.00030524,1.9975117996741483,1.228886871532639,0.5973428571428572,-0.024133013452231244,26856.0
2023-05-23,6.123111111111111e-05,-0.00038854,1.4324397964767561,1.2696504601291665,0.6085,-0.03868940555891056,27226.0
2023-05-24,6.047555555555555e-05,-0.00051711,2.2760607693174513,1.233478227786806,0.5899142857142856,-0.07685551694460954,26325.0
2023-05-25,8.027666666666668e-05,-0.00045863,2.3545261475466273,1.2031674753347215,0.5568285714285715,-0.10756745993700229,26478.0
2023-05-26,7.420555555555555e-05,-0.00059669,1.9020535757256616,1.2407499038427074,0.6136428571428573,-0.09337566654154618,26718.0
2023-05-27,8.158666666666667e-05,-0.00043303,1.6615503768477606,1.2573703818857647,0.5935428571428571,-0.0846921520052525,26872.0
2023-05-28,8.609777777777777e-05,-0.00036915,1.32778349715806,1.2435799318854166,0.6084285714285713,-0.04059398334671986,28072.0
2023-05-29,9.216888888888889e-05,-0.00052072,1.1533594982596898,1.3613107724458322,0.6395142857142856,-0.011822162480762548,27749.0
2023-05-30,8.773777777777779e-05,-0.00050733,1.3985086837192717,1.2954860382875002,0.6253142857142856,-0.03455101949573235,27706.0
2023-05-31,7.128555555555556e-05,-0.00035913,1.9155950339322168,1.2660122064590273,0.6566714285714286,-0.06451785521258085,27219.0
2023-06-01,6.210444444444445e-05,-0.00039678,2.392107523096929,1.2791175622774296,0.6911857142857143,-0.0727730879185559,26826.0
2023-06-02,6.754666666666666e-05,-0.00049396,2.241188133425696,1.265801949392708,0.7197714285714286,-0.08089199817204296,27251.0
2023-06-03,7.633888888888889e-05,-0.00053932,1.998030672527322,1.2902932398333329,0.7083,-0.06557441889089886,27076.0
2023-06-04,7.979777777777778e-05,-0.00049699,1.9431023225837665,1.2872088590350699,0.6782714285714286,-0.04846533634726797,27125.0
2023-06-05,8.358888888888889e-05,-0.00043876,2.483992419268904,1.2789072887767368,0.45811428571428575,-0.07306398580842217,25739.0
2023-06-06,5.147555555555555e-05,-0.00037066,2.673210478170729,1.2195810106406242,0.3051428571428571,-0.015086100347623548,27236.0
2023-06-07,5.053666666666667e-05,-0.00057054,1.6699375944960115,1.3372220345694452,0.22038571428571427,-0.04707536328471285,26348.0
2023-06-08,3.410444444444445e-05,-0.00051923,2.1090216432650943,1.285468091495139,0.18557142857142855,-0.017981456802157198,26510.0
2023-06-09,6.168666666666666e-05,-0.00042456,1.9590310975012326,1.30318068675625,0.05292857142857145,-0.01227147400476497,26484.0
2023-06-10,5.1651111111111106e-05,-0.00054982,2.54941652345726,1.2661022457513886,-0.026414285714285713,-0.0354099981655066,25857.0
2023-06-11,5.2725555555555546e-05,-0.00062475,2.616181559714432,1.2351023187878474,-0.011857142857142835,-0.037527571898327096,25941.0
2023-06-12,4.8771111111111114e-05,-0.00039432,2.3173257338940125,1.2372899112934024,0.1103,-0.04749158929223477,25906.0
2023-06-13,5.7337777777777774e-05,-0.00048551,2.184624001755809,1.2422811483309024,0.2932571428571428,-0.04165144914746326,25934.0
2023-06-14,5.205222222222222e-05,-0.00055313,2.3306399768367196,1.233124079793403,0.3209714285714286,-0.08674602293943334,25127.0
2023-06-15,4.5681111111111114e-05,-0.00039738,3.010398726459723,1.1865034042506943,0.3283571428571429,-0.04753619644617058,25573.0
2023-06-16,2.6019999999999998e-05,-0.00037812,1.9408516851691746,1.2191893864333332,0.4427714285714286,-0.02104312420462627,26333.0
2023-06-17,4.668222222222222e-05,-0.00029701,1.3276472269945723,1.2774228822538194,0.5515,-0.022678231239169084,26507.0
2023-06-18,5.6714444444444456e-05,-0.00043774,1.3594515999979326,1.2703107311208348,0.5563857142857143,-0.015445777026880533,26340.0
2023-06-19,7.020222222222222e-05,-0.00059167,1.3353257849362619,1.2570496216201386,0.6486714285714285,-0.0005214347021196572,26842.0
2023-06-20,4.1195555555555553e-05,-0.00046825,1.0756086219548922,1.2436565449881942,0.6778857142857142,0.039219300475487016,28315.0
2023-06-21,4.142e-05,-0.00019054,0.8104672933958904,1.3116239257836815,0.7283571428571429,0.13097827865111425,30009.0
2023-06-22,5.487444444444445e-05,-0.00030044,0.7849603875507619,1.3873403249017364,0.730857142857143,0.12117632021536381,29889.0
2023-06-23,8.675777777777777e-05,-0.0003322,0.7585574327729543,1.423732267902084,0.6991142857142858,0.13944619590067675,30716.0
2023-06-24,9.915111111111112e-05,-0.00015928,0.8230296438915712,1.4323398380652776,0.6880714285714286,0.12821436471614606,30548.0
2023-06-25,0.0001,-0.00028897,0.8714980326518117,1.4170142308347224,0.6914,0.08219966249660367,30477.0
2023-06-26,0.0001,-0.00017393,0.967642903776754,1.4271300282437505,0.6708142857142858,0.08708945483327946,30274.0
2023-06-27,0.0001,-0.0001594,0.9535460633723398,1.4444375622364576,0.6451,0.10248335670896402,30696.0
2023-06-28,9.322222222222223e-05,-0.00031602,1.0298979165309545,1.4386741313954856,0.6427714285714285,0.09991199499256982,30079.0
2023-06-29,8.863777777777777e-05,-0.00029485,0.9899565433439788,1.4220404984111106,0.6892714285714285,0.12651736392524654,30444.0
2023-06-30,8.863777777777777e-05,-0.00038468,0.9903232230367949,1.4629508356510406,0.7484142857142857,0.11161955560903185,30469.0
2023-07-01,9.541555555555556e-05,-0.00043431,1.0489695419297542,1.502647036605555,0.759857142857143,0.12209081022262962,30592.0
2023-07-02,0.0001,-2.827e-05,0.9872564006415809,1.5254257674395841,0.7809714285714285,0.12106693626277748,30616.0
2023-07-03,0.0001,-0.00031259,0.886862404160373,1.5046156681663183,0.7640714285714285,0.19106368271578866,31158.0
2023-07-04,0.0001,-0.00031551,0.8140018231628973,1.4780031140479173,0.7894571428571429,0.12203306037266348,30771.0
2023-07-05,0.0001,-0.0004655,1.0187067262575922,1.4678380055934037,0.7965571428571429,0.1463670991826871,30501.0
2023-07-06,8.801333333333333e-05,-0.00065396,1.1051165608305995,1.4604606462208336,0.8162142857142857,0.12073771737387846,29912.0
2023-07-07,5.941444444444445e-05,-0.00054083,1.364360151039888,1.4023470959364586,0.7934142857142857,0.1361898404132288,30348.0
2023-07-08,3.505222222222223e-05,-0.0005578,1.2982794874482846,1.4208376315371534,0.8070285714285715,0.1583353053896937,30293.0
2023-07-09,3.446222222222222e-05,-0.0005212,1.264801727257761,1.427001925521528,0.8032285714285715,0.150923883054077,30167.0
2023-07-10,3.6020000000000004e-05,-0.00051561,1.311600097222222,1.4052490940277775,0.8474571428571428,0.16065855729256984,30421.0
2023-07-11,4.952555555555556e-05,-0.00036273,1.0403262717708333,1.4139860238194446,0.8358857142857142,0.1661311989627785,30621.0
2023-07-12,4.8957777777777776e-05,-0.00051917,1.0132768548958326,1.4135713348958328,0.8116142857142857,0.1899073625842517,30382.0
2023-07-13,4.8792222222222215e-05,-0.00048436,1.088772630451389,1.3717962519097224,0.7521428571428572,0.20752937945506392,31471.0
2023-07-14,5.964888888888889e-05,-0.0006069,0.9544790951388884,1.3896537351041656,0.7176571428571429,0.14134738632213809,30331.0
2023-07-15,3.799111111111111e-05,-0.0004359,1.614317941840279,1.2818845582986098,0.6825857142857142,0.13377186621720175,30301.0
2023-07-16,4.780666666666667e-05,-0.00047808,1.599937955833333,1.2914856914930546,0.6812571428571428,0.13850665679806273,30253.0
2023-07-17,3.15e-05,-0.00043494,1.6746562241319447,1.2764898339583335,0.6582,0.11634975938111264,30154.0
2023-07-18,5.325555555555556e-05,-0.00045911,1.8141430715277787,1.2395700819444446,0.6353571428571428,0.05339597360768697,29868.0
2023-07-19,6.277333333333334e-05,-0.00044681,1.8315764715624994,1.2368642113194452,0.6872285714285714,-0.003003606583312747,29919.0
2023-07-20,6.558666666666667e-05,-0.00041913,1.8304274579513893,1.2265462637847213,0.7112857142857143,-0.0027808042042279015,29806.0
2023-07-21,5.349e-05,-0.00032373,1.9811373214236099,1.212053474340276,0.702,-0.02665768833062797,29908.0
2023-07-22,3.1714444444444445e-05,-0.00013434,1.787885397430556,1.2218600420833334,0.692742857142857,-0.025160019175889118,29789.0
2023-07-23,3.663e-05,-0.00041292,1.7005035364236112,1.262704538472222,0.6759571428571428,-0.012945592105202566,30085.0
2023-07-24,5.5482222222222233e-05,-0.00046642,1.9725266592708328,1.2682712623263899,0.6579857142857143,-0.036908530674993126,29177.0
