cascade_id,exchange,kind,start_ms,start_utc,end_ms,end_utc,n_events,total_size,direction,first_price,last_price,anchor_ts_ms,anchor_price,bp_1m,bp_5m,bp_15m,bp_60m,group,internal_bp
binance_cm_no_liq_002515,binance_cm,no_liquidation,1721240666132,2024-07-17T18:24:26.132Z,1721240688231,2024-07-17T18:24:48.231Z,0,0.0,none,,,1721240640000,64444.3,4.468975533910002,7.727603527386539,11.420715253327065,28.13282167701343,noliq_long,0.0
binance_cm_no_liq_002516,binance_cm,no_liquidation,1728288032065,2024-10-07T08:00:32.065Z,1728288073025,2024-10-07T08:01:13.025Z,0,0.0,none,,,1728288060000,63511.9,6.4712282265211,13.39906379749284,12.989691695572011,-3.4324276238000926,noliq_long,-1.3224118903722835
binance_cm_no_liq_002517,binance_cm,no_liquidation,1720167805487,2024-07-05T08:23:25.487Z,1720167814548,2024-07-05T08:23:34.548Z,0,0.0,none,,,1720167780000,54192.2,9.558571159687725,28.509637918372018,-2.620303290878962,7.565664431412639,noliq_long,0.0
binance_cm_no_liq_002518,binance_cm,no_liquidation,1722677566818,2024-08-03T09:32:46.818Z,1722677566819,2024-08-03T09:32:46.819Z,0,0.0,none,,,1722677520000,61476.7,7.027052525591707,14.493295834032377,11.044834872399047,28.95405901748142,noliq_long,0.0
binance_cm_no_liq_002519,binance_cm,no_liquidation,1728026164930,2024-10-04T07:16:04.930Z,1728026202881,2024-10-04T07:16:42.881Z,0,0.0,none,,,1728026160000,61201.1,-0.8823370821768652,-2.548973792954464,7.826656710418842,20.457148646021782,noliq_long,0.0
binance_cm_no_liq_002520,binance_cm,no_liquidation,1728308144901,2024-10-07T13:35:44.901Z,1728308150897,2024-10-07T13:35:50.897Z,0,0.0,none,,,1728308100000,62961.1,-5.066620500595043,22.71243672680433,85.2907588971603,185.84491058764834,noliq_long,0.0
binance_cm_no_liq_002521,binance_cm,no_liquidation,1723060453286,2024-08-07T19:54:13.286Z,1723060538349,2024-08-07T19:55:38.349Z,0,0.0,none,,,1723060500000,54733.6,-4.640659485215928,13.921978455647785,-1.388543782977649,36.083868044491865,noliq_long,-4.839289920946091
binance_cm_no_liq_002522,binance_cm,no_liquidation,1719067133064,2024-06-22T14:38:53.064Z,1719067179061,2024-06-22T14:39:39.061Z,0,0.0,none,,,1719067140000,64278.6,0.0,0.8400929702889384,-6.347369108847367,-9.132121732582398,noliq_long,0.0
binance_cm_no_liq_002523,binance_cm,no_liquidation,1726554710299,2024-09-17T06:31:50.299Z,1726554729277,2024-09-17T06:32:09.277Z,0,0.0,none,,,1726554720000,58464.6,-1.7788542126349032,9.356088983761861,7.166729952826404,21.739651002486724,noliq_long,1.471192007663635
binance_cm_no_liq_002524,binance_cm,no_liquidation,1724742109744,2024-08-27T07:01:49.744Z,1724742329723,2024-08-27T07:05:29.723Z,0,0.0,none,,,1724742300000,62778.2,3.472543016525308,6.037127537903517,3.998203197926322,25.900710756282567,noliq_long,0.9399050218000901
binance_cm_no_liq_002525,binance_cm,no_liquidation,1725706622339,2024-09-07T10:57:02.339Z,1725706682280,2024-09-07T10:58:02.280Z,0,0.0,none,,,1725706680000,54313.1,-1.8043529093341448,-2.9642940653357193,9.97917629448593,-1.8227646737161856,noliq_long,-0.25775805724096795
binance_cm_no_liq_002526,binance_cm,no_liquidation,1724499263249,2024-08-24T11:34:23.249Z,1724499263250,2024-08-24T11:34:23.250Z,0,0.0,none,,,1724499240000,64121.4,9.80951757135706,0.17154959186769858,-10.682860948138998,4.148381039715063,noliq_long,0.0
