t_send,t_recv,rtt_ms,endpoint,http_status,ws_lag_ms,ws_note
1789416052.8392339,1789416052.914086,74.85222816467285,public:getticker,200,59997.541427612305,unchanged
1789416052.9141035,1789416053.0901568,176.05328559875488,private:getpermissions,200,59997.541427612305,unchanged
1789416082.839558,1789416082.8542597,14.70184326171875,public:getticker,200,30065.560340881348,ok
1789416082.854276,1789416082.8926463,38.370370864868164,private:getpermissions,200,30065.560340881348,ok
1789416112.8407934,1789416112.8565392,15.745878219604492,public:getticker,200,60072.03149795532,unchanged
1789416112.8565536,1789416112.8991191,42.56558418273926,private:getpermissions,200,60072.03149795532,unchanged
1789416142.8417664,1789416142.8584647,16.698360443115234,public:getticker,200,29945.223331451416,ok
1789416142.8584812,1789416142.9276798,69.1986083984375,private:getpermissions,200,29945.223331451416,ok
1789416172.8438444,1789416172.8617659,17.92144775390625,public:getticker,200,59919.65627670288,unchanged
1789416172.8617816,1789416172.902113,40.331363677978516,private:getpermissions,200,59919.65627670288,unchanged
1789416202.8439393,1789416202.8795526,35.613298416137695,public:getticker,200,27553.614377975464,ok
1789416202.8795927,1789416202.937984,58.39133262634277,private:getpermissions,200,27553.614377975464,ok
1789416232.846394,1789416232.866123,19.728899002075195,public:getticker,200,57546.23770713806,unchanged
1789416232.8661385,1789416232.9306095,64.47100639343262,private:getpermissions,200,57546.23770713806,unchanged
1789416262.846694,1789416262.861697,15.002965927124023,public:getticker,200,27025.86579322815,ok
1789416262.861713,1789416262.901388,39.674997329711914,private:getpermissions,200,27025.86579322815,ok
1789416292.8493724,1789416293.493862,644.4895267486572,public:getticker,200,57659.88802909851,unchanged
1789416293.4938793,1789416293.5354106,41.53132438659668,private:getpermissions,200,57659.88802909851,unchanged
1789416322.8484516,1789416322.8637578,15.306234359741211,public:getticker,200,27429.309844970703,ok
1789416322.8637743,1789416322.9174283,53.65395545959473,private:getpermissions,200,27429.309844970703,ok
1789416352.8487155,1789416352.8880978,39.382219314575195,public:getticker,200,57438.199043273926,unchanged
1789416352.8881135,1789416352.926318,38.20443153381348,private:getpermissions,200,57438.199043273926,unchanged
1789416382.8494477,1789416382.8653004,15.852689743041992,public:getticker,200,29477.68497467041,ok
1789416382.8653307,1789416382.924116,58.785200119018555,private:getpermissions,200,29477.68497467041,ok
1789416412.8507128,1789416412.8734603,22.747516632080078,public:getticker,200,59475.717544555664,unchanged
1789416412.8734765,1789416412.9221473,48.67076873779297,private:getpermissions,200,59475.717544555664,unchanged
1789416442.8512132,1789416442.8933475,42.13428497314453,public:getticker,200,26913.882970809937,ok
1789416442.893365,1789416442.9428346,49.469709396362305,private:getpermissions,200,26913.882970809937,ok
1789416472.8516774,1789416472.8686182,16.940832138061523,public:getticker,200,56880.236864089966,unchanged
1789416472.8686335,1789416472.9091887,40.55523872375488,private:getpermissions,200,56880.236864089966,unchanged
1789416502.852104,1789416502.887792,35.688161849975586,public:getticker,200,26692.85535812378,ok
1789416502.887808,1789416502.9339483,46.140193939208984,private:getpermissions,200,26692.85535812378,ok
1789416532.8524573,1789416532.8679245,15.467166900634766,public:getticker,200,56688.48204612732,unchanged
1789416532.8679414,1789416532.9295757,61.63430213928223,private:getpermissions,200,56688.48204612732,unchanged
1789416562.8527622,1789416562.8715067,18.744468688964844,public:getticker,200,27776.485681533813,ok
1789416562.8715239,1789416564.3371787,1465.6548500061035,private:getpermissions,200,27776.485681533813,ok
1789416592.8532503,1789416595.7332134,2879.963159561157,public:getticker,200,59228.55019569397,unchanged
1789416595.7332299,1789416595.7892659,56.03599548339844,private:getpermissions,200,59228.55019569397,unchanged
1789416622.8544245,1789416622.8951826,40.75813293457031,public:getticker,200,26332.33642578125,ok
1789416622.8952012,1789416622.951526,56.32472038269043,private:getpermissions,200,26332.33642578125,ok
1789416652.85492,1789416652.9097483,54.82840538024902,public:getticker,200,56335.44039726257,unchanged
1789416652.9097648,1789416652.95463,44.86513137817383,private:getpermissions,200,56335.44039726257,unchanged
1789416682.857417,1789416682.8762975,18.880367279052734,public:getticker,200,26438.392877578735,ok
1789416682.876314,1789416682.9158235,39.50953483581543,private:getpermissions,200,26438.392877578735,ok
1789416712.858535,1789416712.8747675,16.23249053955078,public:getticker,200,56440.15407562256,unchanged
1789416712.874785,1789416712.9175794,42.79446601867676,private:getpermissions,200,56440.15407562256,unchanged
1789416742.8595827,1789416742.878947,19.364356994628906,public:getticker,200,25733.107089996338,ok
1789416742.8789642,1789416742.9199393,40.975093841552734,private:getpermissions,200,25733.107089996338,ok
1789416772.8598478,1789416772.8753123,15.464544296264648,public:getticker,200,55734.23528671265,unchanged
1789416772.8753288,1789416772.9210682,45.73941230773926,private:getpermissions,200,55734.23528671265,unchanged
1789416802.8635817,1789416802.9127727,49.19099807739258,public:getticker,200,21667.441606521606,ok
1789416802.912789,1789416802.9626763,49.88718032836914,private:getpermissions,200,21667.441606521606,ok
1789416832.864211,1789416835.0415518,2177.3407459259033,public:getticker,200,55380.035161972046,unchanged
1789416835.0415678,1789416836.6752703,1633.7025165557861,private:getpermissions,200,55380.035161972046,unchanged
1789416862.8645988,1789416862.8848906,20.291805267333984,public:getticker,200,21759.660482406616,ok
1789416862.8849068,1789416862.9342084,49.3016242980957,private:getpermissions,200,21759.660482406616,ok
1789416892.8652365,1789416892.8803976,15.16103744506836,public:getticker,200,51758.49938392639,unchanged
1789416892.8804138,1789416892.9330485,52.63471603393555,private:getpermissions,200,51758.49938392639,unchanged
1789416922.8686676,1789416922.8883593,19.69170570373535,public:getticker,200,15640.668392181396,ok
1789416922.8883758,1789416922.9389095,50.53377151489258,private:getpermissions,200,15640.668392181396,ok
1789416952.868958,1789416952.8839421,14.984130859375,public:getticker,200,45630.93423843384,unchanged
1789416952.8839579,1789416952.929175,45.217037200927734,private:getpermissions,200,45630.93423843384,unchanged
1789416982.8721027,1789416982.9042902,32.187461853027344,public:getticker,200,15885.477542877197,ok
1789416982.9043088,1789416982.9720795,67.77071952819824,private:getpermissions,200,15885.477542877197,ok
1789417012.8723857,1789417012.8849335,12.547731399536133,public:getticker,200,45843.4841632843,unchanged
1789417012.8849485,1789417012.9300869,45.13835906982422,private:getpermissions,200,45843.4841632843,unchanged
1789417042.8730452,1789417042.9495118,76.46656036376953,public:getticker,200,15753.405094146729,ok
1789417042.9495292,1789417043.006846,57.31678009033203,private:getpermissions,200,15753.405094146729,ok
1789417072.8732805,1789417072.8885696,15.289068222045898,public:getticker,200,45674.933433532715,unchanged
1789417072.8885875,1789417072.928377,39.789438247680664,private:getpermissions,200,45674.933433532715,unchanged
1789417102.8745916,1789417102.9129596,38.36798667907715,public:getticker,200,15187.925815582275,ok
1789417102.9129755,1789417102.9598649,46.889305114746094,private:getpermissions,200,15187.925815582275,ok
1789417132.8748317,1789417132.918348,43.51639747619629,public:getticker,200,45197.49116897583,unchanged
1789417132.9183674,1789417132.9694316,51.064252853393555,private:getpermissions,200,45197.49116897583,unchanged
1789417162.8766994,1789417162.9108737,34.174203872680664,public:getticker,200,15145.427227020264,ok
1789417162.91089,1789417162.9681203,57.230234146118164,private:getpermissions,200,15145.427227020264,ok
1789417192.8770833,1789417192.949759,72.67570495605469,public:getticker,200,45181.065797805786,unchanged
1789417192.9497766,1789417193.0037575,53.98082733154297,private:getpermissions,200,45181.065797805786,unchanged
1789417222.880283,1789417222.8981655,17.882347106933594,public:getticker,200,15038.288831710815,ok
1789417222.8981838,1789417222.9498026,51.61881446838379,private:getpermissions,200,15038.288831710815,ok
1789417252.880414,1789417252.9091122,28.698205947875977,public:getticker,200,45046.12970352173,unchanged
1789417252.9091284,1789417252.9576433,48.51484298706055,private:getpermissions,200,45046.12970352173,unchanged
1789417282.8819392,1789417282.8998895,17.95029640197754,public:getticker,200,14660.9947681427,ok
1789417282.8999093,1789417282.942177,42.267799377441406,private:getpermissions,200,14660.9947681427,ok
1789417312.882795,1789417312.898516,15.720844268798828,public:getticker,200,44663.43402862549,unchanged
1789417312.898533,1789417312.9446154,46.082258224487305,private:getpermissions,200,44663.43402862549,unchanged
1789417342.8846533,1789417342.902194,17.540693283081055,public:getticker,200,14843.41025352478,ok
1789417342.9022212,1789417342.9586313,56.41007423400879,private:getpermissions,200,14843.41025352478,ok
1789417372.8852067,1789417372.9284863,43.27964782714844,public:getticker,200,44855.17764091492,unchanged
1789417372.9285097,1789417372.9703987,41.88895225524902,private:getpermissions,200,44855.17764091492,unchanged
1789417402.887014,1789417402.9039195,16.905546188354492,public:getticker,200,14716.958284378052,ok
1789417402.903936,1789417402.955915,51.97906494140625,private:getpermissions,200,14716.958284378052,ok
1789417432.8873374,1789417432.9167175,29.380083084106445,public:getticker,200,44719.911336898804,unchanged
1789417432.916734,1789417432.9588683,42.13428497314453,private:getpermissions,200,44719.911336898804,unchanged
1789417462.8894181,1789417462.9069424,17.524242401123047,public:getticker,200,14564.707517623901,ok
1789417462.906961,1789417462.956521,49.5600700378418,private:getpermissions,200,14564.707517623901,ok
1789417492.8890576,1789417492.9947643,105.70669174194336,public:getticker,200,44649.044036865234,unchanged
1789417492.9947808,1789417493.0408578,46.07701301574707,private:getpermissions,200,44649.044036865234,unchanged
1789417522.8916616,1789417522.9274359,35.77423095703125,public:getticker,200,14616.42336845398,ok
1789417522.9274547,1789417522.9781199,50.66514015197754,private:getpermissions,200,14616.42336845398,ok
1789417552.8924131,1789417552.9072669,14.853715896606445,public:getticker,200,44585.586071014404,unchanged
1789417552.9072835,1789417552.9472818,39.99829292297363,private:getpermissions,200,44585.586071014404,unchanged
1789417582.8938606,1789417582.9117825,17.921924591064453,public:getticker,200,14467.363834381104,ok
