scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-5-tier1	C2-5	能力	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9995.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9995.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-5-tier2	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 2 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 2 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-5-tier3	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 3 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 3 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-5-tier4	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 4 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 4 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-5-tier5	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-5-queue-value	C2-5	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-5-tier6	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 市場影響 linear_temporary を渡す口が無い(この道具の影響は slippage_volume_k x 数量 / 足の出来高 の一時的な滑りだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 市場影響 linear_temporary を渡す口が無い(この道具の影響は slippage_volume_k x 数量 / 足の出来高 の一時的な滑りだけ)	-	結果なし	0.0	0.0
c2-6-none	C2-6	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-6-discount-at-entry	C2-6	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-6-snapshot-cap	C2-6	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-6-l3	C2-6	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 事象 l3_add を渡す口が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 事象 l3_add を渡す口が無い	-	結果なし	0.0	0.0
c2-6-prob	C2-6	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-6-prob-power2	C2-6	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 5 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
c2-7-walk	C2-7	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	0.0	0.0
c2-7-walk-exhaust	C2-7	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	0.0	0.0
