属性,群,下限,上限,h(秒),f > 1 の割合,f が有限な n,r_pre 平均(bp),日クラスタ SE,n,含む日数,属性が欠測で群に入らない束の割合
sweep_bp,Q1(下位 3 分位),,0.200939,300,0.616277,4743,-4.327316,0.302485,4743,443,0.328757
sweep_bp,Q2(中位 3 分位),0.200939,8.076017,300,0.576428,4743,-2.869274,0.335572,4743,447,0.328757
sweep_bp,Q3(上位 3 分位),8.076017,,300,0.369386,4743,11.729353,0.577932,4743,430,0.328757
|dist_vwap_bp|,Q1(下位 3 分位),,43.884500,900,0.536061,4229,-0.868685,0.442250,7066,456,0.000000
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,900,0.538559,4733,-0.270322,0.570208,7066,437,0.000000
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,,900,0.540725,5267,-1.117173,0.954042,7066,342,0.000000
|dist_node_bp|,Q1(下位 3 分位),,25.870067,900,0.522235,4295,-1.037515,0.522437,7066,453,0.000000
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,900,0.556721,4672,-1.752370,0.553927,7066,454,0.000000
|dist_node_bp|,Q3(上位 3 分位),60.772800,,900,0.535918,5262,0.533705,0.951033,7066,409,0.000000
bin_pct,Q1(下位 3 分位),,16.666700,900,0.563375,5286,-1.524334,0.713465,7150,454,0.000000
bin_pct,Q2(中位 3 分位),16.666700,55.882400,900,0.530223,4566,-0.422802,0.622823,6986,449,0.000000
bin_pct,Q3(上位 3 分位),55.882400,,900,0.517478,4377,-0.295877,0.516503,7062,433,0.000000
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,900,0.603116,5649,-4.641058,0.344461,12029,455,0.000000
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,900,0.547009,3393,-1.048481,0.798280,3906,443,0.000000
bundle_n_events_dedup,Q3(上位 3 分位),2.000000,,900,0.462888,5187,8.356544,0.986474,5263,438,0.000000
bundle_total_notional,Q1(下位 3 分位),,775945.066667,900,0.583448,3649,-3.097245,0.478005,7066,452,0.000000
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,900,0.559483,4640,-3.258256,0.503729,7066,449,0.000000
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,900,0.494781,5940,4.099321,0.753775,7066,438,0.000000
bundle_width_ms,Q1(下位 3 分位),,0.000000,900,0.603116,5649,-4.641058,0.344461,12029,455,0.000000
bundle_width_ms,Q2(中位 3 分位),0.000000,7036.333333,900,0.591320,1659,-5.973081,1.086416,2103,423,0.000000
bundle_width_ms,Q3(上位 3 分位),7036.333333,,900,0.473342,6921,7.422377,0.856367,7066,443,0.000000
doi_pre_1h,Q1(下位 3 分位),,-14472.333333,900,0.532059,3400,0.414670,0.930343,5048,335,0.285640
doi_pre_1h,Q2(中位 3 分位),-14472.333333,13713.333333,900,0.540709,3218,-1.152330,0.661743,5047,357,0.285640
doi_pre_1h,Q3(上位 3 分位),13713.333333,,900,0.549708,3420,-1.594057,0.890894,5048,341,0.285640
implied_leverage,Q1(下位 3 分位),,75.097333,900,0.551126,3286,-0.696809,1.283731,4384,273,0.379611
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,900,0.547880,2924,-1.014247,0.626663,4383,347,0.379611
implied_leverage,Q3(上位 3 分位),126.459633,,900,0.542901,2599,-0.830940,0.525750,4384,357,0.379611
side,SELL,,,900,0.544515,8132,-1.326327,0.541380,12097,452,0.000000
side,BUY,,,900,0.530753,6097,0.011253,0.654687,9101,453,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,0.000000,6.000000,900,0.545957,2535,0.398996,1.029739,3894,430,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,6.000000,12.000000,900,0.555556,2646,-0.136406,1.013684,4076,425,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,12.000000,18.000000,900,0.527660,5441,-1.734035,0.657185,7915,445,0.000000
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,18.000000,24.000000,900,0.537566,3607,-0.605115,0.867267,5313,444,0.000000
sweep_bp,Q1(下位 3 分位),,0.200939,900,0.611638,4743,-5.409806,0.602986,4743,443,0.328757
sweep_bp,Q2(中位 3 分位),0.200939,8.076017,900,0.567573,4743,-2.753981,0.644231,4743,447,0.328757
sweep_bp,Q3(上位 3 分位),8.076017,,900,0.436643,4743,11.304848,1.105980,4743,430,0.328757
