gap(秒),h(秒),群,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,r_end 日等重み平均,r_pre 平均(bp),r_pre 日クラスタ SE,r_pre naive SE,r_pre 日等重み平均,f 中央値,f p25,f p75,f > 1 の割合,0 ≤ f ≤ 1 の割合,f < 0 の割合,f が有限な n,h 後が終端と同じ約定の割合
30,900,清算 前の束から 180 秒以上(過去の条件付け),15165,453,-3.913430,0.355148,0.327489,-4.786017,-0.269531,0.397613,0.331701,-1.536455,1.934855,-8.809056,83.014706,0.547280,0.056780,0.395940,9211,0.000000
30,900,対照(a) 掃き合わせ,12695,452,-2.579206,0.188461,0.173361,-2.822154,1.210354,0.195259,0.177828,0.617880,0.722924,-8.112631,38.651786,0.477275,0.076250,0.446475,12695,0.000000
30,900,対照(b)-i 一様(日集約),25343,456,0.599589,0.098238,0.027314,0.404350,—,—,—,—,—,—,—,—,—,—,—,0.000000
30,900,対照(b)-ii 薄さ合わせ,20844,456,0.067455,0.215137,0.208879,0.225391,—,—,—,—,—,—,—,—,—,—,—,0.000000
180,60,清算 全体,15143,456,-7.511675,0.146255,0.089297,-6.803411,3.275732,0.175969,0.153506,2.554371,0.704072,0.160365,4.259561,0.421305,0.390343,0.188352,10852,0.000000
180,60,清算 次の束まで 180 秒以上(結果依存の条件付け),14687,453,-7.549470,0.149020,0.091174,-6.797795,3.337429,0.177488,0.156241,2.577425,0.698448,0.157001,4.189189,0.419502,0.392021,0.188477,10553,0.000000
180,60,清算 前の束から 180 秒以上(過去の条件付け),14687,453,-7.600770,0.148412,0.091277,-6.894953,3.311896,0.181473,0.156867,2.634289,0.704400,0.160556,4.147779,0.420853,0.391090,0.188057,10550,0.000000
180,60,対照(a) 掃き合わせ,9271,452,-0.852685,0.092788,0.087919,-0.764047,8.018896,0.198653,0.144374,7.141381,0.048106,-0.863733,0.940422,0.240859,0.301154,0.457987,9271,0.000108
180,60,対照(b)-i 一様(日集約),15143,456,-0.016472,0.015307,0.007549,-0.016642,—,—,—,—,—,—,—,—,—,—,—,0.000770
180,60,対照(b)-ii 薄さ合わせ,13868,456,-0.381380,0.057840,0.056978,-0.318576,—,—,—,—,—,—,—,—,—,—,—,0.000211
180,300,清算 全体,15143,456,-11.140078,0.198676,0.165211,-10.197754,-0.350055,0.205179,0.196221,-0.838147,1.095124,0.060869,7.000000,0.517969,0.242812,0.239219,10852,0.000000
180,300,清算 次の束まで 180 秒以上(結果依存の条件付け),14687,453,-11.137115,0.204517,0.168983,-10.148121,-0.247621,0.205908,0.200443,-0.771197,1.073418,0.046224,6.762887,0.514735,0.243533,0.241732,10553,0.000000
180,300,清算 前の束から 180 秒以上(過去の条件付け),14687,453,-11.251609,0.202494,0.168664,-10.355598,-0.336308,0.211567,0.200476,-0.824487,1.092366,0.063983,6.954189,0.517441,0.244076,0.238483,10550,0.000000
180,300,対照(a) 掃き合わせ,9271,452,-2.233979,0.199526,0.191977,-2.065073,6.638344,0.268134,0.222766,5.840764,0.261838,-1.288622,2.490990,0.344731,0.229749,0.425520,9271,0.000000
180,300,対照(b)-i 一様(日集約),15143,456,-0.002080,0.027114,0.015519,-0.013013,—,—,—,—,—,—,—,—,—,—,—,0.000000
180,300,対照(b)-ii 薄さ合わせ,13868,456,-0.627466,0.110094,0.112868,-0.586586,—,—,—,—,—,—,—,—,—,—,—,0.000000
180,900,清算 全体,15143,456,-11.521947,0.300495,0.289407,-11.193574,-0.729811,0.349345,0.308896,-1.832726,1.237600,-0.615432,9.026810,0.534372,0.158035,0.307593,10852,0.000000
180,900,清算 次の束まで 180 秒以上(結果依存の条件付け),14687,453,-11.390489,0.305648,0.296581,-10.973895,-0.498918,0.353334,0.316206,-1.595888,1.194662,-0.656140,8.575900,0.528760,0.159196,0.312044,10553,0.000000
180,900,清算 前の束から 180 秒以上(過去の条件付け),14687,453,-11.617202,0.313069,0.295253,-11.319029,-0.699738,0.361365,0.315392,-1.786658,1.232093,-0.600445,8.941907,0.534028,0.158768,0.307204,10550,0.000000
180,900,対照(a) 掃き合わせ,9271,452,-3.385313,0.256311,0.266821,-3.126456,5.487481,0.321281,0.288104,4.779824,0.394057,-1.929612,4.544050,0.403193,0.169561,0.427246,9271,0.000000
180,900,対照(b)-i 一様(日集約),15143,456,0.356920,0.066104,0.034013,0.286554,—,—,—,—,—,—,—,—,—,—,—,0.000000
180,900,対照(b)-ii 薄さ合わせ,13868,456,-0.003147,0.264471,0.230939,0.142405,—,—,—,—,—,—,—,—,—,—,—,0.000000
