date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_monthly,roll_quarterly,nightless_marked,is_glitch,night_open,night_close,has_night,leg_b_bps,leg_a_bps,leg_c_bps,regime,weekday,month,year,vol20,vol_tercile,sq_dist_td
2023-06-09,2023-06-12,31950.0,32200.0,32370.0,32420.0,0.005279503105590111,52.795031055901106,78.2472613458518,3,3.7888198757763973,0.6832298136645962,49.00621118012471,52.11180124223651,1578.0,True,True,False,False,32140.0,32250.0,True,34.22526446795304,-18.633540372671177,37.209302325580396,2020-12-21..2024-11-04(引け 15:15),Friday,6,2023,0.010243774079902979,low,0
2023-06-12,2023-06-13,32370.0,32420.0,32640.0,33030.0,0.006785934608266597,67.85934608266598,15.446400988570197,1,3.7631091918568784,0.6785934608266503,64.0962368908091,67.18075262183933,2078.0,False,False,False,False,32460.0,32660.0,True,61.61429451632783,12.338062924119875,-6.123698714023407,2020-12-21..2024-11-04(引け 15:15),Monday,6,2023,0.010501347923646553,low,1
2023-06-13,2023-06-14,32640.0,33030.0,33390.0,33550.0,0.01089918256130784,108.9918256130784,119.48529411764719,1,3.693611867998789,0.6660611565243718,105.29821374507962,108.32576445655403,3478.0,False,False,False,False,33070.0,33400.0,True,99.78832778953839,12.110202845898588,-2.994011976047428,2020-12-21..2024-11-04(引け 15:15),Tuesday,6,2023,0.010475195924831048,low,2
2023-06-14,2023-06-15,33390.0,33550.0,33600.0,33410.0,0.0014903129657228842,14.903129657228842,47.918538484577056,1,3.6363636363636362,0.6557377049180328,11.266766020865205,14.247391952310808,378.0,False,False,False,False,33680.0,33600.0,True,-23.75296912114022,38.74813710879277,0.0,2020-12-21..2024-11-04(引け 15:15),Wednesday,6,2023,0.010954175169898757,mid,3
2023-06-15,2023-06-16,33600.0,33410.0,33390.0,33650.0,-0.0005986231667165498,-5.986231667165498,-56.547619047618845,1,3.651601316970967,0.6584854833882071,-9.637832984136466,-6.6447171505537055,-322.0,False,False,False,False,33520.0,33430.0,True,-26.84964200477369,32.92427416941024,-11.965300628178355,2020-12-21..2024-11-04(引け 15:15),Thursday,6,2023,0.011200772966737717,mid,4
2023-06-16,2023-06-19,33390.0,33650.0,33780.0,33410.0,0.0038632986627042953,38.63298662704295,77.86762503743549,3,3.62555720653789,0.6537890044576523,35.00742942050506,37.9791976225853,1178.0,False,False,False,False,33730.0,33700.0,True,-8.894159501926513,23.774145616641817,23.73887240356032,2020-12-21..2024-11-04(引け 15:15),Friday,6,2023,0.011024425365160184,mid,5
2023-06-19,2023-06-20,33780.0,33410.0,33330.0,33340.0,-0.002394492666866199,-23.944926668661992,-109.53226761397316,1,3.651601316970967,0.6584854833882071,-27.59652798563296,-24.6034121520502,-922.0,False,False,False,False,33450.0,33320.0,True,-38.863976083707286,11.972463334330996,3.0012004801927006,2020-12-21..2024-11-04(引け 15:15),Monday,6,2023,0.010964310542584992,mid,6
2023-06-20,2023-06-21,33330.0,33340.0,33060.0,33570.0,-0.008398320335932796,-83.98320335932796,3.000300030002734,1,3.6592681463707257,0.659868026394721,-87.64247150569868,-84.64307138572268,-2922.0,False,False,False,False,33270.0,33080.0,True,-57.108506161707155,-20.995800839832548,-6.045949214026347,2020-12-21..2024-11-04(引け 15:15),Tuesday,6,2023,0.011260134358764103,mid,7
2023-06-21,2023-06-22,33060.0,33570.0,33430.0,33170.0,-0.00417039022937149,-41.703902293714904,154.26497277676975,1,3.634197199880846,0.6553470360440871,-45.33809949359575,-42.35924932975899,-1522.0,False,False,False,False,33580.0,33520.0,True,-17.867778439547564,2.9788501638372544,-26.84964200477369,2020-12-21..2024-11-04(引け 15:15),Wednesday,6,2023,0.0111241649308156,mid,8
2023-06-22,2023-06-23,33430.0,33170.0,33450.0,32670.0,0.008441362677117814,84.41362677117814,-77.7744540831593,1,3.6780223093156463,0.6632499246306904,80.7356044618625,83.75037684654745,2678.0,False,False,False,False,33150.0,33430.0,True,84.46455505279005,-6.029544769370343,5.982650314089177,2020-12-21..2024-11-04(引け 15:15),Thursday,6,2023,0.010788912362279517,mid,9
