kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,bundle_n_events,bundle_total_qty,bundle_n_events_dedup,bundle_total_qty_dedup
liq,1687744648187,SELL,13.0,30160.3,30160.3,30160.3,40.5405,131.4102,-59.1751,0.018349,132.4803,37,14245158.0,2023-06-26,1,13.0,1,13.0
control,1687746551746,,,30146.5,,30146.5,48.6486,125.922,-54.6245,0.024749,133.9257,37,14448998.0,2023-06-26,,,,
control,1687747091567,,,30209.8,,30209.8,27.027,104.7047,-75.4635,0.013914,111.5166,37,14458601.0,2023-06-26,,,,
liq,1687751597598,BUY,13.0,30288.7,30288.7,30288.7,37.8378,78.3827,-101.3163,0.020618,80.9783,37,14564921.0,2023-06-26,1,13.0,1,13.0
control,1687753081731,,,30253.8,,30253.8,32.4324,90.0088,-89.8974,0.018499,88.8737,37,14377759.0,2023-06-26,,,,
control,1687753401311,,,30230.0,,30230.0,48.6486,97.9527,-82.0952,0.025787,95.7154,37,14306751.0,2023-06-26,,,,
liq,1687756897203,SELL,1.0,30164.3,30164.3,30164.2,57.1429,119.9467,-60.4933,0.032275,103.5648,35,13475251.0,2023-06-26,1,1.0,1,1.0
control,1687757761731,,,30195.3,,30195.3,82.8571,109.5571,-70.6977,0.049628,91.4627,35,13411014.0,2023-06-26,,,,
control,1687758983271,,,30209.1,,30209.1,71.4286,104.9389,-75.2335,0.041881,84.9975,35,13432475.0,2023-06-26,,,,
control,1687759054585,,,30211.9,,30211.9,71.4286,104.0024,-76.1534,0.042813,83.9801,35,13445108.0,2023-06-26,,,,
control,1687759412674,,,30205.0,,30205.0,82.8571,106.3105,-73.8864,0.050842,85.5486,35,13400751.0,2023-06-26,,,,
control,1687759697351,,,30213.5,,30213.5,74.2857,103.4673,-76.6789,0.045005,81.6533,35,13303159.0,2023-06-26,,,,
control,1687760064914,,,30223.3,,30223.3,74.2857,100.1912,-89.8067,0.047277,77.6624,35,13272206.0,2023-06-26,,,,
control,1687761279743,,,30296.4,,30296.4,50.0,75.8212,-113.7183,0.033646,48.576,34,12960836.0,2023-06-26,,,,
liq,1687761884693,BUY,173.0,30337.6,30337.6,30337.6,31.25,62.1377,-127.1444,0.017274,32.869,32,12879008.0,2023-06-26,2,174.0,2,174.0
liq,1687762245977,BUY,3.0,30378.2,30378.2,30378.1,65.625,48.6898,129.3613,0.043787,18.433,32,12947316.0,2023-06-26,1,3.0,1,3.0
liq,1687762380032,BUY,41.0,30408.5,30408.5,30408.5,56.25,38.677,129.3873,0.038213,8.0659,32,12979046.0,2023-06-26,2,45.0,2,45.0
liq,1687762698258,BUY,37.0,30463.4,30463.4,30463.4,65.625,20.5857,111.1325,0.045121,-10.2359,32,13063406.0,2023-06-26,1,37.0,1,37.0
liq,1687762791765,BUY,131.0,30480.0,30480.0,30479.9,68.75,15.1282,105.6258,0.047507,-15.7064,32,13091002.0,2023-06-26,3,211.0,3,211.0
liq,1687762981006,BUY,306.0,30566.7,30566.7,30566.7,90.0,-3.2921,66.8951,0.058574,-43.9898,30,13188629.0,2023-06-26,1,306.0,1,306.0
control,1687764342651,,,30437.9,,30437.9,82.1429,18.9616,109.4938,0.055419,-3.5612,28,13358706.0,2023-06-26,,,,
liq,1687764843040,SELL,7.0,30353.3,30353.3,30353.8,25.0,46.8863,-122.3833,0.020285,22.9858,28,13427250.0,2023-06-26,2,365.0,2,365.0
liq,1687765067330,SELL,63.0,30275.4,30275.4,30275.4,50.0,72.7374,-96.9678,0.037638,48.3714,28,13546091.0,2023-06-26,1,63.0,1,63.0
control,1687766724985,,,30372.9,,30372.9,64.2857,40.4029,-128.7575,0.050442,14.2906,28,13626672.0,2023-06-26,,,,
control,1687769319485,,,30354.5,,30354.5,53.5714,6.4034,127.1429,0.041123,18.1105,28,13779014.0,2023-06-26,,,,
control,1687771483707,,,30308.5,,30308.5,51.8519,21.5904,-107.7829,0.045305,31.2817,27,13740176.0,2023-06-26,,,,
control,1687772603402,,,30330.8,,30330.8,55.5556,14.2222,-115.0559,0.046777,22.8072,27,13630108.0,2023-06-26,,,,
control,1687772668746,,,30330.7,,30330.7,55.5556,14.2552,-115.0233,0.046809,22.7809,27,13621347.0,2023-06-26,,,,
control,1687772833426,,,30330.7,,30330.7,55.5556,14.2552,-115.0233,0.046859,22.6952,27,13608596.0,2023-06-26,,,,
liq,1687773318418,SELL,10.0,30233.3,30233.3,30233.4,55.5556,46.5173,-83.1777,0.047136,54.1449,27,13702195.0,2023-06-26,1,10.0,1,10.0
liq,1687773667796,SELL,24.0,30224.5,30224.5,30224.5,55.5556,49.4424,-80.2904,0.047837,56.6642,27,13746083.0,2023-06-26,1,24.0,1,24.0
liq,1687773851902,SELL,1.0,30210.6,30210.6,30210.6,59.2593,54.0662,-75.7263,0.049888,61.0487,27,13781365.0,2023-06-26,2,6.0,2,6.0
liq,1687773988969,SELL,4.0,30174.4,30174.4,30174.4,40.7407,66.128,-63.8202,0.032338,72.7368,27,13839927.0,2023-06-26,1,4.0,1,4.0
liq,1687774130811,SELL,249.0,30166.9,30166.9,30166.8,40.7407,68.6306,-61.3499,0.032449,74.9737,27,13874414.0,2023-06-26,4,319.0,4,319.0
liq,1687775217620,BUY,5.0,30246.7,30246.7,30246.7,48.1481,-17.9756,-87.5711,0.039416,46.516,27,14054425.0,2023-06-26,1,5.0,1,5.0
liq,1687776123294,BUY,10.0,30255.3,30255.3,30254.8,51.8519,-20.813,-90.3887,0.043965,42.9191,27,14053357.0,2023-06-26,1,10.0,1,10.0
control,1687776608153,,,30270.4,,30270.4,48.1481,-25.791,-95.332,0.043976,37.4702,27,14065146.0,2023-06-26,,,,
control,1687781078905,,,30336.6,,30336.6,51.8519,-7.687,-116.9458,0.048839,13.0225,27,14131188.0,2023-06-26,,,,
control,1687781191134,,,30335.8,,30335.8,51.8519,-7.4235,-116.6852,0.048975,13.1306,27,14111532.0,2023-06-26,,,,
control,1687782040503,,,30294.2,,30294.2,59.2593,6.2983,-103.1134,0.050924,25.9951,27,14093307.0,2023-06-26,,,,
control,1687782760607,,,30260.4,,30260.4,55.5556,17.4751,-92.0588,0.050295,36.8,27,14125095.0,2023-06-26,,,,
liq,1687783396168,BUY,35.0,30380.0,30380.0,30380.0,88.8889,-1.9957,118.6425,0.064221,-2.937,27,14161821.0,2023-06-26,1,35.0,1,35.0
control,1687784792134,,,30372.7,,30372.7,96.2963,0.4073,121.0744,0.068248,-1.248,27,14251892.0,2023-06-26,,,,
control,1687785047773,,,30374.3,,30374.3,96.2963,-0.1195,120.5413,0.071287,-1.9403,27,14270056.0,2023-06-26,,,,
liq,1687786454235,BUY,3.0,30443.1,30443.1,30443.1,70.3704,-12.7414,97.6694,0.056921,-26.126,27,14103356.0,2023-06-26,2,4.0,2,4.0
liq,1687786595710,BUY,2.0,30464.5,30464.5,30464.5,59.2593,-19.7571,90.5762,0.052362,-33.1403,27,14135661.0,2023-06-26,2,3.0,2,3.0
liq,1687786728809,BUY,4.0,30485.1,30485.1,30485.1,70.3704,-26.5011,83.7576,0.057789,-40.0228,27,14117006.0,2023-06-26,5,764.0,5,764.0
liq,1687787828238,BUY,57.0,30557.6,30557.6,30557.6,55.5556,-10.3048,59.8332,0.051619,-63.6285,27,14331487.0,2023-06-26,3,68.0,3,68.0
liq,1687787952324,BUY,7.0,30608.6,30608.6,30608.6,33.3333,-26.9496,43.0715,0.019377,-79.5388,27,14466102.0,2023-06-26,3,50.0,3,50.0
control,1687788321587,,,30532.8,,30532.8,92.3077,-2.1908,47.8983,0.071833,-54.0992,26,14662724.0,2023-06-26,,,,
liq,1687789137992,SELL,9.0,30492.5,30492.5,30493.3,88.4615,1.0217,61.178,0.066296,-40.4142,26,14840996.0,2023-06-26,1,9.0,1,9.0
liq,1687789211082,SELL,465.0,30454.4,30454.4,30455.5,73.0769,13.5334,73.765,0.061362,-27.9593,26,14875869.0,2023-06-26,1,465.0,1,465.0
control,1687790116219,,,30410.1,,30410.1,84.6154,-11.8917,88.44,0.067822,-13.1761,26,15129692.0,2023-06-26,,,,
liq,1687790508527,SELL,213.0,30371.8,30371.8,30371.9,92.0,0.7037,101.1619,0.071608,-0.7068,25,15219392.0,2023-06-26,1,213.0,1,213.0
liq,1687790570232,SELL,189.0,30306.6,30306.6,30306.6,75.0,22.2186,-97.2699,0.062752,20.7206,24,15297211.0,2023-06-26,5,463.0,5,463.0
liq,1687791397283,BUY,1.0,30396.2,30396.2,30396.0,87.5,2.6685,82.9704,0.068602,-10.3836,24,15692722.0,2023-06-26,1,1.0,1,1.0
control,1687793431165,,,30353.5,,30353.5,87.5,-3.2637,97.1547,0.074885,0.7685,24,15351706.0,2023-06-26,,,,
liq,1687796809707,SELL,15.0,30329.6,30329.6,30329.6,83.3333,14.6184,105.1114,0.076764,7.1788,24,15383154.0,2023-06-26,1,15.0,1,15.0
liq,1687797017139,SELL,6.0,30280.0,30280.0,30280.0,75.0,31.0228,-98.4722,0.061487,23.4255,24,15412969.0,2023-06-26,2,142.0,2,142.0
liq,1687797457286,SELL,541.0,30227.2,30227.2,30227.3,50.0,38.5062,-81.1765,0.049001,40.512,24,15554629.0,2023-06-26,2,548.0,2,548.0
liq,1687797894610,SELL,24.0,30216.1,30216.1,30216.1,50.0,42.1939,-77.5328,0.055486,43.535,24,15666250.0,2023-06-26,11,1917.0,11,1917.0
liq,1687798046246,SELL,10.0,29990.7,29990.7,29990.7,8.3333,117.6677,-2.9588,0.007193,114.9774,24,16384933.0,2023-06-26,2,45.0,2,45.0
control,1687799253996,,,30038.2,,30038.2,29.1667,101.6684,-28.7386,0.029589,94.4431,24,17011977.0,2023-06-26,,,,
liq,1687799793892,SELL,7.0,29985.0,29985.0,29985.0,12.5,119.591,-11.0474,0.010081,110.5739,24,17265213.0,2023-06-26,4,148.0,4,148.0
control,1687800773355,,,30136.3,,30136.3,38.4615,68.7853,-81.045,0.035602,55.5345,26,17967652.0,2023-06-26,,,,
control,1687801257198,,,30091.0,,30091.0,42.3077,83.9432,-66.1127,0.038035,70.3079,26,18016240.0,2023-06-26,,,,
control,1687801694612,,,30097.0,,30097.0,42.3077,81.9329,-68.093,0.038753,67.6694,26,18000491.0,2023-06-26,,,,
control,1687804227339,,,30090.3,,30090.3,57.6923,74.1037,-65.8816,0.050422,66.5848,26,17649856.0,2023-06-26,,,,
liq,1687805063434,BUY,3.0,30195.0,30195.0,30194.8,73.0769,39.1721,-100.3278,0.055453,30.9074,26,17638901.0,2023-06-26,1,3.0,1,3.0
liq,1687805194201,BUY,31.0,30214.1,30214.1,30214.0,53.8462,32.8258,-106.5859,0.05041,24.3967,26,17653663.0,2023-06-26,3,84.0,3,84.0
control,1687805754758,,,30207.8,,30207.8,69.2308,34.9182,-104.5226,0.05642,26.2326,26,17735552.0,2023-06-26,,,,
control,1687806408775,,,30172.5,,30172.5,38.4615,46.6585,-92.9454,0.040651,37.6563,26,17748115.0,2023-06-26,,,,
liq,1687808750627,BUY,448.0,30226.3,30226.3,30226.3,80.7692,-11.2387,-110.5791,0.062403,18.3077,26,17987740.0,2023-06-26,1,448.0,1,448.0
liq,1687808888703,BUY,5.0,30254.9,30254.9,30254.9,57.6923,-10.7017,-119.9276,0.05051,8.7831,26,17986096.0,2023-06-26,1,5.0,1,5.0
liq,1687809175553,BUY,2.0,30272.4,30272.4,30271.9,76.9231,13.5041,114.091,0.056714,2.905,26,18002549.0,2023-06-26,1,2.0,1,2.0
control,1687810483749,,,30264.7,,30264.7,73.0769,-13.9364,116.6642,0.057673,4.8536,26,18026416.0,2023-06-26,,,,
control,1687810784548,,,30262.3,,30262.3,73.0769,-13.1444,117.4666,0.058307,5.4777,26,17997868.0,2023-06-26,,,,
control,1687810905355,,,30267.6,,30267.6,73.0769,-14.8931,115.6949,0.058514,3.6702,26,17992896.0,2023-06-26,,,,
control,1687811342847,,,30247.0,,30247.0,73.0769,-8.0927,-117.3471,0.060082,10.3916,26,18009380.0,2023-06-26,,,,
control,1687818660640,,,30182.6,,30182.6,96.1538,3.2236,-96.2606,0.074942,28.0109,26,17739253.0,2023-06-26,,,,
control,1687818764060,,,30218.8,,30218.8,92.3077,1.2317,-108.1246,0.065867,15.9649,26,17752007.0,2023-06-26,,,,
control,1687819355503,,,30238.4,,30238.4,80.7692,-5.2509,-114.5364,0.063074,9.1155,26,17746698.0,2023-06-26,,,,
control,1687820990506,,,30198.8,,30198.8,96.1538,-2.1426,-101.5735,0.076077,21.5733,26,17744199.0,2023-06-26,,,,
control,1687822817645,,,30235.7,,30235.7,92.3077,-4.3584,-113.6536,0.07773,8.9196,26,17828417.0,2023-06-26,,,,
liq,1687826272265,BUY,37.0,30328.5,30328.5,30328.5,76.9231,-24.9783,95.3825,0.063587,-23.4964,26,17777202.0,2023-06-27,2,428.0,2,428.0
control,1687828793638,,,30282.7,,30282.7,80.7692,-9.8919,110.6509,0.071514,-6.4742,26,16680385.0,2023-06-27,,,,
liq,1687832038119,BUY,3.0,30392.0,30392.0,30392.0,69.2308,-15.9274,74.2896,0.058581,-39.1594,26,15608406.0,2023-06-27,1,3.0,1,3.0
liq,1687832459551,BUY,69.0,30412.6,30412.6,30412.6,69.2308,-22.6901,67.4657,0.059934,-45.672,26,15548737.0,2023-06-27,1,69.0,1,69.0
liq,1687834657259,BUY,15.0,30467.4,30467.4,30467.4,38.4615,-40.6357,49.3579,0.029186,-62.043,26,15509196.0,2023-06-27,1,15.0,1,15.0
control,1687835648113,,,30403.0,,30403.0,80.7692,-19.5397,70.6446,0.069008,-40.1939,26,15593322.0,2023-06-27,,,,
control,1687837145322,,,30427.9,,30427.9,61.5385,-7.7524,62.4035,0.045914,-47.9551,26,15603105.0,2023-06-27,,,,
control,1687837282841,,,30428.8,,30428.8,61.5385,-8.0479,62.1059,0.046546,-48.2108,26,15601361.0,2023-06-27,,,,
