属性,群,下限,上限,m の群,T(秒),h(秒),群のプリント数,属性が欠測で群に入らないプリントの割合,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
print_notional,Q3(上位 3 分位),2176296.500000,,Q2(中位 3 分位),60,300,5774,0.000000,18.793202,18.513453,5774,428,-1.332799,0.623615,0.458089,1.361341,-2.436917,-3.760670,-18.434077,13.536339,0.568064,5774,0.580360,5774,0.647385,5774,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q2(中位 3 分位),60,900,5774,0.000000,18.793202,18.513453,5774,428,-1.675842,1.312756,0.686276,1.912870,-4.947149,-6.644785,-28.998076,20.284599,0.574818,5774,0.580360,5774,0.647385,5774,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q3(上位 3 分位),60,60,6457,0.000000,54.996942,40.297174,6457,393,-1.607606,1.762059,0.664806,2.650485,-5.321305,-4.414510,-20.123717,11.618418,0.574725,6457,0.741676,6457,0.785659,6457,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q3(上位 3 分位),60,300,6457,0.000000,54.996942,40.297174,6457,393,-7.823849,1.752259,0.990901,1.768350,-11.788288,-10.326069,-36.317596,17.902947,0.606319,6457,0.741676,6457,0.785659,6457,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q3(上位 3 分位),60,900,6457,0.000000,54.996942,40.297174,6457,393,-11.537720,2.790004,1.246402,2.238447,-16.540270,-14.109650,-51.130290,26.825838,0.598265,6457,0.741676,6457,0.785659,6457,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q1(下位 3 分位),60,60,3474,0.000000,7.160060,7.614017,3474,422,0.141972,0.299006,0.202392,1.477365,-0.230488,-0.352079,-4.772622,3.872675,0.526195,3474,0.398388,3474,0.480426,3474,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q1(下位 3 分位),60,300,3474,0.000000,7.160060,7.614017,3474,422,-0.616685,0.660398,0.439873,1.501338,-1.651546,-1.926397,-11.771012,7.484029,0.567645,3474,0.398388,3474,0.480426,3474,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q1(下位 3 分位),60,900,3474,0.000000,7.160060,7.614017,3474,422,-1.277240,1.123951,0.623081,1.803860,-3.558478,-3.436594,-18.193371,11.285899,0.569948,3474,0.398388,3474,0.480426,3474,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q2(中位 3 分位),60,60,2840,0.000000,18.513544,18.040422,2840,335,0.532454,0.397948,0.308176,1.291304,-0.684810,-0.895393,-8.079107,7.776674,0.533099,2840,0.590141,2840,0.657394,2840,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q2(中位 3 分位),60,300,2840,0.000000,18.513544,18.040422,2840,335,2.044849,1.382959,0.685021,2.018858,-2.110194,-1.880426,-16.351204,15.387507,0.534507,2840,0.590141,2840,0.657394,2840,0
