T(秒),m の帯,帯の下限(bp),帯の上限(bp),h(秒),帯のプリント数,m 平均,m 中央値,k 平均,k 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
10,3,3.527995,4.938159,300,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.998389,0.450224,0.390728,1.152268,-1.568451,-2.249389,-14.219941,10.273062,0.556538,5200,0.474231,5200,0.560577,5200,0
10,3,3.527995,4.938159,900,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.529053,0.966419,0.658095,1.468512,-2.764147,-4.306035,-22.817061,16.770473,0.561538,5200,0.474231,5200,0.560577,5200,0
10,4,4.938159,6.402933,1,5200,5.654193,5.659509,0.030080,0.000000,5200,434,0.089837,0.030177,0.028102,1.073843,0.086868,0.000000,-0.728471,0.615259,0.434808,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,5,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-0.009762,0.074272,0.063195,1.175283,-0.046851,-0.292283,-2.182517,1.499866,0.552885,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,10,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-0.126549,0.088561,0.085180,1.039688,-0.153751,-0.440377,-3.105925,2.177510,0.550769,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,30,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-0.434144,0.163234,0.147531,1.106444,-0.508323,-0.762226,-5.432180,3.885476,0.554231,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,60,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-0.525116,0.217664,0.194389,1.119737,-0.609472,-1.243416,-7.281879,5.475472,0.555000,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,300,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-0.771523,0.645255,0.457947,1.409017,-2.015261,-2.989694,-15.047575,10.073003,0.565962,5200,0.510192,5200,0.588077,5200,0
10,4,4.938159,6.402933,900,5200,5.654193,5.659509,0.030080,0.000000,5200,434,-1.340705,1.017661,0.677692,1.501657,-3.654005,-5.131187,-25.127206,17.271546,0.565769,5200,0.510192,5200,0.588077,5200,0
10,5,6.402933,7.992376,1,5200,7.178774,7.176648,0.027857,0.014089,5200,437,0.104940,0.040490,0.037583,1.077357,0.057033,-0.000000,-0.926187,0.690596,0.454615,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,5,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-0.244393,0.076495,0.069765,1.096466,-0.290455,-0.481853,-2.628445,1.648079,0.568269,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,10,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-0.511728,0.101464,0.094611,1.072426,-0.641459,-0.635497,-3.646530,2.234216,0.570192,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,30,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-0.723277,0.184281,0.163997,1.123690,-1.118720,-1.108276,-6.232503,4.159233,0.555000,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,60,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-0.610324,0.276657,0.226513,1.221375,-1.226313,-1.337997,-8.239345,5.694417,0.556538,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,300,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-0.823824,0.731246,0.520028,1.406166,-1.904505,-3.666037,-16.953809,12.248010,0.571538,5200,0.550962,5200,0.631731,5200,0
10,5,6.402933,7.992376,900,5200,7.178774,7.176648,0.027857,0.014089,5200,437,-1.322003,1.012174,0.696427,1.453382,-3.605994,-5.146782,-26.515446,18.533143,0.562885,5200,0.550962,5200,0.631731,5200,0
10,6,7.992376,10.006686,1,5200,8.966492,8.956942,0.026202,0.014173,5200,431,0.031799,0.041282,0.037228,1.108895,-0.022654,-0.000000,-1.167827,0.882660,0.487692,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,5,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-0.321770,0.090818,0.078951,1.150317,-0.416698,-0.693210,-3.265478,1.871602,0.582692,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,10,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-0.526133,0.120403,0.106319,1.132467,-0.668866,-0.946160,-4.477537,2.599736,0.575577,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,30,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-0.788073,0.199591,0.176167,1.132966,-1.170995,-1.480750,-7.170856,4.718551,0.573462,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,60,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-1.039385,0.307891,0.244382,1.259874,-1.568129,-1.768020,-9.635828,6.507013,0.567308,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,300,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-1.915667,0.680068,0.494839,1.374321,-4.010630,-4.568816,-19.859554,13.044287,0.571731,5200,0.591538,5200,0.660577,5200,0
10,6,7.992376,10.006686,900,5200,8.966492,8.956942,0.026202,0.014173,5200,431,-1.792026,1.150259,0.739834,1.554752,-5.920531,-7.340001,-30.285870,19.847800,0.579038,5200,0.591538,5200,0.660577,5200,0
10,7,10.006686,12.700654,1,5200,11.289611,11.266725,0.031904,0.014748,5200,422,0.128054,0.044483,0.044010,1.010756,0.054625,-0.000000,-1.366812,1.184969,0.494038,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,5,5200,11.289611,11.266725,0.031904,0.014748,5200,422,0.017598,0.123143,0.097525,1.262680,-0.185498,-0.714881,-3.589719,2.283013,0.570192,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,10,5200,11.289611,11.266725,0.031904,0.014748,5200,422,0.049124,0.169234,0.136081,1.243628,-0.188261,-0.849912,-4.813323,3.305068,0.560385,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,30,5200,11.289611,11.266725,0.031904,0.014748,5200,422,0.020275,0.289385,0.220558,1.312062,-0.597471,-1.084830,-7.744067,6.051929,0.543462,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,60,5200,11.289611,11.266725,0.031904,0.014748,5200,422,0.188311,0.487593,0.317092,1.537703,-0.648728,-1.267312,-10.495745,8.281887,0.537500,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,300,5200,11.289611,11.266725,0.031904,0.014748,5200,422,-0.867686,1.218664,0.641975,1.898305,-3.243411,-4.097156,-21.332247,14.155653,0.565962,5200,0.648462,5200,0.710962,5200,0
10,7,10.006686,12.700654,900,5200,11.289611,11.266725,0.031904,0.014748,5200,422,-3.075820,1.436452,0.813552,1.765654,-7.082759,-7.851618,-33.234358,21.232560,0.579231,5200,0.648462,5200,0.710962,5200,0
10,8,12.700654,16.767302,1,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.010500,0.058166,0.053050,1.096437,-0.063084,-0.023442,-1.937350,1.437795,0.519231,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,5,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.507767,0.140068,0.112306,1.247190,-0.734522,-1.261849,-4.787279,2.544136,0.602308,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,10,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.654741,0.215271,0.154147,1.396530,-0.978108,-1.591104,-6.231119,3.484584,0.595385,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,30,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.356836,0.420616,0.260600,1.614032,-1.033671,-1.626184,-9.201680,6.742928,0.550962,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,60,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.111713,0.566787,0.362923,1.561725,-1.209264,-1.667867,-12.410627,9.663079,0.545000,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,300,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-1.217958,1.365383,0.746694,1.828572,-4.536642,-6.165732,-24.411439,15.679266,0.583462,5200,0.686538,5200,0.743269,5200,0
10,8,12.700654,16.767302,900,5200,14.559061,14.454144,0.021508,0.015071,5200,421,-0.681822,1.936213,0.963297,2.009986,-7.360717,-7.541767,-36.517811,25.517483,0.567500,5200,0.686538,5200,0.743269,5200,0
10,9,16.767302,25.549409,1,5200,20.433654,20.041314,0.026905,0.015858,5200,397,0.103344,0.089952,0.072762,1.236243,0.023600,-0.141750,-2.704767,2.115974,0.525769,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,5,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-0.368145,0.229472,0.162298,1.413893,-0.843216,-1.781151,-6.541473,3.624280,0.600385,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,10,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-0.567842,0.329803,0.215329,1.531628,-1.220506,-2.436877,-8.472409,4.393803,0.602500,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,30,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-0.425200,0.564746,0.329606,1.713400,-1.864198,-2.021009,-11.743085,8.158001,0.554038,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,60,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-0.647551,1.046032,0.502763,2.080567,-2.721356,-3.454258,-16.654179,10.634704,0.567692,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,300,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-2.549894,1.950637,0.938688,2.078048,-7.510314,-7.819990,-30.604962,17.753678,0.592115,5200,0.740000,5200,0.784808,5200,0
10,9,16.767302,25.549409,900,5200,20.433654,20.041314,0.026905,0.015858,5200,397,-5.000494,2.026767,1.150424,1.761757,-12.114414,-10.782192,-43.778719,27.217092,0.587115,5200,0.740000,5200,0.784808,5200,0
10,10,25.549409,+∞,1,5200,49.610969,37.824805,0.037259,0.019668,5200,341,0.682342,0.196107,0.168602,1.163132,-0.663872,0.000000,-5.154490,5.574330,0.499231,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,5,5200,49.610969,37.824805,0.037259,0.019668,5200,341,0.285220,0.916702,0.402141,2.279551,-4.237062,-4.036902,-13.587998,8.106440,0.605962,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,10,5200,49.610969,37.824805,0.037259,0.019668,5200,341,-0.633031,1.505316,0.549646,2.738699,-6.231587,-6.198551,-18.001613,7.367905,0.635769,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,30,5200,49.610969,37.824805,0.037259,0.019668,5200,341,-2.104794,2.966288,0.761011,3.897824,-8.804043,-8.143336,-25.707538,11.136129,0.619423,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,60,5200,49.610969,37.824805,0.037259,0.019668,5200,341,-1.275861,4.778010,1.125856,4.243891,-9.517570,-10.871665,-32.664152,13.922968,0.624231,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,300,5200,49.610969,37.824805,0.037259,0.019668,5200,341,-18.140465,3.341717,1.524167,2.192488,-17.749869,-20.331784,-55.925375,16.192575,0.654423,5200,0.821923,5200,0.852115,5200,0
10,10,25.549409,+∞,900,5200,49.610969,37.824805,0.037259,0.019668,5200,341,-23.018273,5.977012,1.933926,3.090611,-20.135728,-23.171833,-73.518969,25.819449,0.634808,5200,0.821923,5200,0.852115,5200,0
60,1,−∞,5.904325,1,5200,1.685778,3.878045,0.057830,0.000000,5200,455,0.101550,0.034401,0.039417,0.872742,0.127605,-0.000000,-0.015540,0.017399,0.269038,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,5,5200,1.685778,3.878045,0.057830,0.000000,5200,455,0.239037,0.081812,0.072599,1.126912,0.271681,-0.000000,-0.808169,0.854112,0.414423,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,10,5200,1.685778,3.878045,0.057830,0.000000,5200,455,0.263837,0.120763,0.117650,1.026453,0.366805,0.000000,-1.259893,1.392162,0.459423,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,30,5200,1.685778,3.878045,0.057830,0.000000,5200,455,0.391887,0.221798,0.194596,1.139789,0.492450,-0.000000,-2.525146,2.650656,0.487885,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,60,5200,1.685778,3.878045,0.057830,0.000000,5200,455,0.432324,0.250504,0.237759,1.053605,0.544700,0.000000,-4.071157,3.890336,0.495385,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,300,5200,1.685778,3.878045,0.057830,0.000000,5200,455,-1.536224,0.788800,0.454622,1.735066,-1.063934,-1.786055,-10.434299,6.748791,0.563846,5200,0.369808,5200,0.455769,5200,0
60,1,−∞,5.904325,900,5200,1.685778,3.878045,0.057830,0.000000,5200,455,-1.892986,0.925170,0.597330,1.548842,-1.955385,-3.140234,-16.923676,12.260635,0.565192,5200,0.369808,5200,0.455769,5200,0
60,2,5.904325,8.999551,1,5200,7.478754,7.489467,0.027408,0.000000,5200,444,0.105072,0.022757,0.022683,1.003241,0.131097,-0.000000,-0.047309,0.149863,0.353077,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,5,5200,7.478754,7.489467,0.027408,0.000000,5200,444,0.060594,0.054742,0.048957,1.118168,0.105077,-0.015138,-1.397461,0.986654,0.506538,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,10,5200,7.478754,7.489467,0.027408,0.000000,5200,444,-0.001621,0.067683,0.062797,1.077800,0.003139,-0.076000,-2.035985,1.507391,0.533654,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,30,5200,7.478754,7.489467,0.027408,0.000000,5200,444,-0.064081,0.130605,0.109014,1.198058,-0.213051,-0.496957,-3.757527,2.873803,0.542885,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,60,5200,7.478754,7.489467,0.027408,0.000000,5200,444,-0.090105,0.163536,0.145572,1.123401,-0.253039,-0.629393,-5.387787,4.079994,0.536538,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,300,5200,7.478754,7.489467,0.027408,0.000000,5200,444,-0.881632,0.377630,0.313388,1.204994,-1.405124,-2.040833,-12.083360,8.564687,0.561731,5200,0.424423,5200,0.510962,5200,0
60,2,5.904325,8.999551,900,5200,7.478754,7.489467,0.027408,0.000000,5200,444,-1.550691,0.679067,0.524736,1.294110,-2.735236,-3.877538,-19.449940,12.994976,0.565962,5200,0.424423,5200,0.510962,5200,0
60,3,8.999551,11.886451,1,5200,10.430684,10.436235,0.028212,0.000000,5200,444,0.070231,0.028773,0.025842,1.113390,0.070311,-0.000000,-0.488419,0.417952,0.400000,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,5,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-0.120374,0.063784,0.058374,1.092679,-0.096623,-0.167575,-1.951031,1.084332,0.551154,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,10,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-0.095969,0.089434,0.080861,1.106027,-0.051081,-0.342201,-2.733069,1.852951,0.548269,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,30,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-0.198719,0.150018,0.128260,1.169642,-0.274062,-0.568118,-4.678841,3.388872,0.546346,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,60,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-0.238702,0.215368,0.178951,1.203502,-0.414510,-1.021796,-6.691368,4.814866,0.550385,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,300,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-0.983372,0.410575,0.340423,1.206075,-1.574012,-2.488726,-13.938548,9.194363,0.561346,5200,0.470769,5200,0.555000,5200,0
60,3,8.999551,11.886451,900,5200,10.430684,10.436235,0.028212,0.000000,5200,444,-1.086754,0.886804,0.616776,1.437807,-2.513955,-4.542694,-22.046621,15.170077,0.569808,5200,0.470769,5200,0.555000,5200,0
60,4,11.886451,14.946111,1,5200,13.395740,13.385764,0.026873,0.000000,5200,435,0.073481,0.029190,0.029540,0.988160,0.071492,-0.000000,-0.717006,0.536444,0.436346,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,5,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.137815,0.070863,0.063165,1.121864,-0.150460,-0.341600,-2.299965,1.302303,0.561731,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,10,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.202218,0.099537,0.083208,1.196252,-0.270280,-0.598791,-3.319720,1.952922,0.561346,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,30,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.351358,0.148364,0.134177,1.105733,-0.472558,-0.969980,-5.467236,3.832005,0.560385,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,60,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.265667,0.222459,0.191270,1.163061,-0.558205,-1.010979,-7.266740,5.560079,0.548269,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,300,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.751167,0.491701,0.387892,1.267623,-1.720590,-2.948630,-15.075527,10.860883,0.562885,5200,0.514615,5200,0.598077,5200,0
60,4,11.886451,14.946111,900,5200,13.395740,13.385764,0.026873,0.000000,5200,435,-0.990027,1.240976,0.716701,1.731512,-3.321676,-4.950505,-24.613821,16.742869,0.563846,5200,0.514615,5200,0.598077,5200,0
60,5,14.946111,18.358877,1,5200,16.583985,16.550415,0.021454,0.014169,5200,436,0.037488,0.039759,0.037451,1.061609,0.064061,0.000000,-1.025451,0.622292,0.465769,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,5,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-0.313419,0.101309,0.079829,1.269081,-0.250867,-0.645881,-2.949619,1.516447,0.586731,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,10,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-0.328415,0.127612,0.101944,1.251780,-0.327098,-0.732612,-3.858580,2.222132,0.573654,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,30,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-0.424658,0.206410,0.163269,1.264231,-0.587137,-1.111673,-6.380298,4.224293,0.555962,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,60,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-0.530995,0.284284,0.207971,1.366941,-0.763202,-1.114610,-8.107803,5.899695,0.543269,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,300,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-1.024189,0.578078,0.419772,1.377124,-1.912478,-3.345161,-17.099075,12.457933,0.561346,5200,0.570000,5200,0.644231,5200,0
60,5,14.946111,18.358877,900,5200,16.583985,16.550415,0.021454,0.014169,5200,436,-1.437905,1.041457,0.651018,1.599735,-4.358927,-6.010018,-26.838462,18.533985,0.574231,5200,0.570000,5200,0.644231,5200,0
60,6,18.358877,22.496027,1,5200,20.336254,20.298946,0.023750,0.014479,5200,424,0.077075,0.046059,0.042283,1.089310,-0.027702,0.000000,-1.240765,0.942616,0.483654,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,5,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-0.233364,0.096407,0.084400,1.142270,-0.503651,-0.697492,-3.266937,1.978284,0.578462,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,10,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-0.220009,0.130976,0.116781,1.121556,-0.491292,-0.934946,-4.385315,2.725000,0.570000,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,30,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-0.230040,0.204160,0.175390,1.164037,-0.618584,-1.225116,-7.238978,5.165648,0.550577,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,60,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-0.318637,0.297161,0.245762,1.209141,-0.976213,-1.628489,-9.716202,7.341083,0.554038,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,300,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-1.633896,0.679024,0.521558,1.301915,-3.149976,-4.443642,-19.956150,13.489743,0.574615,5200,0.604615,5200,0.673654,5200,0
60,6,18.358877,22.496027,900,5200,20.336254,20.298946,0.023750,0.014479,5200,424,-0.689827,1.150086,0.739442,1.555343,-4.403793,-6.567225,-30.517766,21.639395,0.571923,5200,0.604615,5200,0.673654,5200,0
60,7,22.496027,27.951066,1,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-0.044017,0.045129,0.045987,0.981360,-0.026223,-0.017036,-1.600895,1.125413,0.520000,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,5,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-0.389796,0.112099,0.095866,1.169334,-0.353678,-0.851882,-3.966198,2.315505,0.579038,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,10,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-0.592159,0.145595,0.123834,1.175729,-0.746516,-1.162784,-5.342109,3.226097,0.581923,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,30,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-0.736551,0.235301,0.192597,1.221723,-1.237794,-1.661817,-8.559688,5.778640,0.559808,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,60,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-0.928774,0.336197,0.271310,1.239163,-1.479180,-2.100942,-11.533650,7.842927,0.561538,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,300,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-1.826814,0.863519,0.533371,1.618983,-3.849497,-4.796933,-21.980126,14.981919,0.563462,5200,0.640000,5200,0.702500,5200,0
60,7,22.496027,27.951066,900,5200,25.052103,24.946568,0.029796,0.014681,5200,411,-1.938127,1.414720,0.793434,1.783034,-6.298539,-8.136851,-33.610317,22.465323,0.574615,5200,0.640000,5200,0.702500,5200,0
