effective_date,ticker,name,action
2000-04-24,5805,昭和電線電纜,delete
2000-04-24,5981,東京製綱,delete
2000-04-24,6461,日本ピストンリング,delete
2000-04-24,8061,西華産業,delete
2000-04-24,8088,岩谷産業,delete
2000-04-24,8236,丸善,delete
2000-04-24,9065,山九,delete
2000-04-24,9302,三井倉庫,delete
2000-07-03,4911,資生堂,add
2000-07-03,5005,東燃,delete
2000-09-22,8332,横浜銀行,add
2000-09-22,8407,東洋信託銀行,add
2000-09-22,8606,新光証券,add
2000-09-22,8302,日本興業銀行,delete
2000-09-22,8311,第一勧業銀行,delete
2000-09-22,8317,富士銀行,delete
2000-09-26,6770,アルプス電気,add
2000-09-26,9431,KDD,delete
2000-10-02,8305,みずほホールディングス,add
2000-10-02,9735,セコム,add
2000-10-02,1815,鉄建建設,delete
2000-10-02,8511,日本証券金融,delete
2001-03-23,9201,日本航空,add
2001-03-23,3863,日本製紙,delete
2001-03-27,8233,高島屋,add
2001-03-27,8253,クレディセゾン,add
2001-03-27,9064,ヤマト運輸,add
2001-03-27,8314,さくら銀行,delete
2001-03-27,8315,東京三菱銀行,delete
2001-03-27,8320,三和銀行,delete
2001-03-27,8321,東海銀行,delete
2001-03-27,8402,三菱信託銀行,delete
2001-03-27,8407,東洋信託銀行,delete
2001-03-30,3893,日本ユニパックホールディング,add
2001-04-03,8306,三菱東京フィナンシャルグループ,add
2001-04-03,8307,UFJホールディングス,add
2001-09-25,9021,西日本旅客鉄道,add
2001-09-25,8753,住友海上火災保険,delete
2001-10-01,1928,積水ハウス,add
2001-10-01,4511,藤沢薬品工業,add
2001-10-01,6310,井関農機,delete
2001-10-01,9006,京浜急行鉄道,delete
2001-11-28,8830,住友不動産,add
2001-11-28,6011,新潟鉄工所,delete
2001-12-05,8319,大和銀行,delete
2001-12-07,6367,ダイキン工業,add
2001-12-07,1886,青木建設,delete
2001-12-12,8308,大和銀ホールディングス,add
2002-02-25,8322,あさひ銀行,delete
2002-02-27,8331,千葉銀行,add
2002-03-04,1804,佐藤工業,delete
2002-03-06,1947,日本コムシス,add
2002-03-26,8751,東京海上火災保険,delete
2002-04-02,8766,ミレアホールディングス,add
2002-09-06,1806,フジタ,delete
2002-09-11,8309,三井トラスト・ホールディングス,add
2002-09-19,4704,トレンドマイクロ,add
2002-09-19,7733,オリンパス光学工業,add
2002-09-19,8238,伊勢丹,add
2002-09-19,5014,ジャパンエナジー,delete
2002-09-19,5403,川崎製鉄,delete
