ts,oi,volume
2026-09-09 03:50:00+00:00,2865385258.6813,9223333.7675
2026-09-09 03:55:00+00:00,2871380106.5669,10557855.0378
2026-09-09 04:00:00+00:00,2876176583.1347,8435183.7734
2026-09-09 04:05:00+00:00,2867813901.9564,49784096.7104
2026-09-09 04:10:00+00:00,2866182123.6346,34381289.1849
2026-09-09 04:15:00+00:00,2866694085.7323,11933881.7163
2026-09-09 04:20:00+00:00,2870858724.9627,8800108.6888
2026-09-09 04:25:00+00:00,2870876441.7526,8623949.7847
2026-09-09 04:30:00+00:00,2870011612.9111,8775797.7111
2026-09-09 04:35:00+00:00,2871833140.0886,6799627.1093
2026-09-09 04:40:00+00:00,2873748291.2214,7093538.7202
2026-09-09 04:45:00+00:00,2850199761.0393,138079567.4042
2026-09-09 04:50:00+00:00,2851809701.9405,44881466.6456
2026-09-09 04:55:00+00:00,2854288188.2989,15073866.6312
2026-09-09 05:00:00+00:00,2853371910.8741,15038369.9298
2026-09-09 05:05:00+00:00,2854968796.0834,22206566.2148
2026-09-09 05:10:00+00:00,2859617255.1607,10738028.4222
2026-09-09 05:15:00+00:00,2858216795.634,56470301.5601
2026-09-09 05:20:00+00:00,2854171615.3921,55424679.661
2026-09-09 05:25:00+00:00,2856141678.052,18796794.2949
2026-09-09 05:30:00+00:00,2833063658.7404,13351260.5342
2026-09-09 05:35:00+00:00,2835066312.2181,70131451.5997
2026-09-09 05:40:00+00:00,2829600203.4434,16698099.8753
2026-09-09 05:45:00+00:00,2826513486.9446,18524640.1004
2026-09-09 05:50:00+00:00,2829730079.0957,22757085.7753
2026-09-09 05:55:00+00:00,2832683084.481,10847936.5843
2026-09-09 06:00:00+00:00,2830009004.5485,8451422.2297
2026-09-09 06:05:00+00:00,2834747407.4052,10208900.9025
2026-09-09 06:10:00+00:00,2848322460.8652,15818036.7976
2026-09-09 06:15:00+00:00,2843868377.9222,58158261.0272
2026-09-09 06:20:00+00:00,2848546805.8744,14646433.9323
2026-09-09 06:25:00+00:00,2846709437.8573,21523728.1617
2026-09-09 06:30:00+00:00,2846137344.325,11399151.6532
2026-09-09 06:35:00+00:00,2849432939.7795,8897484.8771
2026-09-09 06:40:00+00:00,2845631179.4853,8372286.5831
2026-09-09 06:45:00+00:00,2845876967.0293,8051770.0163
2026-09-09 06:50:00+00:00,2846647962.1022,9609111.4566
2026-09-09 06:55:00+00:00,2853401330.6497,13539852.2144
2026-09-09 07:00:00+00:00,2857473106.0117,18594912.6726
2026-09-09 07:05:00+00:00,2862040290.2626,11726151.7153
2026-09-09 07:10:00+00:00,2859626626.3061,34458769.4778
2026-09-09 07:15:00+00:00,2851733838.4313,20012769.8692
2026-09-09 07:20:00+00:00,2852113491.8457,24432601.6424
2026-09-09 07:25:00+00:00,2852545976.594,12102948.881
2026-09-09 07:30:00+00:00,2847583933.3588,9487846.5197
2026-09-09 07:35:00+00:00,2846535469.9818,15782876.1935
2026-09-09 07:40:00+00:00,2846019554.8067,6794256.9878
2026-09-09 07:45:00+00:00,2846524014.3842,10340176.1729
2026-09-09 07:50:00+00:00,2846938450.3818,8778005.3876
2026-09-09 07:55:00+00:00,2846653578.4659,14200447.3739
2026-09-09 08:00:00+00:00,2842616554.3912,8936551.5798
2026-09-09 08:05:00+00:00,2844479700.8342,53548310.4815
2026-09-09 08:10:00+00:00,2841483296.7776,39232812.0897
2026-09-09 08:15:00+00:00,2844053371.8946,53340295.7332
2026-09-09 08:20:00+00:00,2841405954.2869,17407255.5073
2026-09-09 08:25:00+00:00,2847743943.4292,41428453.2512
2026-09-09 08:30:00+00:00,2846304435.9384,55536716.1442
2026-09-09 08:35:00+00:00,2842108360.7285,26477599.0888
2026-09-09 08:40:00+00:00,2845659300.0049,56758574.4747
2026-09-09 08:45:00+00:00,2846910314.7669,14377516.7191
2026-09-09 08:50:00+00:00,2839799328.0306,10460250.6917
2026-09-09 08:55:00+00:00,2839854416.2436,34672899.6626
2026-09-09 09:00:00+00:00,2840827968.9157,11801119.6448
2026-09-09 09:05:00+00:00,2838237729.8114,14559766.2454
2026-09-09 09:10:00+00:00,2832023607.292,23272829.196
2026-09-09 09:15:00+00:00,2833918158.998,16515604.0884
2026-09-09 09:20:00+00:00,2834993614.0619,15964027.1692
2026-09-09 09:25:00+00:00,2833648351.8007,9532829.5868
2026-09-09 09:30:00+00:00,2833554146.5322,12493156.0508
2026-09-09 09:35:00+00:00,2830961917.7499,20612451.424
2026-09-09 09:40:00+00:00,2823263432.1802,25744055.2869
2026-09-09 09:45:00+00:00,2819846965.7873,77869981.2826
2026-09-09 09:50:00+00:00,2818879991.5479,50437189.8105
