観測量,群,h,n1,n2,実群,対照(i),対照(ii),差(ii),差(i),対照(i)SE,走行,対照(ii)の軸の作り方,t,ブートストラップSE,有限な複製の本数,CI下限,CI上限,MDE(α=0.05/576),MDEとの比較,検出力,バー近傍,隣の分位,判定
reach_back_vwap_5m,全体,5,21198,18199,0.082838,0.095706,0.061926,0.020912,-0.012868,0.002012,gap60_w8,own,7.0296,0.002975,2000,0.009236,0.032587,0.013853,≥,,,,差あり(+)
reach_back_vwap_5m,A1_W8h_Q1,5,7150,4297,0.011189,0.013752,0.010007,0.001182,-0.002564,0.005167,gap60_w8,own,0.5117,0.002309,2000,-0.007882,0.010246,0.017332,<,,,"Q2:差=0.029876,|t|=7.5056",検出されず(MDE = 0.017332 割合)
reach_back_vwap_5m,A1_W8h_Q2,5,6986,6863,0.072860,0.049014,0.042984,0.029876,0.023846,0.003048,gap60_w8,own,7.5056,0.003980,2000,0.014253,0.045498,0.023132,≥,,,"Q1:差=0.001182,|t|=0.5117 Q3:差=0.053161,|t|=8.4751",差あり(+)
reach_back_vwap_5m,A1_W8h_Q3,5,7062,7039,0.165251,0.113123,0.112090,0.053161,0.052128,0.002516,gap60_w8,own,8.4751,0.006273,2000,0.028542,0.077779,0.028859,≥,,,"Q2:差=0.029876,|t|=7.5056",差あり(+)
reach_back_vwap_5m,A1_W24h_Q1,5,7073,4474,0.014280,0.003826,0.009164,0.005116,0.010454,0.001708,gap60_w24,own,2.4797,0.002063,2000,-0.002981,0.013212,0.016958,<,,,"Q2:差=0.027726,|t|=6.7601",検出されず(MDE = 0.016958 割合)
reach_back_vwap_5m,A1_W24h_Q2,5,7128,6988,0.058923,0.024094,0.031196,0.027726,0.034828,0.001924,gap60_w24,own,6.7601,0.004101,2000,0.011629,0.043824,0.015460,≥,,,"Q1:差=0.005116,|t|=2.4797 Q3:差=0.048549,|t|=7.8477",差あり(+)
reach_back_vwap_5m,A1_W24h_Q3,5,6997,6979,0.120766,0.062386,0.072217,0.048549,0.058380,0.002065,gap60_w24,own,7.8477,0.006186,2000,0.024269,0.072830,0.028287,≥,,,"Q2:差=0.027726,|t|=6.7601",差あり(+)
reach_back_vwap_5m,A2_W8h_Q1,5,7066,11286,0.167846,,0.078947,0.088899,,,gap60_w8,partner_sign,14.2665,0.006231,2000,0.064442,0.113355,0.025938,≥,,,"Q2:差=0.012745,|t|=2.6885",差あり(+)
reach_back_vwap_5m,A2_W8h_Q2,5,7066,4075,0.067223,,0.054479,0.012745,,,gap60_w8,partner_sign,2.6885,0.004740,2000,-0.005860,0.031350,0.021418,<,,,"Q1:差=0.088899,|t|=14.2665 Q3:差=0.008512,|t|=4.6666",検出されず(MDE = 0.021418 割合)
reach_back_vwap_5m,A2_W8h_Q3,5,7066,2838,0.013445,,0.004933,0.008512,,,gap60_w8,partner_sign,4.6666,0.001824,2000,0.001353,0.015670,0.000000,≥,,,"Q2:差=0.012745,|t|=2.6885",差あり(+)
reach_back_vwap_5m,A2_W24h_Q1,5,7066,9474,0.102038,,0.051298,0.050740,,,gap60_w24,partner_sign,9.0939,0.005580,2000,0.028841,0.072638,0.026986,≥,,,"Q2:差=0.029191,|t|=6.2038",差あり(+)
reach_back_vwap_5m,A2_W24h_Q2,5,7066,4785,0.076422,,0.047231,0.029191,,,gap60_w24,partner_sign,6.2038,0.004705,2000,0.010724,0.047659,0.019525,≥,,,"Q1:差=0.050740,|t|=9.0939 Q3:差=0.002665,|t|=1.0874",差あり(+)
reach_back_vwap_5m,A2_W24h_Q3,5,7066,4182,0.014860,,0.012195,0.002665,,,gap60_w24,partner_sign,1.0874,0.002450,2000,-0.006953,0.012282,0.000000,≥,,,"Q2:差=0.029191,|t|=6.2038",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,A3_W8h_Q1,5,7066,10644,0.226720,,0.101935,0.124784,,,gap60_w8,partner_sign,17.3721,0.007183,2000,0.096592,0.152976,0.030387,≥,,,"Q2:差=0.011482,|t|=6.0120",差あり(+)
reach_back_vwap_5m,A3_W8h_Q2,5,7066,5041,0.019813,,0.008332,0.011482,,,gap60_w8,partner_sign,6.0120,0.001910,2000,0.003986,0.018977,0.005155,≥,,,"Q1:差=0.124784,|t|=17.3721 Q3:差=0.001981,|t|=3.4072",差あり(+)
reach_back_vwap_5m,A3_W8h_Q3,5,7066,2514,0.001981,,0.000000,0.001981,,,gap60_w8,partner_sign,3.4072,0.000582,2000,-0.000301,0.004264,0.000000,≥,,,"Q2:差=0.011482,|t|=6.0120",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,A3_W24h_Q1,5,7066,8623,0.136145,,0.068770,0.067375,,,gap60_w24,partner_sign,10.5913,0.006361,2000,0.042408,0.092343,0.027187,≥,,,"Q2:差=0.026580,|t|=6.7348",差あり(+)
reach_back_vwap_5m,A3_W24h_Q2,5,7066,5688,0.056468,,0.029887,0.026580,,,gap60_w24,partner_sign,6.7348,0.003947,2000,0.011090,0.042070,0.014693,≥,,,"Q1:差=0.067375,|t|=10.5913 Q3:差=0.000708,|t|=1.9290",差あり(+)
reach_back_vwap_5m,A3_W24h_Q3,5,7066,4130,0.000708,,0.000000,0.000708,,,gap60_w24,partner_sign,1.9290,0.000367,2000,-0.000732,0.002147,0.000000,≥,,,"Q2:差=0.026580,|t|=6.7348",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,A4_W8h_Q1,5,4984,7989,0.155899,,0.071348,0.084551,,,gap60_w8,partner_sign,12.9282,0.006540,2000,0.058883,0.110219,0.027496,≥,,,"Q2:差=0.017373,|t|=3.0792",差あり(+)
reach_back_vwap_5m,A4_W8h_Q2,5,4983,3004,0.069637,,0.052264,0.017373,,,gap60_w8,partner_sign,3.0792,0.005642,2000,-0.004771,0.039517,0.033602,<,,,"Q1:差=0.084551,|t|=12.9282 Q3:差=-0.001464,|t|=0.3669",検出されず(MDE = 0.033602 割合)
reach_back_vwap_5m,A4_W8h_Q3,5,4983,1914,0.012643,,0.014107,-0.001464,,,gap60_w8,partner_sign,-0.3669,0.003989,2000,-0.017121,0.014194,0.022218,<,,,"Q2:差=0.017373,|t|=3.0792",検出されず(MDE = 0.022218 割合)
reach_back_vwap_5m,A4_W24h_Q1,5,4976,6578,0.105908,,0.048647,0.057261,,,gap60_w24,partner_sign,9.3948,0.006095,2000,0.033340,0.081183,0.029480,≥,,,"Q2:差=0.030530,|t|=5.5472",差あり(+)
reach_back_vwap_5m,A4_W24h_Q2,5,4976,3506,0.076166,,0.045636,0.030530,,,gap60_w24,partner_sign,5.5472,0.005504,2000,0.008929,0.052130,0.025801,≥,,,"Q1:差=0.057261,|t|=9.3948 Q3:差=0.000235,|t|=0.0751",差あり(+)
reach_back_vwap_5m,A4_W24h_Q3,5,4976,2851,0.012862,,0.012627,0.000235,,,gap60_w24,partner_sign,0.0751,0.003125,2000,-0.012031,0.012500,0.000000,≥,,,"Q2:差=0.030530,|t|=5.5472",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,A5_W8h_Q1,5,4984,7655,0.207063,,0.087786,0.119277,,,gap60_w8,partner_sign,15.3502,0.007770,2000,0.088780,0.149774,0.035730,≥,,,"Q2:差=0.003894,|t|=1.0583",差あり(+)
reach_back_vwap_5m,A5_W8h_Q2,5,4983,3452,0.026490,,0.022596,0.003894,,,gap60_w8,partner_sign,1.0583,0.003680,2000,-0.010548,0.018337,0.009985,<,,,"Q1:差=0.119277,|t|=15.3502 Q3:差=0.002393,|t|=1.5062",検出されず(MDE = 0.009985 割合)
reach_back_vwap_5m,A5_W8h_Q3,5,4983,1800,0.004616,,0.002222,0.002393,,,gap60_w8,partner_sign,1.5062,0.001589,2000,-0.003843,0.008630,0.000000,≥,,,"Q2:差=0.003894,|t|=1.0583",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,A5_W24h_Q1,5,4976,6012,0.133641,,0.058217,0.075425,,,gap60_w24,partner_sign,11.0180,0.006846,2000,0.048557,0.102292,0.031270,≥,,,"Q2:差=0.017388,|t|=3.3002",差あり(+)
reach_back_vwap_5m,A5_W24h_Q2,5,4976,3991,0.058481,,0.041092,0.017388,,,gap60_w24,partner_sign,3.3002,0.005269,2000,-0.003291,0.038068,0.018525,<,,,"Q1:差=0.075425,|t|=11.0180 Q3:差=0.002131,|t|=2.2826",検出されず(MDE = 0.018525 割合)
reach_back_vwap_5m,A5_W24h_Q3,5,4976,2932,0.002814,,0.000682,0.002131,,,gap60_w24,partner_sign,2.2826,0.000934,2000,-0.001533,0.005796,0.000000,≥,,,"Q2:差=0.017388,|t|=3.3002",検出されず(MDE = 0.000000 割合)
reach_back_vwap_5m,E_W8h_Q1,5,4384,3099,0.003650,,0.025492,-0.021842,,,gap60_w8,inherit,-6.3493,0.003440,2000,-0.035344,-0.008341,0.017461,≥,,,"Q2:差=-0.023726,|t|=6.4857",差あり(−)
reach_back_vwap_5m,E_W8h_Q2,5,4383,3788,0.013233,,0.036959,-0.023726,,,gap60_w8,inherit,-6.4857,0.003658,2000,-0.038083,-0.009368,0.021404,≥,,,"Q1:差=-0.021842,|t|=6.3493 Q3:差=0.124759,|t|=14.8047",差あり(−)
reach_back_vwap_5m,E_W8h_Q3,5,4384,4325,0.227418,,0.102659,0.124759,,,gap60_w8,inherit,14.8047,0.008427,2000,0.091685,0.157833,0.037226,≥,,,"Q2:差=-0.023726,|t|=6.4857",差あり(+)
reach_back_vwap_5m,E_W24h_Q1,5,3882,2621,0.001546,,0.014880,-0.013334,,,gap60_w24,inherit,-4.2472,0.003140,2000,-0.025656,-0.001012,0.000000,≥,,,"Q2:差=-0.019376,|t|=4.0047",差あり(−)
reach_back_vwap_5m,E_W24h_Q2,5,3882,3372,0.008501,,0.027877,-0.019376,,,gap60_w24,inherit,-4.0047,0.004838,2000,-0.038365,-0.000387,0.000000,≥,,,"Q1:差=-0.013334,|t|=4.2472 Q3:差=0.125209,|t|=13.7784",差あり(−)
reach_back_vwap_5m,E_W24h_Q3,5,3882,3814,0.212519,,0.087310,0.125209,,,gap60_w24,inherit,13.7784,0.009087,2000,0.089543,0.160876,0.036737,≥,,,"Q2:差=-0.019376,|t|=4.0047",差あり(+)
reach_back_vwap_5m,B1_Q1,5,12029,11000,0.094522,,0.067909,0.026612,,,gap60_w8,inherit,7.0371,0.003782,2000,0.011770,0.041455,0.019355,≥,,,"Q2:差=0.023642,|t|=3.7814",差あり(+)
reach_back_vwap_5m,B1_Q2,5,3906,3301,0.084229,,0.060588,0.023642,,,gap60_w8,inherit,3.7814,0.006252,2000,-0.000896,0.048180,0.034378,<,,,"Q1:差=0.026612,|t|=7.0371 Q3:差=0.008924,|t|=1.9324",検出されず(MDE = 0.034378 割合)
reach_back_vwap_5m,B1_Q3,5,5263,3898,0.055102,,0.046178,0.008924,,,gap60_w8,inherit,1.9324,0.004618,2000,-0.009202,0.027050,0.020382,<,,,"Q2:差=0.023642,|t|=3.7814",検出されず(MDE = 0.020382 割合)
