入る位置,入る条件,出口,損切り,総収支_bp,中央値_入った本のみ,p25,p75,中央値_0含む,負の割合,日等重み平均,日クラスタSE,入った本数,日数,建玉の回数,前半の前_総収支_bp,前半の後_総収支_bp,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒,欠測,条件で外れた本数,空の理由
1件目から,材料15≥p75,最後のプリント+300秒+d,なし,-1152.366609,1.125530,-9.010522,11.133341,0.000000,0.472052,0.140914,0.544422,2612,225,2612,-17.073443,-1135.293165,230.270225,-5.004410,3,317.370908,0,6319,
1件目から,材料15≥p75,最後のプリント+300秒+d,含み損20bp,-4604.635934,-1.070675,-18.025014,9.235530,0.000000,0.527182,-1.413276,0.383092,2612,225,2612,-1664.966805,-2939.669128,184.634038,-24.939258,3,254.472641,0,6319,
1件目から,材料15≥p75,最後のプリント+300秒+d,含み損50bp,-3703.373900,0.649037,-9.941076,10.689881,0.000000,0.483538,-0.960781,0.479004,2612,225,2612,-741.394500,-2961.979399,216.840199,-17.078816,3,298.860918,0,6319,
1件目から,材料15≥p75,入ってから300秒+d,なし,-934.254387,1.097440,-8.962011,10.789259,0.000000,0.473201,0.208918,0.501962,2612,225,2612,403.690332,-1337.944719,218.410440,-4.277517,3,301.025109,0,6319,
1件目から,材料15≥p75,入ってから300秒+d,含み損20bp,-4444.887062,-1.110409,-17.314147,9.105313,0.000000,0.527182,-1.356617,0.379352,2612,225,2612,-1565.269089,-2879.617973,180.100931,-24.679978,3,248.224867,0,6319,
1件目から,材料15≥p75,入ってから300秒+d,含み損50bp,-3364.890899,0.635411,-9.711816,10.479041,0.000000,0.483538,-0.800372,0.460658,2612,225,2612,-535.432288,-2829.458612,208.176928,-16.163611,3,286.920727,0,6319,
1件目から,材料15≥p90,連鎖の終わり+d,なし,-2540.100687,-1.002211,-5.525546,4.007131,0.000000,0.555124,-1.945188,0.478116,1288,220,1288,-682.482837,-1857.617850,27.573799,-92.120085,1,77.069624,0,7643,
1件目から,材料15≥p90,連鎖の終わり+d,含み損20bp,-2846.412372,-1.334770,-6.040637,3.657360,0.000000,0.576087,-2.155745,0.373295,1288,220,1288,-884.768022,-1961.644350,23.749036,-119.853805,1,66.379294,0,7643,
1件目から,材料15≥p90,連鎖の終わり+d,含み損50bp,-2947.170122,-1.067646,-5.557157,3.998567,0.000000,0.558230,-2.116872,0.434656,1288,220,1288,-657.921721,-2289.248401,26.290411,-112.100574,1,73.482514,0,7643,
1件目から,材料15≥p90,最後のプリント+300秒+d,なし,-536.555173,0.865885,-8.266042,10.973290,0.000000,0.475155,0.241507,0.858678,1288,220,1288,460.846580,-997.401753,113.578048,-4.724110,3,317.454172,0,7643,
1件目から,材料15≥p90,最後のプリント+300秒+d,含み損20bp,-1698.252173,-0.903435,-16.389768,9.172362,0.000000,0.527174,-1.135435,0.547582,1288,220,1288,-473.064362,-1225.187811,92.423646,-18.374650,3,258.326960,0,7643,
1件目から,材料15≥p90,最後のプリント+300秒+d,含み損50bp,-1369.285122,0.511317,-9.141161,10.566190,0.000000,0.484472,-0.654948,0.675246,1288,220,1288,138.008580,-1507.293702,107.196318,-12.773621,3,299.617039,0,7643,
1件目から,材料15≥p90,入ってから300秒+d,なし,-359.016268,0.933638,-7.817936,10.707435,0.000000,0.477484,0.354228,0.787102,1288,220,1288,661.457986,-1020.474254,107.666214,-3.334530,3,300.930411,0,7643,
1件目から,材料15≥p90,入ってから300秒+d,含み損20bp,-1535.918133,-0.864852,-15.673890,8.910648,0.000000,0.526398,-1.002216,0.537961,1288,220,1288,-392.878621,-1143.039513,90.018035,-17.062338,3,251.603203,0,7643,
1件目から,材料15≥p90,入ってから300秒+d,含み損50bp,-1178.965160,0.558784,-8.853071,10.254098,0.000000,0.486025,-0.496447,0.644349,1288,220,1288,246.469255,-1425.434415,102.881744,-11.459420,3,287.557668,0,7643,
2件目以降だけ,なし,連鎖の終わり+d,なし,-3132.550366,0.369256,-6.171074,6.954309,0.000000,0.485377,-0.579318,0.281367,3898,222,3898,-742.207028,-2390.343338,87.835935,-35.663654,1,81.120925,0,0,
