timestamp,best_bid,best_ask,ltp
1787294589.398,11966956.0,11972051.0,11969365.0
1787294594.478,11964338.0,11967587.0,11967105.0
1787294599.558,11971007.0,11973503.0,11971006.0
1787294604.618,11969599.0,11974373.0,11971251.0
1787294609.671,11969882.0,11971570.0,11969788.0
1787294614.739,11964920.0,11967273.0,11969763.0
1787294619.814,11962070.0,11964523.0,11962242.0
1787294625.197,11960151.0,11962272.0,11966624.0
1787294630.232,11958748.0,11963803.0,11960151.0
1787294635.290,11965234.0,11966522.0,11966522.0
1787294640.349,11970151.0,11975051.0,11973787.0
1787294645.388,11968700.0,11973169.0,11970868.0
1787294650.470,11968941.0,11973475.0,11971279.0
1787294655.531,11979206.0,11982968.0,11981579.0
1787294660.596,11981215.0,11983144.0,11984509.0
1787294665.664,11980529.0,11985659.0,11983022.0
1787294670.723,11983340.0,11987411.0,11984910.0
1787294675.781,11981092.0,11985276.0,11983630.0
1787294680.838,11979209.0,11981836.0,11983630.0
1787294685.878,11975872.0,11980026.0,11977924.0
1787294690.914,11974364.0,11975805.0,11975872.0
1787294695.954,11969768.0,11972819.0,11972670.0
1787294700.998,11967597.0,11970153.0,11970192.0
1787294706.070,11964895.0,11967213.0,11967213.0
1787294711.105,11960849.0,11962385.0,11964895.0
1787294716.140,11955670.0,11958126.0,11956728.0
1787294721.196,11956445.0,11958884.0,11958360.0
1787294726.236,11956268.0,11961023.0,11958582.0
1787294731.297,11960630.0,11963738.0,11962073.0
1787294736.347,11960951.0,11962993.0,11962073.0
1787294741.383,11960635.0,11964475.0,11962371.0
1787294746.441,11961416.0,11964117.0,11964123.0
1787294751.497,11962369.0,11963527.0,11962671.0
1787294756.557,11962370.0,11963070.0,11962370.0
1787294761.626,11957763.0,11961369.0,11960453.0
1787294766.692,11961343.0,11963440.0,11963003.0
1787294771.746,11961037.0,11962050.0,11962368.0
1787294776.804,11958554.0,11962013.0,11963699.0
1787294781.871,11958623.0,11961472.0,11962378.0
1787294786.934,11957686.0,11961784.0,11959725.0
1787294792.010,11958577.0,11961380.0,11959725.0
1787294797.064,11960145.0,11962650.0,11962668.0
1787294802.123,11960432.0,11962560.0,11962668.0
1787294807.190,11958207.0,11962244.0,11962668.0
1787294812.255,11958173.0,11961930.0,11962668.0
1787294817.312,11956948.0,11961147.0,11959151.0
1787294822.374,11957043.0,11960440.0,11959151.0
1787294827.442,11961216.0,11963667.0,11960406.0
1787294832.498,11961846.0,11965229.0,11963428.0
1787294837.587,11965996.0,11968336.0,11965949.0
1787294842.650,11968442.0,11971371.0,11970123.0
1787294847.709,11971510.0,11973687.0,11973043.0
1787294852.768,11971387.0,11974641.0,11974613.0
1787294857.820,11973591.0,11976599.0,11976599.0
1787294862.873,11971262.0,11975269.0,11972939.0
1787294867.925,11970752.0,11974458.0,11974091.0
1787294873.000,11973043.0,11975230.0,11976181.0
1787294878.054,11971881.0,11973320.0,11973043.0
1787294883.143,11971276.0,11973310.0,11973043.0
1787294888.222,11972000.0,11973290.0,11973043.0
1787294893.275,11971649.0,11974766.0,11972738.0
1787294898.346,11975722.0,11978933.0,11977063.0
1787294903.409,11973506.0,11975526.0,11976357.0
1787294908.470,11972764.0,11974918.0,11972498.0
1787294913.528,11974856.0,11976730.0,11976357.0
1787294918.588,11975467.0,11977515.0,11977515.0
1787294923.641,11976714.0,11979703.0,11978043.0
1787294928.693,11978043.0,11981606.0,11978043.0
1787294933.747,11980095.0,11983581.0,11981701.0
1787294938.857,11980914.0,11984575.0,11981701.0
1787294943.913,11984508.0,11988984.0,11986063.0
1787294949.065,11991803.0,11992939.0,11992529.0
1787294954.098,11991214.0,11992520.0,11991162.0
1787294959.184,11994207.0,11997211.0,11998435.0
1787294964.240,11994322.0,11998345.0,11994166.0
1787294969.309,11993147.0,11995963.0,11998019.0
1787294974.376,11995329.0,11996496.0,11996495.0
1787294979.436,11991830.0,11994242.0,11991438.0
1787294984.493,11989423.0,11991476.0,11991283.0
1787294989.552,11985377.0,11989983.0,11987736.0
1787294994.612,11985646.0,11988645.0,11984188.0
1787294999.665,11989669.0,11992938.0,11989840.0
1787295004.713,11987234.0,11989436.0,11988081.0
1787295009.774,11986685.0,11989770.0,11988418.0
1787295014.836,11991240.0,11994848.0,11988800.0
1787295019.928,11991480.0,11993409.0,11991480.0
1787295024.987,11988538.0,11993229.0,11988375.0
1787295030.040,11988430.0,11991890.0,11988375.0
1787295035.091,11984878.0,11988400.0,11986961.0
1787295040.220,11981368.0,11985316.0,11984068.0
1787295045.570,11979678.0,11983480.0,11984068.0
1787295050.628,11979776.0,11984829.0,11984068.0
1787295055.688,11979233.0,11983797.0,11981976.0
1787295060.765,11979345.0,11982023.0,11979311.0
1787295065.830,11980019.0,11981790.0,11980439.0
1787295070.886,11978160.0,11982194.0,11983408.0
