date,product,month,night_open,night_high,night_low,night_close,day_open,day_high,day_low,day_close,day_volume,settlement
20260825,mini,202712,65550,65975,65100,65500,65345,66065,64800,66065,121,66050.00
20260825,mini,202812,66380,66380,65750,66040,65825,66550,65825,66550,11,66570.00
20260825,micro,202609,65405,65955,64855,65350,65265,65955,64605,65905,642799,65940
20260825,micro,202610,65100,65580,64590,64710,65095,65630,64300,65600,6051,65545
20260825,micro,202611,65155,65625,64700,65105,64960,65730,64425,65730,390,65685
20260825,micro,202612,65225,65800,64715,65150,65145,65805,64455,65715,42993,65740
20260826,large,202609,65840,66370,65560,65970,65920,66510,65380,66410,19340,66410.00
20260826,large,202612,65650,66150,65430,66000,65810,66350,65300,66250,512,66250.00
20260826,large,202703,65980,66000,65980,66000,65600,66330,65600,66330,10,66440.00
20260826,mini,202609,65850,66375,65560,66000,65915,66505,65380,66400,362194,66410.00
20260826,mini,202610,65490,66030,65260,65795,65560,66185,65070,66030,3301,66030.00
20260826,mini,202611,65590,66130,65560,65840,65655,65655,65200,65200,68,66240.00
20260826,mini,202612,65700,66220,65420,65890,65800,66360,65240,66245,11987,66250.00
20260826,mini,202701,65795,65800,65795,65800,65915,65915,65915,65915,5,66270.00
20260826,mini,202703,65900,66440,65650,66215,66040,66575,65495,66495,513,66440.00
20260826,mini,202706,65860,66300,65800,65965,65865,66405,65500,66310,51,66320.00
20260826,mini,202709,66160,66575,65870,66150,66100,66610,65655,66610,30,66580.00
20260826,mini,202712,66095,66440,65795,66140,66100,66610,65550,66340,85,66510.00
20260826,mini,202812,66850,66900,66850,66900,66995,67120,66995,67120,5,67060.00
20260826,micro,202609,65845,66375,65555,65980,65950,66510,65380,66390,581311,66410
20260826,micro,202610,65485,66045,65250,65795,65750,66190,65075,66060,4055,66030
20260826,micro,202611,65605,66120,65400,65875,65875,66285,65230,66125,357,66240
20260826,micro,202612,65680,66225,65420,65945,65800,66365,65240,66245,36508,66250
20260827,large,202609,66260,66410,65750,66120,67000,67180,65770,66150,21848,66150.00
20260827,large,202612,66140,66200,65770,65990,66810,67040,65630,66000,358,66000.00
20260827,mini,202609,66250,66410,65750,66120,66990,67185,65760,66150,414950,66150.00
20260827,mini,202610,65870,66060,65440,65775,66700,66860,65450,65875,3618,65875.00
20260827,mini,202611,66005,66145,65550,65700,66690,66845,65800,65800,50,65910.00
20260827,mini,202612,66105,66265,65615,66000,66800,67045,65615,65970,12595,66000.00
20260827,mini,202703,66320,66450,65915,66225,67010,67230,65900,66175,644,66230.00
20260827,mini,202706,66250,66350,65800,66025,66810,67155,65780,66355,146,66100.00
20260827,mini,202709,66470,66545,65990,66260,67045,67100,66355,66355,45,66350.00
20260827,mini,202712,66370,66505,65885,66190,67005,67260,65880,66410,76,66270.00
20260827,mini,202812,67000,67000,66980,66980,67350,67350,66615,66790,11,66780.00
20260827,micro,202609,66255,66410,65750,66145,66950,67190,65755,66120,613034,66150
20260827,micro,202610,65905,66065,65430,65830,66605,66850,65450,65800,4314,65875
20260827,micro,202611,66090,66170,65410,65955,66500,66910,65600,65895,390,65910
20260827,micro,202612,66135,66260,65615,66015,66800,67040,65620,66010,36959,66000
20260828,large,202609,66160,66460,65670,66150,65950,66860,65890,66450,19027,66450.00
20260828,large,202612,66150,66300,65700,65750,65750,66700,65750,66310,278,66310.00
20260828,mini,202609,66160,66465,65670,66180,65950,66860,65880,66450,407573,66450.00
20260828,mini,202610,65875,66130,65365,65800,65645,66535,65570,66160,3201,66160.00
20260828,mini,202611,65830,65850,65500,65850,66050,66435,66050,66140,19,66140.00
20260828,mini,202612,66060,66315,65535,66045,65850,66715,65745,66310,14519,66310.00
20260828,mini,202703,66430,66530,65900,66205,66195,66950,65995,66500,569,66540.00
20260828,mini,202706,66165,66380,65700,66115,65955,66780,65955,66390,112,66400.00
20260828,mini,202709,66655,66655,66290,66290,66615,67085,66495,66845,27,66660.00
20260828,mini,202712,66485,66515,65880,66150,66145,66950,66145,66500,110,66580.00
20260828,mini,202812,67000,67000,66700,66700,67200,67400,67110,67110,7,67100.00
20260828,micro,202609,66170,66465,65670,66180,65975,66860,65875,66455,597846,66450
20260828,micro,202610,65865,66150,65350,65740,65635,66540,65580,66160,3581,66160
20260828,micro,202611,66000,66215,65500,65585,65750,66600,65740,66230,196,66140
20260828,micro,202612,66000,66315,65535,65980,65830,66720,65745,66305,39823,66310
20260831,large,202609,66550,66850,65660,65830,65380,66470,64600,66450,29225,66450.00
20260831,large,202612,66450,66680,65550,65720,65550,66310,64490,66310,727,66310.00
20260831,large,202703,66540,66540,66540,66540,64970,65220,64800,65220,9,66550.00
20260831,mini,202609,66550,66850,65665,65835,65395,66470,64610,66440,508965,66450.00
20260831,mini,202610,66165,66520,65350,65515,65100,66180,64300,66180,3955,66180.00
20260831,mini,202611,66360,66520,65455,65535,64895,65975,64435,65975,78,66225.00
20260831,mini,202612,66400,66700,65525,65735,65270,66320,64460,66300,23368,66310.00
20260831,mini,202701,65955,66145,65650,65650,65155,66110,65155,66110,9,66385.00
20260831,mini,202703,66690,66945,65780,65870,65505,66500,64740,66500,733,66550.00
20260831,mini,202706,66550,66700,65650,65650,65500,66400,64600,66400,157,66400.00
20260831,mini,202709,66855,67010,65900,65950,65290,66610,64890,66610,42,66660.00
20260831,mini,202712,66750,66900,65775,65900,65615,66565,64800,66565,176,66580.00
20260831,mini,202812,67290,67495,66640,66640,66325,66760,65750,66760,24,67100.00
20260831,micro,202609,66540,66850,65655,65810,65380,66470,64615,66450,733629,66450
20260831,micro,202610,66245,66530,65350,65355,65260,66140,64280,66105,6078,66180
20260831,micro,202611,66385,66600,65460,65460,65400,66285,64440,66285,353,66225
20260831,micro,202612,66395,66700,65530,65730,65400,66320,64465,66300,60842,66310
20260901,large,202609,66370,66540,65720,65820,65850,66560,65580,66150,18884,66150.00
20260901,large,202612,66230,66300,65590,65690,65710,66400,65480,66070,707,66070.00
20260901,mini,202609,66370,66525,65720,65810,65840,66555,65570,66160,397118,66150.00
20260901,mini,202610,66005,66200,65410,65525,65525,66230,65265,65820,3311,65820.00
20260901,mini,202611,66195,66200,66000,66045,65555,66230,65390,65925,27,65925.00
20260901,mini,202612,66205,66380,65585,65700,65700,66405,65435,66035,18616,66070.00
20260901,mini,202701,66240,66240,65890,65890,65990,66360,65990,66360,4,66115.00
20260901,mini,202703,66435,66600,65875,65970,65970,66630,65680,66215,489,66240.00
20260901,mini,202706,66400,66400,65750,65750,65750,66500,65550,66500,71,66100.00
20260901,mini,202709,66570,66640,66070,66070,65850,66675,65850,66500,18,66370.00
20260901,mini,202712,66500,66565,65900,65990,66000,66665,65750,66300,108,66290.00
20260901,mini,202812,67060,67060,67060,67060,67060,67155,67060,67155,3,66830.00
20260901,micro,202609,66355,66520,65720,65810,65820,66555,65565,66200,587993,66150
20260901,micro,202610,66060,66210,65415,65550,65510,66230,65260,65850,3698,65820
20260901,micro,202611,66080,66290,65510,65645,65650,66330,65395,66145,255,65925
20260901,micro,202612,66250,66380,65585,65710,65700,66405,65425,66050,54145,66070
