date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2011-12-12,2011-12-13,760.0,758.0,746.0,-26.31578947368429,-158.311345646438,1.0,26.385224274406333,-158.311345646438,-184.69656992084435,False,False,False,False,False,False,False,False,False,True,True,0,12,era1,61.28760968370886,mid
2011-12-13,2011-12-14,746.0,752.0,747.0,80.42895442359254,-66.48936170212782,1.0,26.595744680851062,-66.48936170212782,-93.08510638297889,False,False,False,False,False,False,False,False,False,True,True,1,12,era1,61.853126242558524,mid
2011-12-14,2011-12-15,747.0,749.0,742.0,26.773761713521083,-93.45794392523365,1.0,26.7022696929239,-93.45794392523365,-120.16021361815754,False,False,False,False,False,False,False,False,False,True,True,2,12,era1,61.61038633269021,mid
2011-12-15,2011-12-16,742.0,736.0,738.0,-80.86253369272268,27.173913043478937,1.0,27.17391304347826,27.173913043478937,6.750155989720952e-13,False,False,False,False,False,False,False,False,False,True,True,3,12,era1,62.72693301671514,mid
2011-12-16,2011-12-19,738.0,734.0,730.0,-54.200542005420346,-54.4959128065392,1.0,27.247956403269754,-54.4959128065392,-81.74386920980896,False,False,False,False,False,False,False,False,False,True,True,4,12,era1,63.49757006292626,mid
2011-12-19,2011-12-20,730.0,727.0,728.0,-41.09589041095929,13.755158184318717,1.0,27.51031636863824,13.755158184318717,-13.755158184319523,False,False,False,False,False,False,False,False,False,True,True,0,12,era1,64.75428101986513,mid
2011-12-20,2011-12-21,728.0,730.0,740.0,27.472527472527375,136.98630136986355,1.0,27.397260273972602,136.98630136986355,109.58904109589095,False,False,False,False,False,False,False,False,False,True,True,1,12,era1,64.82644942019301,mid
2011-12-21,2011-12-22,740.0,737.0,736.0,-40.54054054054013,-13.568521031207537,1.0,27.137042062415194,-13.568521031207537,-40.70556309362273,False,False,False,False,False,False,False,False,False,True,True,2,12,era1,62.871284297599544,mid
2011-12-22,2011-12-26,736.0,734.0,743.0,-27.173913043477825,122.61580381471404,1.0,27.247956403269754,122.61580381471404,95.36784741144429,False,False,False,False,False,False,False,False,False,True,True,3,12,era1,63.17866990049262,mid
2011-12-26,2011-12-27,743.0,738.0,735.0,-67.29475100942128,-40.650406504064705,1.0,27.100271002710027,-40.650406504064705,-67.75067750677474,False,False,False,False,False,False,False,False,False,True,True,0,12,era1,65.07223695837735,mid
