cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_000044,2023-06-26,1687742459856,1687742489268,29412,long,6,False,,False,,1687742489268,29966.9,1687742489268,29966.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000045,2023-06-26,1687742669146,1687742669146,0,short,1,False,,True,time_resolution,1687742669146,30172.9,1687742669146,30173.8,0,-0.2982720108166082,0.29839953282939247,0.29918147013258434,0.2994948381795055,0.2985428715259335,0.29802092096197796,0.2984469828806606
binance_cm_real_000046,2023-06-26,1687744648187,1687744648187,0,long,1,True,time_resolution,True,time_resolution,1687744648187,30160.3,1687744648187,30160.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000047,2023-06-26,1687751597598,1687751597598,0,short,1,False,,True,time_resolution,1687751597602,30289.1,1687751597510,30288.7,4,0.13206245233298794,-0.13206768441128663,-0.13219325429045803,-0.13206942843738634,-0.13180477247677302,-0.13187278949465764,-0.1324504981401482
binance_cm_real_000048,2023-06-26,1687756897203,1687756897203,0,long,1,True,time_resolution,True,time_resolution,1687756897203,30164.2,1687756897203,30164.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000049,2023-06-26,1687761884693,1687761905985,21292,short,2,False,,False,,1687761905985,30344.0,1687761905985,30344.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000050,2023-06-26,1687762245977,1687762245977,0,short,1,True,time_resolution,True,time_resolution,1687762245977,30378.2,1687762245977,30378.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000051,2023-06-26,1687762380032,1687762383433,3401,short,2,False,,False,,1687762383433,30415.1,1687762383433,30415.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000052,2023-06-26,1687762698258,1687762698258,0,short,1,True,price_tick,True,time_resolution,1687762699045,30463.4,1687762698212,30463.4,787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000053,2023-06-26,1687762791765,1687762868132,76367,short,3,False,,False,,1687762868132,30520.3,1687762868132,30520.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000054,2023-06-26,1687762981006,1687762981006,0,short,1,False,,True,time_resolution,1687762981017,30566.6,1687762980967,30566.7,11,-0.03271534055105157,0.032675632532024323,0.03265733045317276,0.03267788015574169,0.03250406392150751,0.03255800689074562,0.032414051943050026
binance_cm_real_000055,2023-06-26,1687764843040,1687764850624,7584,long,2,False,,False,,1687764850624,30350.1,1687764850624,30350.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000056,2023-06-26,1687765067330,1687765067330,0,long,1,True,time_resolution,True,time_resolution,1687765067330,30275.4,1687765067330,30275.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000057,2023-06-26,1687773318418,1687773318418,0,long,1,True,time_resolution,True,time_resolution,1687773318418,30233.3,1687773318418,30233.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000058,2023-06-26,1687773667796,1687773667796,0,long,1,True,time_resolution,True,time_resolution,1687773667796,30224.5,1687773667796,30224.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000059,2023-06-26,1687773851902,1687773853142,1240,long,2,False,,False,,1687773853142,30210.3,1687773853142,30210.0,0,0.09930486593819013,-0.0992907313243816,-0.09914576935485897,-0.09919967811450014,-0.09943142003856664,-0.09956191868233333,-0.10032321555630119
binance_cm_real_000060,2023-06-26,1687773988969,1687773988969,0,long,1,True,time_resolution,True,time_resolution,1687773988969,30174.4,1687773988969,30174.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000061,2023-06-26,1687774130811,1687774194712,63901,long,4,False,,False,,1687774194712,30123.5,1687774194712,30123.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000062,2023-06-26,1687775217620,1687775217620,0,short,1,True,time_resolution,True,time_resolution,1687775217620,30246.7,1687775217620,30246.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000063,2023-06-26,1687776123294,1687776123294,0,short,1,True,time_resolution,True,time_resolution,1687776123294,30255.3,1687776123294,30255.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000064,2023-06-26,1687783396168,1687783396168,0,short,1,True,time_resolution,True,time_resolution,1687783396168,30380.0,1687783396168,30380.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000065,2023-06-26,1687786454235,1687786473329,19094,short,2,False,,False,,1687786473329,30449.6,1687786473329,30449.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000066,2023-06-26,1687786595710,1687786601945,6235,short,2,False,,False,,1687786601945,30479.1,1687786601945,30479.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000067,2023-06-26,1687786728809,1687786806851,78042,short,5,False,,False,,1687786806851,30537.1,1687786806851,30537.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000068,2023-06-26,1687787828238,1687787866297,38059,short,3,False,,False,,1687787866297,30595.6,1687787866297,30595.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000069,2023-06-26,1687787952324,1687787965129,12805,short,3,False,,False,,1687787965129,30622.9,1687787965129,30622.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000070,2023-06-26,1687789137992,1687789137992,0,long,1,True,time_resolution,True,time_resolution,1687789137992,30492.5,1687789137992,30492.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000071,2023-06-26,1687789211082,1687789211082,0,long,1,False,,True,time_resolution,1687789211082,30455.5,1687789211082,30454.1,0,0.45970821662812406,-0.4601157660641526,-0.4609821859763059,-0.45911500578234943,-0.4583255674303395,-0.4589323632573148,-0.45411271381570373
binance_cm_real_000072,2023-06-26,1687790508527,1687790508527,0,long,1,True,time_resolution,True,time_resolution,1687790508527,30371.8,1687790508527,30371.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000073,2023-06-26,1687790570232,1687790662106,91874,long,5,False,,False,,1687790662106,30258.1,1687790662106,30258.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000074,2023-06-26,1687791397283,1687791397283,0,short,1,True,time_resolution,True,time_resolution,1687791397283,30396.1,1687791397283,30396.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000075,2023-06-26,1687796809707,1687796809707,0,long,1,True,time_resolution,True,time_resolution,1687796809707,30329.6,1687796809707,30329.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000076,2023-06-26,1687797017139,1687797036400,19261,long,2,False,,False,,1687797036400,30270.0,1687797036400,30270.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000077,2023-06-26,1687797457286,1687797465273,7987,long,2,False,,False,,1687797465273,30222.6,1687797465273,30222.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000078,2023-06-26,1687797894610,1687797969748,75138,long,11,False,,False,,1687797969748,30002.3,1687797969748,30002.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000079,2023-06-26,1687798046246,1687798047980,1734,long,2,False,,False,,1687798047980,29996.5,1687798047980,29996.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000080,2023-06-26,1687799793892,1687799798454,4562,long,4,False,,False,,1687799798459,29928.8,1687799798448,29929.0,5,-0.06682481873792227,0.06696146567688288,0.06723029396856361,0.06727606622752091,0.0672515055032008,0.06717425086124962,0.0674086941388623
binance_cm_real_000081,2023-06-26,1687805063434,1687805063434,0,short,1,True,time_resolution,True,time_resolution,1687805063434,30194.9,1687805063434,30194.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000082,2023-06-26,1687805194201,1687805231503,37302,short,3,False,,False,,1687805231503,30223.5,1687805231503,30223.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000083,2023-06-26,1687808750627,1687808750627,0,short,1,False,,True,time_resolution,1687808750627,30226.3,1687808750627,30226.5,0,-0.06616710502397817,0.0661655726838136,0.06623912501171603,0.06625641856500053,0.06623846829450031,0.0660022690034161,0.06621460756907993
binance_cm_real_000084,2023-06-26,1687808888703,1687808888703,0,short,1,True,time_resolution,True,time_resolution,1687808888703,30254.9,1687808888703,30254.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000085,2023-06-26,1687809175553,1687809175553,0,short,1,True,time_resolution,True,time_resolution,1687809175553,30272.3,1687809175553,30272.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
