ts,open,high,low,close,volume,buy_vol,sell_vol,trades
2026-08-19 16:31:00+00:00,10882271.0,10891722.0,10882271.0,10887063.0,0.61002006,0.37752026,0.2324998,42
2026-08-19 16:32:00+00:00,10888541.0,10891722.0,10886199.0,10888027.0,0.5673360900000001,0.32809201,0.23924408000000003,31
2026-08-19 16:33:00+00:00,10889804.0,10893950.0,10881086.0,10884231.0,1.27018327,0.74558194,0.52460133,55
2026-08-19 16:34:00+00:00,10881901.0,10884878.0,10873951.0,10883463.0,1.28309458,0.7284745800000001,0.55462,52
2026-08-19 16:35:00+00:00,10881639.0,10888888.0,10878600.0,10888888.0,0.92141614,0.20043484,0.7209813,33
2026-08-19 16:36:00+00:00,10888888.0,10888888.0,10881275.0,10881275.0,0.5216708,0.3375605,0.1841103,42
2026-08-19 16:37:00+00:00,10884370.0,10885509.0,10879668.0,10882205.0,0.19201257,0.12811257,0.0639,16
2026-08-19 16:38:00+00:00,10883449.0,10886864.0,10880046.0,10882217.0,0.66721914,0.61478743,0.05243171,37
2026-08-19 16:39:00+00:00,10878714.0,10879135.0,10869196.0,10870798.0,2.87803551,0.15163322,2.72640229,41
2026-08-19 16:40:00+00:00,10866853.0,10867317.0,10855187.0,10857482.0,2.7598342000000002,0.387,2.3728342000000002,63
2026-08-19 16:41:00+00:00,10858195.0,10863619.0,10852813.0,10861344.0,1.50065681,0.9745681199999999,0.52608869,63
2026-08-19 16:42:00+00:00,10863061.0,10870824.0,10861745.0,10863802.0,1.2326795,0.7190706,0.5136089,39
2026-08-19 16:43:00+00:00,10865411.0,10865411.0,10847069.0,10858663.0,1.99351205,0.3047885,1.68872355,80
2026-08-19 16:44:00+00:00,10858172.0,10859081.0,10856050.0,10857653.0,0.1417004,0.11563999999999999,0.0260604,15
2026-08-19 16:45:00+00:00,10852444.0,10862295.0,10852272.0,10862295.0,0.33601853,0.18460142000000002,0.15141711,26
2026-08-19 16:46:00+00:00,10862300.0,10862758.0,10858700.0,10862758.0,0.33288542000000004,0.26107032,0.0718151,20
2026-08-19 16:47:00+00:00,10860633.0,10863744.0,10860633.0,10863744.0,0.06348993,0.043000000000000003,0.02048993,9
2026-08-19 16:48:00+00:00,10866152.0,10870395.0,10863599.0,10870395.0,1.09756605,0.58005598,0.5175100699999999,37
2026-08-19 16:49:00+00:00,10870268.0,10872171.0,10867809.0,10867955.0,0.56943249,0.34003369,0.22939879999999999,19
2026-08-19 16:50:00+00:00,10865838.0,10865838.0,10861147.0,10861147.0,0.1061198,0.0612578,0.044862,12
2026-08-19 16:51:00+00:00,10862397.0,10864020.0,10853058.0,10855362.0,0.22307796,0.12567796,0.0974,20
