kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,bundle_n_events,bundle_total_qty,bundle_n_events_dedup,bundle_total_qty_dedup
liq,1687670378099,SELL,240.0,30844.5,30844.5,30845.5,20.0,-93.3272,-13.7958,0.018865,-37.9339,20,3658165.0,2023-06-25,2,245.0,2,245.0
control,1687671573405,,,30872.1,,30872.1,85.0,7.2381,-22.7236,0.090902,-42.1578,20,3692084.0,2023-06-25,,,,
control,1687672621340,,,30878.4,,30878.4,85.0,5.1964,-24.7592,0.094616,-42.1613,20,3721529.0,2023-06-25,,,,
liq,1687672990202,SELL,12.0,30808.3,30808.3,30808.3,5.0,27.9618,-2.062,0.008828,-18.356,20,3731508.0,2023-06-25,1,12.0,1,12.0
liq,1687673308098,SELL,64.0,30775.1,30775.1,30775.1,40.0,38.7799,89.0743,0.033021,-6.8086,20,3849300.0,2023-06-25,1,64.0,1,64.0
liq,1687674331386,BUY,1.0,30932.5,30932.5,30932.3,85.0,-12.3024,37.7361,0.086478,-54.3658,20,4028825.0,2023-06-25,1,1.0,1,1.0
liq,1687674459235,BUY,2.0,30985.7,30985.7,30985.6,55.0,-29.4505,20.5021,0.048913,-70.0885,20,4096828.0,2023-06-25,1,2.0,1,2.0
control,1687674806806,,,30912.0,,30912.0,90.0,4.3155,44.3928,0.100309,-44.1189,20,4152662.0,2023-06-25,,,,
control,1687675461282,,,30854.1,,30854.1,85.0,13.0763,63.2419,0.102202,-22.6238,20,4244995.0,2023-06-25,,,,
liq,1687677610326,SELL,1.0,30765.5,30765.5,30765.6,45.0,31.8805,92.2225,0.04154,10.1988,20,4328247.0,2023-06-25,2,121.0,2,121.0
control,1687680255258,,,30725.7,,30725.7,55.0,-5.1989,-84.7987,0.044424,22.3224,20,4785355.0,2023-06-25,,,,
control,1687681654436,,,30753.6,,30753.6,70.0,-14.2663,-64.0455,0.063515,16.4877,20,4701117.0,2023-06-25,,,,
liq,1687682629185,SELL,3.0,30676.5,30676.5,30676.5,42.1053,10.8311,-39.0732,0.042407,44.2572,19,4639632.0,2023-06-25,1,3.0,1,3.0
control,1687684110114,,,30699.6,,30699.6,94.7368,3.2984,-56.5118,0.13118,37.0215,19,4737483.0,2023-06-25,,,,
liq,1687684974232,SELL,1.0,30638.4,30638.4,30638.4,29.4118,23.28,-16.7131,0.042417,58.2773,17,4721613.0,2023-06-25,2,65.0,2,65.0
liq,1687685325309,SELL,319.0,30610.4,30610.4,30610.4,53.3333,32.4485,133.2256,0.059927,67.2964,15,4746559.0,2023-06-25,2,321.0,2,321.0
liq,1687685482890,SELL,7.0,30591.9,30591.9,30589.0,0.0,38.5154,-1.5384,0.002779,73.1739,16,4760851.0,2023-06-25,2,21.0,2,21.0
control,1687688433196,,,30618.0,,30618.0,18.75,29.9582,-10.0615,0.025722,64.6779,16,4814827.0,2023-06-25,,,,
control,1687690582808,,,30636.5,,30636.5,43.75,23.9016,-16.094,0.045246,58.4488,16,4793278.0,2023-06-25,,,,
control,1687691008104,,,30618.5,,30618.5,25.0,29.7944,-10.2247,0.041217,64.3298,16,4792798.0,2023-06-25,,,,
control,1687692484037,,,30618.7,,30618.7,50.0,29.7289,-10.2899,0.05286,63.9773,16,4769895.0,2023-06-25,,,,
control,1687695422507,,,30706.0,,30706.0,93.75,1.2135,-38.6916,0.164565,32.8271,16,4563914.0,2023-06-25,,,,
liq,1687699622275,SELL,46.0,30537.3,30537.3,30537.3,0.0,46.4177,-3.6641,0.000115,66.274,16,3648349.0,2023-06-25,1,46.0,1,46.0
liq,1687700201143,SELL,79.0,30520.4,30520.4,30520.4,11.7647,51.9806,-8.1207,0.007251,68.2604,17,3744517.0,2023-06-25,1,79.0,1,79.0
liq,1687705323149,SELL,176.0,30482.5,30482.5,30482.6,15.3846,64.4786,104.797,0.012559,59.3577,13,3561925.0,2023-06-25,4,611.0,4,611.0
control,1687705765861,,,30551.6,,30551.6,46.1538,41.7153,-28.2963,0.082073,32.6729,13,3780198.0,2023-06-25,,,,
liq,1687706143423,BUY,10.0,30628.2,30628.2,30628.2,69.2308,16.6014,-53.2352,0.128146,6.6613,13,3889408.0,2023-06-25,1,10.0,1,10.0
control,1687708151619,,,30617.1,,30617.1,90.9091,0.2224,-49.6291,0.154399,4.7669,11,3671620.0,2023-06-25,,,,
control,1687708918050,,,30572.9,,30572.9,90.9091,4.6753,-35.2436,0.16184,18.4667,11,3658762.0,2023-06-25,,,,
liq,1687709294479,BUY,1.0,30652.3,30652.3,30652.2,72.7273,-11.2615,38.7822,0.138874,-8.0215,11,3638805.0,2023-06-25,1,1.0,1,1.0
control,1687713775295,,,30601.7,,30601.7,90.0,-4.7404,-44.6217,0.188793,2.4103,10,3682512.0,2023-06-25,,,,
liq,1687715107083,SELL,30.0,30500.0,30500.0,30500.0,20.0,28.5881,-11.4262,0.032295,34.8949,10,3564458.0,2023-06-25,1,30.0,1,30.0
control,1687715798559,,,30533.8,,30533.8,40.0,17.4867,-22.4832,0.100782,22.6555,10,3586538.0,2023-06-25,,,,
liq,1687716192074,SELL,2.0,30481.6,30481.6,30481.9,20.0,34.6418,-5.3967,0.041231,39.1825,10,3616250.0,2023-06-25,1,2.0,1,2.0
liq,1687716309490,SELL,10.0,30442.4,30442.4,30442.4,0.0,37.5256,-2.5243,0.004322,51.5528,11,3644583.0,2023-06-25,2,43.0,2,43.0
liq,1687716637676,SELL,1.0,30437.0,30437.0,30437.0,9.0909,39.3064,-0.7506,0.009717,52.1496,11,3711704.0,2023-06-25,6,208.0,6,208.0
liq,1687716790204,SELL,1933.0,30351.2,30351.2,30353.2,0.0,67.6866,-2.5061,0.000275,76.4207,14,3939085.0,2023-06-25,2,1936.0,2,1936.0
liq,1687717887420,SELL,16.0,30355.3,30355.3,30355.4,7.1429,66.3268,-3.8565,0.00681,70.4906,14,4135042.0,2023-06-25,3,3067.0,3,3067.0
control,1687719248957,,,30458.4,,30458.4,14.2857,32.2528,-37.6929,0.037335,33.2908,14,4239772.0,2023-06-25,,,,
control,1687719556403,,,30462.8,,30462.8,21.4286,30.8038,-39.1318,0.041017,31.5844,14,4238061.0,2023-06-25,,,,
control,1687722917231,,,30395.3,,30395.3,57.1429,53.0796,-17.0113,0.066262,48.8907,14,4386443.0,2023-06-25,,,,
liq,1687723563231,BUY,3.0,30485.2,30485.2,30485.1,14.2857,23.4333,-46.4509,0.037307,17.4948,14,4358439.0,2023-06-25,1,3.0,1,3.0
control,1687724639301,,,30494.9,,30494.9,28.5714,20.245,-49.617,0.054474,12.4641,14,4387026.0,2023-06-25,,,,
control,1687725345460,,,30489.4,,30489.4,42.8571,22.0526,-47.822,0.065736,13.6704,14,4399304.0,2023-06-25,,,,
liq,1687726358082,SELL,1.0,30376.8,30376.8,30376.7,71.4286,59.2021,-10.9315,0.092627,49.7515,14,4460354.0,2023-06-25,8,127.0,8,127.0
control,1687728525343,,,30466.6,,30466.6,43.75,29.5527,-60.2636,0.062339,14.5344,16,4425208.0,2023-06-25,,,,
control,1687730160358,,,30449.3,,30449.3,68.75,35.2511,-54.6163,0.097294,17.3859,16,4154260.0,2023-06-25,,,,
control,1687731603429,,,30525.0,,30525.0,60.0,10.3643,50.4659,0.095192,-10.6334,15,4281981.0,2023-06-25,,,,
liq,1687732427835,BUY,1.0,30563.5,30563.5,30563.3,93.3333,-2.2455,37.8056,0.132976,-23.9248,15,4286583.0,2023-06-25,1,1.0,1,1.0
control,1687733863603,,,30510.2,,30510.2,46.1538,5.2149,45.2959,0.099266,-9.0365,13,4106311.0,2023-06-25,,,,
control,1687734359208,,,30494.4,,30494.4,38.4615,-19.5723,50.5006,0.093789,-4.9357,13,3852994.0,2023-06-25,,,,
control,1687736208833,,,30443.8,,30443.8,92.3077,-2.9841,-52.8195,0.146759,7.8662,13,3527066.0,2023-06-25,,,,
control,1687736542860,,,30450.0,,30450.0,69.2308,-5.0196,-54.8449,0.115481,5.5542,13,3511464.0,2023-06-25,,,,
control,1687736819263,,,30462.8,,30462.8,69.2308,-9.2193,-59.0237,0.11899,0.7563,13,3484314.0,2023-06-25,,,,
control,1687737357667,,,30459.4,,30459.4,76.9231,-8.1041,-57.914,0.126864,0.8651,13,3424103.0,2023-06-25,,,,
liq,1687738315726,SELL,49.0,30426.0,30426.0,30426.0,91.6667,2.8645,-37.0472,0.159376,11.0681,12,3479907.0,2023-06-26,1,49.0,1,49.0
control,1687739773078,,,30510.8,,30510.8,58.3333,-14.9619,-64.7376,0.128765,-17.8177,12,3505725.0,2023-06-26,,,,
control,1687739777166,,,30510.8,,30510.8,58.3333,-14.9619,-64.7376,0.128765,-17.8177,12,3505725.0,2023-06-26,,,,
control,1687740759382,,,30481.9,,30481.9,83.3333,4.4995,-55.318,0.152881,-8.7853,12,3537072.0,2023-06-26,,,,
liq,1687741143841,SELL,65.0,30400.4,30400.4,30400.4,58.3333,11.2878,-28.6574,0.129305,17.4426,12,3562611.0,2023-06-26,1,65.0,1,65.0
liq,1687741295608,SELL,154.0,30374.8,30374.8,30374.9,66.6667,19.7254,-30.2233,0.138954,25.3502,12,3585311.0,2023-06-26,5,238.0,5,238.0
liq,1687741510249,SELL,15.0,30300.2,30300.2,30300.3,33.3333,44.3942,-5.6774,0.038053,48.2548,12,3705837.0,2023-06-26,1,15.0,1,15.0
liq,1687742000248,SELL,1.0,30259.0,30259.0,30259.3,0.0,58.0705,-2.0673,0.000897,60.1609,13,3808510.0,2023-06-26,12,1359.0,12,1359.0
liq,1687742459856,SELL,13.0,30032.7,30032.7,30032.8,28.5714,133.8592,63.2051,0.02158,111.2199,21,4902321.0,2023-06-26,6,316.0,6,316.0
liq,1687742669146,BUY,5.0,30173.4,30173.4,30172.8,60.8696,86.6046,26.2962,0.040187,56.1294,23,5255651.0,2023-06-26,1,5.0,1,5.0
liq,1687744648187,SELL,13.0,30160.3,30160.3,30160.3,47.619,70.8339,-59.1751,0.044746,53.9589,21,5841544.0,2023-06-26,1,13.0,1,13.0
control,1687746551746,,,30146.5,,30146.5,76.1905,95.6049,-54.6245,0.064764,52.0226,21,5521626.0,2023-06-26,,,,
control,1687747091567,,,30209.8,,30209.8,42.8571,-5.783,-75.4635,0.036359,29.6558,21,5533250.0,2023-06-26,,,,
liq,1687751597598,BUY,13.0,30288.7,30288.7,30288.7,52.381,-31.8172,88.461,0.054915,-1.554,21,5468505.0,2023-06-26,1,13.0,1,13.0
control,1687753081731,,,30253.8,,30253.8,42.8571,-20.3182,-89.8974,0.048776,7.7393,21,5453005.0,2023-06-26,,,,
control,1687753401311,,,30230.0,,30230.0,76.1905,-12.4612,-82.0952,0.067741,15.0951,21,5446213.0,2023-06-26,,,,
liq,1687756897203,SELL,1.0,30164.3,30164.3,30164.2,85.7143,-0.707,69.4984,0.081173,32.9327,21,5357887.0,2023-06-26,1,1.0,1,1.0
control,1687757761731,,,30195.3,,30195.3,95.2381,-0.9837,59.1606,0.124877,21.2319,21,5329753.0,2023-06-26,,,,
control,1687758983271,,,30209.1,,30209.1,90.4762,4.443,54.5654,0.103917,15.958,21,5413529.0,2023-06-26,,,,
control,1687759054585,,,30211.9,,30211.9,90.4762,3.5158,53.6336,0.106126,14.9735,21,5423958.0,2023-06-26,,,,
control,1687759412674,,,30205.0,,30205.0,95.2381,-4.1948,65.9861,0.128201,15.8528,21,5314510.0,2023-06-26,,,,
control,1687759697351,,,30213.5,,30213.5,90.4762,2.9861,63.1543,0.113217,12.3698,21,5288187.0,2023-06-26,,,,
control,1687760064914,,,30223.3,,30223.3,90.4762,-0.2574,59.8912,0.118876,8.4569,21,5278363.0,2023-06-26,,,,
control,1687761279743,,,30296.4,,30296.4,76.1905,-24.3851,35.6185,0.079301,-18.0027,21,5214570.0,2023-06-26,,,,
liq,1687761884693,BUY,173.0,30337.6,30337.6,30337.6,28.5714,-17.9984,21.9896,0.024465,-32.1102,21,5242134.0,2023-06-26,2,174.0,2,174.0
liq,1687762245977,BUY,3.0,30378.2,30378.2,30378.1,19.0476,-31.3392,8.5953,0.016666,-45.0045,21,5354564.0,2023-06-26,1,3.0,1,3.0
liq,1687762380032,BUY,41.0,30408.5,30408.5,30408.5,9.5238,-41.2722,-1.3775,0.011682,-54.5905,21,5404247.0,2023-06-26,2,45.0,2,45.0
liq,1687762698258,BUY,37.0,30463.4,30463.4,30463.4,47.619,-59.2195,30.6062,0.039122,-71.4508,21,5503347.0,2023-06-26,1,37.0,1,37.0
liq,1687762791765,BUY,131.0,30480.0,30480.0,30479.9,57.1429,-64.6334,25.1434,0.044789,-76.4863,21,5532402.0,2023-06-26,3,211.0,3,211.0
liq,1687762981006,BUY,306.0,30566.7,30566.7,30566.7,4.7619,-92.8143,-3.2921,0.005008,-103.5257,21,5594762.0,2023-06-26,1,306.0,1,306.0
control,1687764342651,,,30437.9,,30437.9,45.4545,-50.8914,49.0486,0.04009,-55.2647,22,6041958.0,2023-06-26,,,,
liq,1687764843040,SELL,7.0,30353.3,30353.3,30353.8,31.8182,-23.1615,77.0571,0.028454,-26.0587,22,6260934.0,2023-06-26,2,365.0,2,365.0
liq,1687765067330,SELL,63.0,30275.4,30275.4,30275.4,86.3636,2.5094,-96.9678,0.076492,-0.2716,22,6370495.0,2023-06-26,1,63.0,1,63.0
control,1687766724985,,,30372.9,,30372.9,36.3636,-29.5996,70.5542,0.032092,-32.3419,22,6533405.0,2023-06-26,,,,
control,1687769319485,,,30354.5,,30354.5,77.2727,-13.5794,76.6587,0.072595,-29.1145,22,6507499.0,2023-06-26,,,,
control,1687771483707,,,30308.5,,30308.5,75.0,-28.3676,-58.2228,0.092917,1.7419,16,4800419.0,2023-06-26,,,,
control,1687772603402,,,30330.8,,30330.8,81.25,-35.699,-65.5322,0.096615,-3.3484,16,4320436.0,2023-06-26,,,,
control,1687772668746,,,30330.7,,30330.7,81.25,-35.6662,-65.4995,0.096927,-3.2585,16,4306761.0,2023-06-26,,,,
control,1687772833426,,,30330.7,,30330.7,81.25,-35.6662,-65.4995,0.098005,-2.9974,16,4260239.0,2023-06-26,,,,
liq,1687773318418,SELL,10.0,30233.3,30233.3,30233.4,93.75,-3.5649,-33.4944,0.115452,29.871,16,4294183.0,2023-06-26,1,10.0,1,10.0
liq,1687773667796,SELL,24.0,30224.5,30224.5,30224.5,93.75,-0.6544,-30.5926,0.117774,33.3714,16,4274628.0,2023-06-26,1,24.0,1,24.0
liq,1687773851902,SELL,1.0,30210.6,30210.6,30210.6,93.75,3.9463,-26.0056,0.123878,37.8083,16,4305821.0,2023-06-26,2,6.0,2,6.0
liq,1687773988969,SELL,4.0,30174.4,30174.4,30174.4,31.25,15.948,-14.0399,0.034649,49.3432,16,4358043.0,2023-06-26,1,4.0,1,4.0
liq,1687774130811,SELL,249.0,30166.9,30166.9,30166.8,31.25,18.4381,-11.5572,0.035052,51.5761,16,4383600.0,2023-06-26,4,319.0,4,319.0
liq,1687775217620,BUY,5.0,30246.7,30246.7,30246.7,75.0,-7.9936,-37.9098,0.096183,24.3783,16,4442787.0,2023-06-26,1,5.0,1,5.0
liq,1687776123294,BUY,10.0,30255.3,30255.3,30254.8,87.5,-0.8446,-40.7415,0.112039,22.7232,16,4384239.0,2023-06-26,1,10.0,1,10.0
control,1687776608153,,,30270.4,,30270.4,75.0,-5.8326,-45.7095,0.096201,17.838,16,4403673.0,2023-06-26,,,,
control,1687781078905,,,30336.6,,30336.6,81.25,-7.687,-67.4316,0.109129,-2.0852,16,4306822.0,2023-06-26,,,,
control,1687781191134,,,30335.8,,30335.8,81.25,-7.4235,-67.1696,0.109396,-1.817,16,4305095.0,2023-06-26,,,,
control,1687782040503,,,30294.2,,30294.2,56.25,6.2983,-53.5299,0.083323,12.4407,16,4267512.0,2023-06-26,,,,
control,1687782760607,,,30260.4,,30260.4,81.25,17.4751,-42.42,0.099292,23.8249,16,4278886.0,2023-06-26,,,,
liq,1687783396168,BUY,35.0,30380.0,30380.0,30380.0,62.5,-11.9837,68.2007,0.087502,-15.3697,16,4278248.0,2023-06-26,1,35.0,1,35.0
control,1687784792134,,,30372.7,,30372.7,81.25,-9.5831,70.6205,0.100586,-11.9449,16,4349722.0,2023-06-26,,,,
control,1687785047773,,,30374.3,,30374.3,81.25,-10.1093,70.0901,0.109855,-12.2985,16,4388847.0,2023-06-26,,,,
liq,1687786454235,BUY,3.0,30443.1,30443.1,30443.1,31.25,-32.686,47.3321,0.037026,-32.5099,16,4397465.0,2023-06-26,2,4.0,2,4.0
liq,1687786595710,BUY,2.0,30464.5,30464.5,30464.5,25.0,-39.6876,40.2743,0.036699,-38.8592,16,4445769.0,2023-06-26,2,3.0,2,3.0
liq,1687786728809,BUY,4.0,30485.1,30485.1,30485.1,25.0,-46.4182,33.4897,0.037504,-45.0094,16,4469688.0,2023-06-26,5,764.0,5,764.0
liq,1687787828238,BUY,57.0,30557.6,30557.6,30557.6,18.75,-70.0338,9.6845,0.029778,-63.7787,16,4753223.0,2023-06-26,3,68.0,3,68.0
liq,1687787952324,BUY,7.0,30608.6,30608.6,30608.6,0.0,-86.5791,2.9994,0.000373,-78.3371,17,4891675.0,2023-06-26,3,50.0,3,50.0
control,1687788321587,,,30532.8,,30532.8,66.6667,-61.9683,27.8326,0.075139,-49.5935,18,5137952.0,2023-06-26,,,,
liq,1687789137992,SELL,9.0,30492.5,30492.5,30493.3,61.1111,-48.8338,41.0858,0.062947,-33.2939,18,5333483.0,2023-06-26,1,9.0,1,9.0
liq,1687789211082,SELL,465.0,30454.4,30454.4,30455.5,55.5556,-36.3844,53.6477,0.062407,-20.5717,18,5380892.0,2023-06-26,1,465.0,1,465.0
control,1687790116219,,,30410.1,,30410.1,83.3333,-21.8698,68.2934,0.09657,-4.2487,18,5623046.0,2023-06-26,,,,
liq,1687790508527,SELL,213.0,30371.8,30371.8,30371.9,77.7778,-9.287,-78.9431,0.097261,8.7221,18,5703131.0,2023-06-26,1,213.0,1,213.0
liq,1687790570232,SELL,189.0,30306.6,30306.6,30306.6,83.3333,12.2064,-57.5995,0.100019,30.0405,18,5784044.0,2023-06-26,5,463.0,5,463.0
liq,1687791397283,BUY,1.0,30396.2,30396.2,30396.0,77.7778,-17.3069,72.8975,0.091303,-1.5728,18,6082633.0,2023-06-26,1,1.0,1,1.0
control,1687793431165,,,30353.5,,30353.5,94.4444,-3.2637,-72.9618,0.156465,7.2088,18,5612103.0,2023-06-26,,,,
liq,1687796809707,SELL,15.0,30329.6,30329.6,30329.6,94.4444,4.6138,-65.1392,0.126003,17.0565,18,5348511.0,2023-06-26,1,15.0,1,15.0
liq,1687797017139,SELL,6.0,30280.0,30280.0,30280.0,66.6667,21.0018,-48.8654,0.077707,33.2556,18,5387559.0,2023-06-26,2,142.0,2,142.0
liq,1687797457286,SELL,541.0,30227.2,30227.2,30227.3,22.2222,38.5062,-31.4831,0.022432,49.7827,18,5544199.0,2023-06-26,2,548.0,2,548.0
liq,1687797894610,SELL,24.0,30216.1,30216.1,30216.1,33.3333,42.1939,-27.8211,0.040772,52.1087,18,5676150.0,2023-06-26,11,1917.0,11,1917.0
liq,1687798046246,SELL,10.0,29990.7,29990.7,29990.7,0.0,107.5601,-2.9588,0.005927,116.4086,23,6359244.0,2023-06-26,2,45.0,2,45.0
control,1687799253996,,,30038.2,,30038.2,60.8696,91.5768,-18.7674,0.04827,90.3058,23,6969531.0,2023-06-26,,,,
liq,1687799793892,SELL,7.0,29985.0,29985.0,29985.0,8.6957,109.4815,-1.0584,0.013071,104.375,23,7183807.0,2023-06-26,4,148.0,4,148.0
control,1687800773355,,,30136.3,,30136.3,50.0,-21.3823,-81.045,0.034142,45.1902,26,7875971.0,2023-06-26,,,,
control,1687801257198,,,30091.0,,30091.0,61.5385,-6.3601,-66.1127,0.050106,59.7554,26,7917026.0,2023-06-26,,,,
control,1687801694612,,,30097.0,,30097.0,61.5385,-8.3524,-68.093,0.051313,57.1916,26,7970756.0,2023-06-26,,,,
control,1687804227339,,,30090.3,,30090.3,92.3077,3.8662,33.9078,0.078103,57.8514,26,7699919.0,2023-06-26,,,,
liq,1687805063434,BUY,3.0,30195.0,30195.0,30194.8,15.3846,-30.8218,-100.3278,0.010965,22.3248,26,7795120.0,2023-06-26,1,3.0,1,3.0
liq,1687805194201,BUY,31.0,30214.1,30214.1,30214.0,23.0769,-37.1239,-106.5859,0.018025,15.8648,26,7832472.0,2023-06-26,3,84.0,3,84.0
control,1687805754758,,,30207.8,,30207.8,46.1538,-35.0461,-104.5226,0.031959,17.7442,26,7882121.0,2023-06-26,,,,
control,1687806408775,,,30172.5,,30172.5,34.6154,-23.3877,-92.9454,0.026526,29.2218,26,7899944.0,2023-06-26,,,,
liq,1687808750627,BUY,448.0,30226.3,30226.3,30226.3,65.3846,-41.1451,-110.5791,0.045801,9.1178,26,8160133.0,2023-06-26,1,448.0,1,448.0
liq,1687808888703,BUY,5.0,30254.9,30254.9,30254.9,26.9231,-50.5592,-119.9276,0.024353,-0.3732,26,8173794.0,2023-06-26,1,5.0,1,5.0
liq,1687809175553,BUY,2.0,30272.4,30272.4,30271.9,57.6923,-56.3108,114.091,0.040247,-6.248,26,8185055.0,2023-06-26,1,2.0,1,2.0
control,1687810483749,,,30264.7,,30264.7,53.8462,-53.781,116.6642,0.039722,-3.7697,26,8313428.0,2023-06-26,,,,
control,1687810784548,,,30262.3,,30262.3,53.8462,-52.9922,117.4666,0.040997,-3.0456,26,8292948.0,2023-06-26,,,,
control,1687810905355,,,30267.6,,30267.6,53.8462,-54.7339,115.6949,0.041504,-4.8222,26,8274601.0,2023-06-26,,,,
control,1687811342847,,,30247.0,,30247.0,57.6923,-47.9606,-117.3471,0.0451,1.9198,26,8262287.0,2023-06-26,,,,
control,1687818660640,,,30182.6,,30182.6,71.4286,-26.7261,93.6136,0.062117,0.5932,21,7030920.0,2023-06-26,,,,
control,1687818764060,,,30218.8,,30218.8,60.0,-38.6734,81.5221,0.060295,-12.2354,20,6974487.0,2023-06-26,,,,
control,1687819355503,,,30238.4,,30238.4,60.0,-45.1302,74.9875,0.059058,-21.354,20,6770020.0,2023-06-26,,,,
control,1687820990506,,,30198.8,,30198.8,65.0,-32.0763,88.1989,0.074892,-14.5225,20,6105680.0,2023-06-26,,,,
control,1687822817645,,,30235.7,,30235.7,84.2105,-44.2412,45.7198,0.107951,-31.2366,19,5901354.0,2023-06-26,,,,
liq,1687826272265,BUY,37.0,30328.5,30328.5,30328.5,0.0,-74.7041,4.9767,0.001565,-66.2685,16,5686801.0,2023-06-27,2,428.0,2,428.0
control,1687828793638,,,30282.7,,30282.7,25.0,-19.8721,30.1285,0.058076,-29.964,12,3788701.0,2023-06-27,,,,
liq,1687832038119,BUY,3.0,30392.0,30392.0,30392.0,0.0,-55.764,4.0508,0.000104,-54.0954,13,3422756.0,2023-06-27,1,3.0,1,3.0
liq,1687832459551,BUY,69.0,30412.6,30412.6,30412.6,7.6923,-62.4997,-2.7255,0.005253,-59.6748,13,3406952.0,2023-06-27,1,69.0,1,69.0
liq,1687834657259,BUY,15.0,30467.4,30467.4,30467.4,7.1429,-70.4541,-0.7385,0.019694,-69.3238,14,3251896.0,2023-06-27,1,15.0,1,15.0
control,1687835648113,,,30403.0,,30403.0,33.3333,-49.4213,30.4625,0.049743,-42.4834,15,3258005.0,2023-06-27,,,,
control,1687837145322,,,30427.9,,30427.9,28.5714,-57.5641,22.2543,0.046374,-46.2598,14,3139508.0,2023-06-27,,,,
control,1687837282841,,,30428.8,,30428.8,28.5714,-57.8582,21.9579,0.0504,-45.9617,14,3082981.0,2023-06-27,,,,
liq,1687837725047,SELL,71.0,30357.6,30357.6,30357.7,78.5714,-34.5401,45.4632,0.106282,-21.3969,14,3063156.0,2023-06-27,1,71.0,1,71.0
