t_date,t1_date,close_t,lot_units,notional_yen,fee_yen_per_execution,fee_bps_roundtrip,cost_conservative_bps,cost_conservative_plus_oldfee_bps,r_night_used_bps,net_conservative_plus_oldfee_bps
2015-05-22,2015-05-25,1970.0,51.0,100470.0,99.0,19.707375335921167,10.152284263959391,29.85965959988056,25.38071065989911,-4.47894893998145
2015-05-25,2015-05-26,1996.0,50.0,99800.0,55.0,11.022044088176353,10.020040080160319,21.04208416833667,-20.040080160320663,-41.082164328657335
2015-05-26,2015-05-27,1999.0,50.0,99950.0,55.0,11.005502751375689,10.005002501250624,21.010505252626313,-45.02251125562795,-66.03301650825426
2015-05-27,2015-05-28,1995.0,50.0,99750.0,55.0,11.027568922305765,10.025062656641603,21.05263157894737,-15.037593984962294,-36.09022556390966
2015-05-28,2015-05-29,1987.0,50.0,99350.0,55.0,11.071967790639155,10.065425264217414,21.137393054856567,-35.22898842476141,-56.36638147961798
2015-05-29,2015-06-01,1987.0,50.0,99350.0,55.0,11.071967790639155,10.065425264217414,21.137393054856567,-40.26170105686955,-61.399094111726114
2015-06-01,2015-06-02,1989.0,50.0,99450.0,55.0,11.060834590246355,10.055304172951232,21.116138763197586,-15.082956259426794,-36.19909502262438
2015-06-02,2015-06-03,1976.0,51.0,100776.0,99.0,19.647535127411288,10.121457489878543,29.768992617289832,-15.182186234817818,-44.95117885210765
2015-06-03,2015-06-04,1965.0,51.0,100215.0,99.0,19.757521329142342,10.178117048346056,29.9356383774884,25.445292620864812,-4.4903457566235865
2015-06-04,2015-06-05,1959.0,51.0,99909.0,55.0,11.010019117396832,10.209290454313425,21.219309571710255,-35.73251659009679,-56.95182616180705
2015-06-05,2015-06-08,1944.0,51.0,99144.0,55.0,11.094972968611312,10.2880658436214,21.383038812232712,-15.432098765432167,-36.81513757766488
2015-06-08,2015-06-09,1940.0,52.0,100880.0,99.0,19.62727993655829,10.309278350515465,29.93655828707375,-25.77319587628857,-55.70975416336232
2015-06-09,2015-06-10,1943.0,51.0,99093.0,55.0,11.1006831965931,10.293360782295421,21.39404397888852,-5.146680391148184,-26.540724370036703
2015-06-10,2015-06-11,1937.0,52.0,100724.0,99.0,19.657678408323736,10.325245224574084,29.982923632897823,5.162622612286949,-24.820301020610874
2015-06-11,2015-06-12,1931.0,52.0,100412.0,99.0,19.718758714097916,10.357327809425167,30.07608652352308,-5.178663904712444,-35.254750428235525
2015-06-12,2015-06-15,1934.0,52.0,100568.0,99.0,19.688171187654124,10.34126163391934,30.029432821573465,0.0,-30.029432821573465
2015-06-15,2015-06-16,1935.0,52.0,100620.0,99.0,19.67799642218247,10.335917312661499,30.013913734843968,10.33591731266048,-19.677996422183487
2015-06-16,2015-06-17,1937.0,52.0,100724.0,99.0,19.657678408323736,10.325245224574084,29.982923632897823,5.162622612286949,-24.820301020610874
2015-06-17,2015-06-18,1933.0,52.0,100516.0,99.0,19.698356480560307,10.346611484738748,30.044967965299055,-25.86652871184647,-55.91149667714552
2015-06-18,2015-06-19,1931.0,52.0,100412.0,99.0,19.718758714097916,10.357327809425167,30.07608652352308,-5.178663904712444,-35.254750428235525
2015-06-19,2015-06-22,1923.0,52.0,99996.0,55.0,11.000440017600704,10.400416016640667,21.40085603424137,0.0,-21.40085603424137
2015-06-22,2015-06-23,1936.0,52.0,100672.0,99.0,19.66783216783217,10.330578512396695,29.998410680228865,10.330578512396382,-19.667832167832483
2015-06-23,2015-06-24,1930.0,52.0,100360.0,99.0,19.728975687524912,10.362694300518134,30.091669988043044,10.362694300518616,-19.72897568752443
2015-06-24,2015-06-25,1928.0,52.0,100256.0,99.0,19.749441429939356,10.37344398340249,30.122885413341848,-10.373443983402453,-40.4963293967443
2015-06-25,2015-06-26,1926.0,52.0,100152.0,99.0,19.76994967649173,10.384215991692628,30.15416566818436,-10.384215991692258,-40.53838165987662
2015-06-26,2015-06-29,1946.0,51.0,99246.0,55.0,11.08357011869496,10.277492291880781,21.36106241057574,-102.77492291880796,-124.1359853293837
