cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_011036,2024-03-11,1710157997029,1710158141027,143998,long,10,False,,False,,1710158159720,71576.0,1710158099984,71625.0,18693,-6.841186736474695,17.794578934976172,6.846577411169244,6.852665815035255,6.868293036889135,6.900034935223545,-4.094408004007235
binance_cm_real_011037,2024-03-11,1710158228079,1710158228079,0,short,1,False,,True,time_resolution,1710158279646,71733.2,1710158219663,71654.4,51567,10.997231153983973,-10.997231153983973,-10.991436133859112,-6.528233439155011,-8.11169689060414,-11.054338164473656,-24.474092010828613
binance_cm_real_011038,2024-03-11,1710160127086,1710160129055,1969,short,2,False,,True,time_resolution,1710160139672,72127.4,1710160079528,71937.0,10617,26.467603597591527,-26.467603597591527,-26.488813671543184,-26.477768287011273,-26.447641175048794,-31.379258277665667,-29.430411512782044
binance_cm_real_011039,2024-03-11,1710160377088,1710160389093,12005,short,2,False,,False,,1710160439765,72288.1,1710160379603,72185.2,50672,14.254999639816573,-26.442344444840607,-31.102195070375338,-14.222383248731099,-14.207672349245154,-14.26286780187407,-25.88235650575352
binance_cm_real_011040,2024-03-11,1710163415016,1710163416058,1042,short,2,False,,True,time_resolution,1710163439859,72460.0,1710163379961,72388.1,23801,9.932571790113869,-3.0874158420037645,-14.72207588016848,-24.307902563953956,-19.440502845567778,-10.785762612154628,-9.943236351047778
binance_cm_real_011041,2024-03-11,1710163483032,1710163509080,26048,short,6,False,,False,,1710163559914,72370.1,1710163499657,72509.6,50834,-19.23883182364818,21.15951453653571,12.618454666865667,19.220196474093072,27.333326635403225,25.441034552978206,18.364587194241913
binance_cm_real_011042,2024-03-11,1710164462020,1710164570107,108087,long,4,False,,False,,1710164579897,71733.8,1710164519799,71841.6,9790,-15.005233736442799,29.057186930056258,1.0650786695280985,21.979975970672307,39.8632518844413,15.86186268207127,5.342808095985404
binance_cm_real_011043,2024-03-11,1710165101041,1710165160048,59007,long,5,False,,False,,1710165179572,71649.0,1710165119874,71640.0,19524,1.256281407035176,-10.984260862435404,-1.2569792534810444,-10.724514700398792,-8.235569955738882,-1.264075194602718,-1.272822822538501
binance_cm_real_011044,2024-03-11,1710166401042,1710166482096,81054,short,4,False,,False,,1710166499983,72402.2,1710166439846,72220.0,17887,25.228468568263235,-19.178928637155767,-22.110095965885094,-27.361138417005673,-28.167163120446574,-16.090844775673272,-28.531368015724297
binance_cm_real_011045,2024-03-11,1710167976114,1710167976114,0,long,1,False,,True,time_resolution,1710167999384,71977.5,1710167938811,71991.8,23270,-1.9863373328633134,1.9863373328633134,1.989052842481648,-1.8843988093075268,1.9960182350392515,1.9992139262364361,1.999647193523117
binance_cm_real_011046,2024-03-11,1710169060077,1710169060077,0,short,1,False,,True,time_resolution,1710169079452,72288.0,1710169019536,72235.2,19375,7.309455777792948,-1.610031253667632,2.993629398501091,-7.336190783708837,-9.068014127143755,-7.3061189578412655,-7.330123838342153
binance_cm_real_011047,2024-03-11,1710169526086,1710169603020,76934,short,6,False,,False,,1710169619995,72592.0,1710169559133,72440.4,16975,20.92754871591071,-39.23535122858348,-14.786955894496806,-30.17748831375203,-35.724431066944774,-15.293973824571381,-20.958684037451903
binance_cm_real_011048,2024-03-11,1710169718080,1710169718080,0,long,1,False,,True,time_resolution,1710169739956,72328.3,1710169679625,72459.1,21876,-18.05156288168124,39.21893443610617,11.16195239345188,27.456708501484208,25.519143230486108,11.64265852199,17.609216913893043
binance_cm_real_011049,2024-03-11,1710171315048,1710171351043,35995,short,5,False,,True,time_resolution,1710171359450,72789.6,1710171299742,72654.4,8407,18.608645863156486,-18.608645863156486,-18.51193354807257,-18.45024525404733,-18.43874101355361,-18.544835675884624,-26.744981604874837
